Time,Angle (A),Angle (B),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3662682632.316927,270.000000,359.000000,0.000000,178.631097,-2.296085,190.817019,-2.361538,165.571517,-2.258166,176.569036,-2.226449,185.086798,-1.998351,151.716950,-2.244993,173.890810,-2.179918,142.548183,-2.099610,178.418198,-2.021911,140.009321,-2.062034,157.398170,-1.864987,143.669213,-1.905198,142.335379,-1.974993,168.829568,-1.830467,157.607619,-1.823836,153.597810,-1.736576,150.179204,-1.584799,157.504286,-1.617311,162.075507,-1.695179,146.583244,-1.564489,159.340876,-1.402950,151.373611,-1.553688,160.685733,-1.414550,160.570667,-1.436689,161.237378,-1.345016
3662682632.417658,270.000000,359.000000,0.000000,203.403270,-1.934594,186.709122,-1.759430,185.355674,-1.743349,175.548590,-1.816840,180.121415,-1.841793,171.376725,-1.791588,165.677033,-1.530866,141.147522,-1.547244,187.344224,-1.518048,163.716637,-1.670220,162.840884,-1.305506,149.607910,-1.394528,180.902380,-1.473667,152.445056,-1.289933,173.012007,-1.353965,166.634039,-1.352826,170.872030,-1.168074,194.648308,-1.004786,144.206226,-1.344610,149.386802,-1.081963,156.021639,-1.007347,163.831792,-1.052516,163.409604,-0.961185,162.087443,-0.837130,183.706848,-0.876792
3662682632.517506,266.000000,359.000000,0.000000,179.513325,-2.482395,162.918128,-2.337697,153.101768,-2.349633,142.608156,-2.336380,181.040542,-2.271973,153.229758,-2.541854,146.397195,-2.102562,133.298968,-2.059137,139.618667,-2.247868,132.476342,-2.062417,135.129012,-2.010609,130.100265,-2.085375,132.741162,-2.018571,134.195429,-1.858694,133.588849,-1.871017,124.506186,-1.867149,145.437351,-1.780761,134.750710,-1.661620,136.051755,-1.636800,130.435325,-1.515546,152.571539,-1.568661,144.034780,-1.565338,132.445601,-1.553941,143.377435,-1.416949,143.382928,-1.432604
3662682632.617241,270.000000,359.000000,0.000000,146.982032,-2.317403,139.308110,-2.201087,138.271342,-2.117238,154.771506,-2.167045,158.385298,-2.131801,134.186926,-2.325036,141.915516,-1.978016,121.607626,-1.988491,143.604685,-2.002942,129.869665,-1.880060,126.458403,-1.829614,127.136912,-1.846297,147.202419,-1.807037,145.292869,-1.692075,136.252406,-1.763849,146.998009,-1.777163,154.263005,-1.647452,129.602371,-1.509340,128.940701,-1.593712,141.220859,-1.574834,139.055265,-1.301561,136.969685,-1.448802,155.672679,-1.475027,155.262585,-1.393492,141.402376,-1.250577
3662682632.717972,272.000000,359.000000,0.000000,145.535430,-2.589822,138.598435,-2.436777,138.922705,-2.441930,126.450312,-2.418673,164.327166,-2.342469,116.249309,-2.295938,144.859944,-2.200495,120.670891,-2.123085,123.520395,-2.230196,121.801200,-2.180910,137.005755,-2.118479,116.998468,-2.042904,136.111948,-2.003915,126.231877,-1.831646,121.669935,-1.770882,128.991948,-1.888386,123.697009,-1.726055,126.040896,-1.779068,128.509249,-1.726103,122.809330,-1.592234,134.365131,-1.640959,114.446521,-1.628144,124.773433,-1.453567,127.748466,-1.404456,135.240577,-1.462587
3662682632.817704,274.000000,359.000000,0.000000,145.523655,2.926921,144.781654,-3.067577,149.595421,-3.059181,141.837775,-2.961960,134.506093,-3.101792,118.707040,-2.956880,126.657606,-2.987061,134.639956,-2.877700,124.496190,-2.880029,133.312971,-2.837949,129.783374,-2.786368,139.787805,-2.688384,128.866589,-2.604743,129.496323,-2.638005,136.440785,-2.535473,138.302809,-2.654369,128.905870,-2.467076,138.042906,-2.459475,121.871748,-2.450141,135.513887,-2.367559,129.336063,-2.294797,131.426853,-2.244619,140.070527,-2.294417,154.614123,-2.059999,145.974104,-2.112377
3662682632.917438,276.000000,359.000000,0.000000,151.143978,2.789070,152.709586,2.972541,142.269182,3.131487,134.975873,3.084537,127.459496,2.991816,131.380434,3.125283,136.426196,-3.086388,129.016455,-3.133530,132.498651,3.121295,124.489658,-3.102669,124.086612,-3.052686,134.481534,-2.838439,136.434876,-2.752593,129.805601,-2.751106,143.370298,-2.841959,137.341298,-2.702791,133.210368,-2.492000,148.880789,-2.720849,131.949057,-2.467928,135.161283,-2.494005,139.301967,-2.337928,128.328146,-2.496304,125.476928,-2.355605,150.910326,-2.372382,147.916495,-2.331623
3662682633.017179,277.000000,359.000000,0.000000,149.024089,2.695720,134.840931,2.796136,120.956462,2.868448,145.960914,2.813690,135.941186,2.839398,122.458285,2.867397,137.824954,-3.138418,122.628773,-3.141242,122.500116,2.963745,114.204888,3.077782,129.019462,-2.997575,117.529681,-3.029959,128.177850,-3.047003,144.859008,-3.014759,119.003201,-2.974152,118.971610,-2.964427,125.280383,-2.781296,113.377476,-2.725615,119.545288,-2.759313,147.980493,-2.688704,130.283329,-2.611776,130.568346,-2.520415,145.710399,-2.698373,136.157435,-2.413845,131.975249,-2.497028
3662682633.117928,279.000000,359.000000,0.000000,94.012857,1.852199,86.434656,1.855666,88.767700,1.932430,90.300569,1.938888,88.931241,1.942433,83.370914,2.008204,86.294746,2.150021,86.003126,2.127517,85.468552,2.199918,83.582757,2.207639,85.027417,2.261215,73.490180,2.273057,86.956021,2.342332,87.545510,2.368746,94.988648,2.473014,90.084272,2.464611,85.797003,2.512136,90.966319,2.539743,86.113498,2.582240,93.422746,2.693208,94.394287,2.752873,94.014088,2.692710,91.957524,2.769183,92.177826,2.867553,90.554987,2.680165
3662682633.217635,281.000000,359.000000,0.000000,83.348547,1.874751,87.023360,1.866560,87.344899,1.915470,82.886889,1.841105,90.496977,1.967835,84.619168,1.970826,90.320376,2.066122,77.425275,2.098483,84.587182,2.115672,72.235931,2.153502,82.854257,2.319250,77.937696,2.202380,78.267947,2.274134,83.784868,2.438667,84.590452,2.394171,90.003958,2.436610,80.270373,2.545469,88.088921,2.455988,78.209629,2.580332,79.334188,2.683468,89.580363,2.678355,89.375212,2.684551,84.571709,2.772460,97.099118,2.812674,88.800473,2.843064
