Time,Angle (A),Angle (B),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3662685072.325984,269.000000,0.000000,0.032000,532.267240,2.084396,451.156509,2.141381,630.236933,2.295717,429.334496,2.661673,1176.290807,2.113342,500.848170,2.290629,582.057397,2.517713,448.715095,2.507627,465.423016,2.004225,381.145779,2.428084,883.511529,2.297344,416.260205,2.136923,464.692676,2.580952,670.349881,2.980057,494.815255,2.357570,561.023311,2.469875,704.230447,2.715582,502.380184,2.535329,483.312510,2.798742,782.875804,2.916299,632.258789,-3.004149,684.185485,2.775822,514.635436,-3.020641,1072.443328,2.901405,932.866729,-3.061927
3662685072.425768,269.000000,0.000000,0.024000,439.691988,2.163182,452.379245,2.088136,983.550588,2.065492,483.338484,2.240091,504.209066,2.174003,416.729505,1.961448,440.284731,2.428950,538.741248,1.962474,727.672258,2.445467,579.070383,2.548006,473.543845,2.219875,389.929265,2.120412,401.810718,2.855372,442.851416,3.014851,434.028765,2.604577,992.785425,2.736763,412.045329,2.761569,591.641847,2.648805,698.989167,2.681308,485.880429,2.712825,1086.286303,-3.119794,794.908969,2.521315,408.419111,-2.996459,632.841678,2.798073,717.998915,3.138508
3662685072.525455,269.000000,0.000000,0.048000,435.532397,1.837363,570.335251,1.908253,550.844640,2.177974,391.226373,1.768618,549.706227,2.387584,382.252719,2.156491,491.837040,2.352153,533.034664,2.634611,689.417968,2.624730,507.344714,2.295913,594.305093,2.691300,669.343700,2.475292,323.879458,2.299967,624.686247,2.370919,463.161531,2.503217,533.622344,3.130777,646.756897,2.955942,550.374126,2.317681,469.286709,2.640561,584.838810,2.799651,725.289268,2.954258,551.145352,2.755405,543.908011,2.943680,456.356386,3.031099,459.572960,-2.660397
3662685072.625202,270.000000,0.000000,0.020000,576.012886,2.133227,460.213063,2.381337,422.500306,2.022717,432.157161,1.961376,541.973315,2.337801,534.849854,2.057933,419.257373,2.199068,811.358088,2.262254,595.688115,2.282234,641.605551,2.163236,614.868226,2.571536,625.847310,2.576033,587.006724,2.668050,858.510740,2.361090,610.923912,2.625890,584.763700,2.669848,982.984761,2.452510,747.056846,2.518664,657.129488,2.606957,612.931375,2.635277,647.559042,2.571167,483.572896,-3.110831,618.364378,2.890009,498.923756,3.105283,421.835731,3.094677
3662685072.725925,271.000000,0.000000,0.012000,499.782175,2.094392,604.244104,1.789077,509.713162,1.922880,421.266441,2.009138,606.875262,1.876746,421.669629,1.814975,521.692973,2.067072,304.980853,2.378369,623.992408,2.085919,556.065050,2.302788,425.754092,2.287381,366.291927,1.979358,417.382500,2.274587,480.013964,2.507455,557.861751,2.351077,404.848959,2.234770,646.398167,2.940827,404.694407,2.475851,484.418719,2.933629,477.965342,2.859266,470.135989,2.639517,339.970037,2.713953,314.918687,2.718267,449.136079,2.799232,684.048713,2.942023
3662685072.825682,273.000000,0.000000,0.000000,491.986527,2.110469,422.017390,2.148156,322.349222,2.227992,373.288236,2.158613,444.759925,2.155319,430.387663,2.084730,401.691532,2.022942,356.670873,2.270883,398.074520,2.012968,446.799953,2.490738,433.767192,2.409489,509.893658,2.250772,546.030446,1.809443,696.520951,2.372607,453.036273,2.560986,353.872043,2.797451,512.185604,2.321005,805.090998,2.515997,350.757290,2.296483,454.021831,2.914071,522.274186,2.303230,792.151002,2.516145,400.733469,2.856536,566.831216,2.956264,505.717029,2.787085
3662685072.925391,275.000000,0.000000,0.000000,337.449976,1.702324,362.201710,1.825393,340.914009,1.527100,358.859494,1.965333,366.573441,1.731375,349.221231,2.034487,394.347134,1.858817,341.001263,2.072229,313.045751,1.752069,275.686752,2.061171,461.693369,2.158090,400.231453,2.420565,344.952906,2.113303,333.379573,2.128569,336.685216,2.218971,436.677217,2.227718,343.208818,2.235956,289.703624,2.461691,340.518518,2.477986,340.510694,2.556404,387.440348,2.650769,274.901196,2.575096,454.667564,2.839107,398.461288,2.493562,392.204422,2.819058
3662685073.025126,275.000000,0.000000,0.000000,349.511154,1.458265,427.610003,1.787507,499.373427,1.655095,353.012253,1.623819,451.333966,2.039386,239.075012,1.934661,372.445672,1.951792,332.552262,1.922411,322.989631,1.829471,320.578221,2.101422,342.814438,2.217137,310.021455,2.200417,434.470566,2.083302,354.178654,2.451608,367.498681,2.537484,358.539934,2.399212,295.335513,2.514340,354.984177,2.356581,332.241787,2.228231,340.924086,2.741603,370.077295,2.639950,406.993656,2.224561,402.131355,2.791550,514.474315,2.784458,384.739511,2.699163
3662685073.125855,277.000000,0.000000,0.000000,403.382604,1.599541,446.024228,1.579654,426.101409,1.967478,515.711086,1.874329,363.923720,1.743495,330.071231,1.935170,338.359778,2.257989,234.600907,2.194773,520.576393,2.017348,336.185241,2.008898,320.988117,2.147149,400.915265,2.111295,355.370132,2.360324,359.692418,2.041253,352.389771,2.340480,315.906158,2.424301,427.719449,2.531352,391.857243,2.611857,378.511583,2.621017,426.634154,2.905437,470.869869,2.789879,326.763739,2.531150,354.610828,3.099760,413.810709,2.490310,667.789557,2.685033
3662685073.225587,279.000000,0.000000,0.000000,344.505226,1.368741,320.195517,1.625033,371.006658,1.561180,445.162729,1.569327,309.127783,1.813450,276.554391,1.863158,298.185058,1.930803,418.591965,2.136417,356.834214,1.992310,288.964122,2.066934,312.018322,2.051535,362.825673,2.005375,273.882832,1.907565,290.535415,2.098486,241.856398,1.996434,348.120169,2.221483,441.989689,2.358196,331.569044,2.447720,312.288317,2.627688,480.792256,2.497599,453.703146,2.572837,300.114133,2.688076,398.555629,2.981457,460.362130,2.656251,292.532167,2.755735
3662685073.325321,280.000000,0.000000,0.000000,361.620720,1.676139,345.851154,1.986514,294.070753,1.859548,311.320641,1.777747,301.343976,1.567584,278.508278,1.845728,339.365609,1.794953,287.220398,1.895829,331.516059,1.872629,277.911285,1.921610,318.354391,2.182702,359.115841,2.000568,277.905385,2.191213,342.744056,2.265865,313.529394,2.184508,243.660985,2.202592,326.760104,2.365675,363.946735,2.222372,330.633234,2.413727,248.336654,2.374400,342.095853,2.386137,303.671659,2.325283,311.912295,2.466842,362.950638,2.571940,271.518736,2.631683
3662685073.427050,281.000000,0.000000,0.000000,315.198792,1.787181,234.494762,2.037369,290.071874,1.603393,279.581948,1.660037,329.837740,1.645677,290.321889,1.781215,322.629110,1.896980,327.556563,1.678775,306.755224,1.920316,348.779947,2.102669,279.423219,2.005039,348.458783,2.170060,332.865576,2.153724,349.812599,2.589344,335.731386,2.024917,359.130736,2.232652,347.792735,2.331590,392.434021,2.399543,305.242512,2.109440,286.666237,2.434324,316.698080,2.479217,296.789670,2.685573,328.990403,2.211835,345.718848,2.514349,353.441126,2.572944
3662685073.526783,282.000000,0.000000,0.000000,295.905013,1.423107,339.561735,1.667843,331.746036,1.739395,295.130155,1.493873,370.996996,1.916092,383.803167,1.592693,357.082371,1.646484,292.519199,1.914908,338.313100,1.902271,293.717662,1.812764,308.791730,1.929815,310.683487,2.017380,250.813105,1.861535,260.608392,1.962033,336.152506,2.032146,300.392628,2.429762,333.043552,2.389653,331.301830,2.264233,245.400830,2.087841,296.496508,2.576584,390.266449,2.631336,300.176613,2.290809,298.009902,2.480313,284.743108,2.694552,301.518142,2.545597
3662685073.626515,284.000000,0.000000,0.000000,394.823766,1.602407,330.899059,1.363067,393.935366,1.438733,323.357845,1.586941,300.762893,1.678480,270.327144,1.641887,366.261466,2.001964,264.952744,1.900672,293.801908,1.844514,308.784032,1.803171,291.404518,1.936339,307.177634,1.988038,247.064558,2.054904,353.606934,1.945065,257.826486,2.442978,294.646681,2.262869,352.438053,1.947533,272.188256,2.127927,341.922994,2.174463,321.535905,2.590740,285.806786,2.450239,323.265482,2.181471,332.732060,2.682392,366.845639,2.625804,265.628626,2.741266
3662685073.726248,285.000000,0.000000,0.000000,303.118682,1.203882,325.355715,1.478096,298.798908,1.498871,355.915255,1.335630,352.647326,1.567497,265.590910,1.461249,353.894390,1.695173,252.480377,1.638706,328.935920,1.439435,299.206673,1.792058,281.146290,1.975874,288.149497,1.981235,251.029726,1.869703,303.215155,1.998326,249.489815,1.706717,265.023999,2.046381,277.991151,1.869885,382.650084,2.013606,300.263025,2.124549,332.789405,2.506579,311.859214,2.199852,286.626575,2.256194,338.318517,2.359766,371.510555,2.749407,264.849117,2.852346
3662685073.826980,286.000000,0.000000,0.000000,340.576184,1.627757,316.034395,1.444493,281.046744,1.404798,354.423800,1.643842,423.736260,1.402747,257.086634,1.566130,335.006896,1.740282,335.468742,1.853369,303.941261,1.589315,344.838013,1.658010,273.279859,1.674923,302.612647,1.586318,304.349467,1.876712,404.590823,2.133392,311.279450,1.868794,407.993665,2.013239,372.405021,2.264163,272.110494,2.175148,324.282900,2.368288,272.099148,2.189105,273.960539,2.688872,299.532975,2.102418,437.159793,2.505742,384.414563,2.216179,415.081093,2.791053
3662685073.927906,288.000000,0.000000,0.000000,383.668250,1.290914,392.950580,1.474420,438.969709,1.644844,296.233709,1.607004,339.329182,1.629106,437.848950,1.110967,445.962083,1.520275,351.122115,1.826125,310.463446,1.793846,308.895808,1.667899,400.712106,2.272309,293.077254,1.799898,360.940844,1.917694,392.414210,1.844575,427.196341,2.105019,310.182246,1.877425,307.777140,2.145186,323.259161,2.134013,324.649300,2.161193,377.343170,2.345691,420.865359,2.013253,314.642042,2.425835,310.878315,2.273094,362.475227,2.408956,373.667170,2.261301
