Time,Angle (A),Angle (B),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3662683557.554965,268.000000,359.000000,0.088000,786.292826,1.932124,794.250734,1.337540,555.208680,1.869229,1151.196836,2.702966,929.683929,2.965962,812.127483,2.300351,662.932467,1.627440,1266.115402,1.777903,563.278943,2.265612,629.472822,1.604025,677.841290,1.969365,770.463579,1.472087,812.600856,1.618820,1584.998849,1.380295,1134.725418,1.572414,489.636322,1.196564,547.047007,1.264002,696.242534,1.275492,1432.002294,0.572739,1693.421452,1.185852,576.438779,1.623271,923.409966,1.584307,654.897509,1.739086,807.999550,1.378467,741.832185,0.861685
3662683557.654686,268.000000,359.000000,0.048000,413.531804,-0.595597,645.281461,-2.508681,681.185955,0.834391,585.110178,-0.446383,808.999523,3.109618,635.969728,1.487555,2420.269277,-0.872327,1062.204458,2.458373,554.450765,-1.804503,1192.220433,2.768536,482.602391,1.036721,703.862991,-1.068000,461.248647,2.116751,1222.956091,-2.198425,849.067495,1.253802,534.500974,-0.980636,1211.916351,-1.516416,534.084008,1.328317,1131.690865,-1.622063,800.332753,-2.504865,852.181915,-2.002282,785.402127,-2.265007,831.401485,2.501894,474.817818,-0.066312,710.709468,-3.089670
3662683557.754418,269.000000,359.000000,0.052000,1940.048380,-1.594136,511.128105,-1.244118,717.412907,-1.093725,709.961926,-0.334032,490.189980,-0.697069,1717.338787,-0.693772,675.940558,0.304251,394.089755,-0.034231,761.094333,0.810420,305.938429,0.855477,527.919524,0.884412,857.105294,0.830516,587.355172,1.423043,603.802008,1.841510,446.300941,2.099315,672.059215,2.370623,477.169558,2.397246,638.245789,2.827544,489.261730,2.780736,522.854814,-3.083078,797.111233,-2.703109,488.721093,-2.142298,501.253152,-2.384907,436.026755,-1.315201,1029.737680,-1.392381
3662683557.854152,270.000000,359.000000,0.532000,1364.123152,-2.501233,601.814571,-2.278316,640.107810,-1.906305,901.540933,-1.078639,869.829322,-1.245105,780.974619,-0.010643,725.735409,-0.579816,614.589249,-0.148120,434.404044,0.300091,647.742677,1.131770,1073.976477,0.780633,512.966959,0.578823,521.625500,1.863801,569.628805,1.742369,527.335748,1.499329,789.517223,2.567555,587.739251,1.834170,1037.025954,-2.843731,937.786199,-3.097291,809.046515,2.707811,574.516465,-2.242798,884.653621,-2.086362,658.480651,-2.087361,1518.959108,-1.890717,543.096296,-1.738077
3662683557.954907,272.000000,359.000000,0.524000,502.447500,1.501482,846.988654,1.608962,993.310534,1.261089,569.115155,1.345935,7245.918902,1.268959,650.976613,0.774037,674.371573,1.542961,888.210523,0.914959,875.131519,1.655337,641.325813,1.372921,738.871313,2.060678,433.290122,1.047665,623.458012,1.205420,620.134305,1.063284,1503.414849,0.598316,1150.889371,1.219227,893.303424,1.137026,541.432064,0.882371,700.347306,1.154259,805.758908,1.003025,1219.577922,0.788123,2364.048396,1.747500,1135.864741,0.533861,1827.217032,1.476336,2182.806928,1.339955
3662683558.056046,273.000000,359.000000,0.192000,1326.241252,-3.117066,2365.808572,1.938941,818.042646,1.974990,2447.310712,1.030873,1146.376393,0.839335,809.258716,1.461184,715.781616,1.049114,910.553090,0.317911,1092.923447,1.277984,564.084112,1.118497,1112.938745,1.134609,819.725117,1.140180,1255.829613,2.100385,979.959156,1.232718,615.995246,1.123890,1460.987236,1.865915,808.655178,0.923895,722.830701,1.338439,4000.868730,2.552775,2701.653693,0.396849,1198.345711,1.301157,1350.991687,0.945235,3007.295986,0.321996,379.137293,1.336962,891.386805,1.679940
3662683558.155779,274.000000,359.000000,0.460000,1035.443534,1.339050,2611.862804,-0.468535,1328.030329,-1.232261,1065.747336,-2.326183,1025.478648,-1.515733,758.436875,2.167895,668.104904,2.219070,959.145419,1.440499,1866.379891,-0.577103,2089.239927,-0.640127,1491.796535,-1.979977,1691.435664,-2.617654,1392.862706,2.632338,1819.816100,2.472334,995.382950,-2.998128,1005.313026,-2.574810,1481.275767,0.521011,3901.461619,-3.090706,1863.715373,2.237741,1276.479683,-1.223610,1293.163643,-2.861479,883.713647,2.337736,1288.121965,2.492337,1062.391197,1.231060,704.159337,0.217393
3662683558.255513,276.000000,359.000000,0.544000,1306.704421,-1.461172,2721.463039,1.200082,2673.867448,2.301814,1353.906793,3.132184,1400.585807,-2.096413,1227.695014,-2.959912,986.544433,2.344345,979.052827,2.341127,1687.905129,2.108099,1091.237391,2.014250,4372.300954,-2.999916,647.651895,-2.485922,923.698546,-2.804046,959.657039,2.295977,1803.297807,-1.658545,2978.598551,-0.956786,1620.181886,2.552798,732.137177,-3.119164,570.797050,2.905341,1415.661370,2.531290,846.928315,1.978200,750.032851,2.895000,1612.409292,3.091184,731.235721,-2.856583,656.302406,2.812726
3662683558.355247,278.000000,359.000000,0.540000,3955.562547,-0.511564,3970.219792,0.131677,1035.794502,0.348063,742.644746,1.363580,958.851943,1.098193,1558.503127,2.320855,1840.705510,1.974295,2974.603673,-3.096570,4037.968219,3.047268,794.592394,2.592135,3242.015981,2.503878,3304.337301,2.936382,914.870079,2.495660,814.898852,-0.599934,3902.146849,1.408381,1395.772788,-0.426585,795.020107,-0.316094,1075.947816,-0.779063,1405.071385,0.090809,1860.212761,1.050099,1280.507821,0.603673,861.126805,1.103620,1695.535590,1.043011,717.834700,1.150655,2514.226278,2.716270
3662683558.455167,279.000000,359.000000,0.004000,820.333916,-3.043067,556.409724,-2.781213,614.328859,2.977832,428.260205,-3.078916,355.361885,3.012894,426.427711,2.816236,338.523360,2.908789,982.175149,2.815062,509.125377,2.425650,493.802410,3.139962,562.054661,2.589168,490.900943,3.068922,388.691783,2.731520,315.592097,2.652355,385.462873,2.694866,360.872673,2.744987,466.237500,2.410210,308.469815,2.670944,595.827224,2.723473,410.529941,2.595173,409.006001,2.391272,485.644921,2.439535,516.906525,2.608819,350.312125,2.503981,542.746805,2.416766
