Time,Angle (A),Angle (B),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3662684695.837121,268.000000,359.000000,0.000000,233.506753,2.934563,273.582123,3.038488,269.566595,-2.809317,243.336063,3.012875,240.718599,3.125805,253.690995,3.117554,238.605582,-3.106924,268.002057,3.087774,291.628137,2.880829,270.893147,-2.914391,227.477080,-3.121526,246.751368,-3.072300,229.940508,3.106355,262.050738,-2.973387,267.017246,3.082906,275.132312,-2.959808,254.027082,-3.050940,261.438587,-3.069362,241.916987,-2.999539,255.688534,-3.101357,282.323483,-2.817024,234.628042,-2.924536,227.666351,-2.926498,238.664558,-2.858077,236.074952,-2.677045
3662684695.938852,268.000000,359.000000,0.000000,250.785586,2.865517,262.244468,-3.059914,284.365474,-3.041309,316.685351,3.016001,312.624446,3.069461,241.479960,2.883684,237.986350,3.098574,314.401291,-3.101577,347.508141,3.034279,209.985632,-3.047013,274.615901,-2.982062,286.886018,2.940258,231.223749,-2.922634,272.661699,3.033750,212.450441,-3.111470,238.429330,-3.117027,234.741473,-3.107829,275.653771,-2.990114,237.694416,-2.976493,275.315451,-2.800709,273.520141,-2.948751,312.980757,-2.938938,228.100380,-2.868777,251.580772,-2.720238,286.473831,-2.968389
3662684696.038595,268.000000,359.000000,0.000000,255.884382,2.870244,244.741892,2.880619,272.954791,3.068893,341.548617,3.034662,302.616363,3.018319,216.162347,2.925777,308.101990,3.097498,263.663372,3.070270,216.290968,3.034274,203.856664,2.962322,276.034621,-3.061713,216.424965,3.118514,259.882596,3.088603,250.706314,3.075995,210.503861,-3.019017,326.970841,-3.004929,336.047063,3.116882,254.717110,-2.886899,281.235215,-3.032049,300.846208,-2.701124,338.017578,3.124294,213.793423,-2.944788,282.951995,-2.831805,290.171681,-2.967240,251.286915,-2.946340
3662684696.138352,269.000000,359.000000,0.000000,265.396787,2.165681,245.591252,2.254269,269.407225,2.165799,296.838896,2.274048,241.618066,2.384721,245.286995,2.299962,245.068567,2.067569,212.742710,2.136762,219.179644,2.389093,273.953939,2.348793,227.046782,2.266652,209.577978,2.252726,222.387732,2.394049,241.362870,2.439436,259.662156,2.514533,204.025667,2.427088,210.264796,2.505694,262.334063,2.416137,230.606372,2.350257,222.992872,2.510917,222.229362,2.517450,251.313053,2.490489,194.707466,2.689126,208.639614,2.552309,241.297683,2.681858
3662684696.240069,271.000000,359.000000,0.000000,274.094108,1.906978,225.619754,1.961206,245.911820,1.836555,211.411106,2.089784,305.000829,1.977260,242.539937,2.143005,220.576230,2.048333,201.572964,2.177438,207.339810,2.128091,229.259789,2.237198,248.451806,2.233361,203.638305,2.054154,245.294824,2.423766,247.829034,2.199968,242.661637,2.160182,238.771600,2.094876,219.370739,2.272484,227.882789,2.285707,242.364690,2.450083,309.277165,2.539211,233.797930,2.170573,215.950252,2.478061,195.410081,2.495280,238.799701,2.416433,199.700235,2.389163
3662684696.339781,272.000000,359.000000,0.000000,250.297409,1.942204,252.888102,1.807703,236.472288,1.881536,232.683695,1.812459,321.993149,1.904423,211.039644,1.755981,218.386984,1.876824,232.709639,2.031209,223.492449,1.725386,190.960049,1.940455,239.862896,1.983579,198.340169,1.890854,205.330476,1.979643,187.019955,1.975587,183.906800,1.990928,223.127235,1.916729,196.647140,1.960659,216.954123,2.011680,224.849834,2.032162,295.856661,2.321426,231.158949,1.993281,232.234437,2.255526,187.845578,2.150714,251.567091,2.065856,197.479725,2.345818
3662684696.439514,274.000000,359.000000,0.000000,180.992430,1.615751,205.875966,1.496284,230.314298,1.570109,206.637670,1.439460,207.944750,1.480931,202.628701,1.529614,217.329059,1.741274,183.808240,1.635477,170.252296,1.524656,181.946593,1.538691,208.370345,1.696521,188.307091,1.678395,229.752180,1.544605,201.478857,1.830056,203.466304,1.724391,195.339970,1.626695,200.632367,1.674606,214.539288,1.799124,196.053031,1.650364,193.801120,1.976715,286.194745,1.572785,180.164562,1.946024,254.724090,2.062244,228.601600,1.954303,196.705359,2.053512
3662684696.539247,276.000000,359.000000,0.000000,226.699244,1.244324,232.607185,1.312588,218.167623,1.313582,226.361073,1.337168,193.551897,1.352834,213.814027,1.223119,186.342551,1.428449,200.624290,1.519523,188.160119,1.399051,166.160926,1.418397,195.911557,1.477619,175.276588,1.550778,183.837091,1.494756,174.545871,1.347562,165.057783,1.514090,206.834652,1.639885,192.371168,1.537961,174.266274,1.581876,166.208174,1.727644,162.642442,1.641997,208.188597,1.676682,168.364234,1.654974,212.659875,1.774358,202.669159,1.819761,204.310257,1.656779
3662684696.640011,278.000000,359.000000,0.000000,178.988988,0.850379,167.955862,0.752043,167.578105,0.733029,183.424889,0.684635,185.370945,0.795412,171.466643,0.761078,177.480093,0.660208,175.784219,0.888964,152.348607,0.806219,142.594339,0.813252,166.974123,0.903185,162.744972,0.894122,153.851355,0.827529,149.806163,0.776593,151.569266,0.863889,174.618258,1.083129,163.066764,0.897308,152.944583,0.918009,174.478949,1.116268,179.774118,1.020932,161.399519,1.169900,176.080021,1.126951,161.114152,1.131231,152.764443,1.192164,163.938244,1.116893
3662684696.739715,279.000000,359.000000,0.000000,181.866840,0.567986,159.561068,0.606892,193.212991,0.781565,173.962981,0.726122,156.557087,0.753252,163.798650,0.675366,178.753224,0.658973,152.030339,0.806635,176.472589,0.821377,139.696475,0.713941,155.586273,0.856934,157.903454,0.845299,145.415669,0.866458,159.845526,0.833523,156.828143,0.834008,167.563212,0.924321,165.301043,0.900322,152.489132,0.880491,162.834766,1.099496,176.293247,0.869158,170.778820,1.029433,150.892654,1.019497,156.623496,1.093025,153.173283,0.983795,165.028526,0.986498
