Time,Angle (A),Angle (B),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3662681795.829678,267.000000,359.000000,0.000000,326.400180,1.335964,536.695487,1.576856,312.793965,1.471932,261.252809,1.291695,298.833844,1.296016,226.861095,1.473824,237.438971,1.121226,515.574524,1.508210,316.768569,1.400465,361.038081,1.252361,319.729707,1.108050,418.559204,1.395824,294.800441,1.270715,351.513117,0.945303,384.190339,1.131247,283.642552,1.062210,315.849941,0.967175,441.150566,0.597445,390.428128,0.973878,306.134531,0.657217,354.637996,0.616886,393.908776,0.749065,339.120631,0.611584,433.146622,0.877133,282.071436,0.562941
3662681795.929411,267.000000,359.000000,0.004000,283.308621,1.094218,520.236032,1.254790,340.932824,1.101888,345.389742,1.256424,252.212235,1.238706,241.812317,1.393072,308.635643,1.120559,331.416279,1.163369,239.035209,1.116268,261.395868,1.280472,417.953391,1.228924,362.932699,1.242891,479.313880,1.049891,318.388107,0.669561,352.156313,0.726520,257.141534,1.075832,382.345721,0.516169,265.374160,1.000728,328.909406,0.646038,320.696923,0.538538,297.358447,0.356029,500.504937,0.615880,392.480401,0.813198,395.867755,0.204409,403.230215,0.702139
3662681796.029927,269.000000,359.000000,0.000000,676.364065,1.310425,298.733416,1.231729,288.408642,1.326184,273.905783,1.340898,261.676779,1.081013,251.534661,1.520855,290.710721,1.229029,398.947010,1.135384,260.899632,1.183074,294.997895,1.382253,365.822186,0.994826,305.627113,1.000435,283.749727,0.872493,285.732312,0.666188,318.564770,0.954299,297.442383,1.161211,300.601425,0.604722,290.822875,0.799707,376.416346,0.696054,336.138049,0.424962,341.082668,0.567934,342.607404,0.703648,342.679374,0.721651,278.416821,0.174672,333.058891,0.636449
3662681796.129646,270.000000,359.000000,0.000000,283.499697,1.697620,291.965199,1.392117,289.496317,1.380099,304.556247,1.356392,252.624821,1.561744,247.513124,1.670283,293.835614,1.176583,295.355207,1.536104,217.647187,1.393406,295.797604,1.522111,329.461930,1.258179,235.989415,1.426259,264.694984,1.280621,304.866510,0.820888,226.687310,1.120817,281.001106,1.221644,218.162910,0.903191,300.933688,1.130870,353.487469,1.053522,331.284123,0.914424,250.467470,0.975691,257.873114,1.161121,335.770568,1.219669,325.399868,0.618132,388.953561,0.599580
3662681796.229380,272.000000,359.000000,0.000000,325.787062,1.523544,271.848888,1.735700,361.688752,2.104861,293.114973,1.553747,300.252162,1.602789,328.732239,1.648955,355.644003,1.625686,380.724162,1.321034,262.830810,1.077725,339.580932,1.636056,279.326440,1.333287,327.335175,1.396709,335.505062,1.308400,361.677975,0.861355,299.982756,1.539421,262.493462,1.474663,331.464051,0.690688,273.867377,1.121887,364.632980,0.915886,406.484776,0.618610,305.186862,0.591234,519.532592,1.002435,392.213434,0.540946,633.741145,0.578525,475.285670,0.838635
3662681796.329113,274.000000,359.000000,0.000000,484.405768,2.141861,371.318714,2.186950,333.201598,1.859344,331.685664,2.119665,375.410999,2.169701,552.173544,2.230173,448.294648,1.756234,444.984482,1.466043,449.146226,1.857662,395.667096,1.953090,511.829616,2.027689,342.138696,2.098620,405.799569,1.629304,478.957844,1.079537,345.389076,1.715515,383.411330,1.623290,364.568335,1.630585,539.471067,1.478213,443.400963,1.167839,541.378831,1.108239,454.705526,1.228802,340.065045,1.462686,707.458102,1.671421,412.142263,1.116048,490.608243,1.261625
3662681796.429842,276.000000,359.000000,0.000000,389.044830,2.350654,354.997695,1.984247,437.804240,2.346499,409.613839,2.417658,275.809144,2.476161,265.665172,2.518376,283.680725,2.218153,286.973872,2.190659,389.616992,2.264740,431.234545,2.138705,406.917954,2.198637,390.888083,2.541249,349.428118,2.125511,475.707459,2.083586,394.663994,2.038048,382.820998,2.253536,306.966986,1.816396,312.853592,2.339746,374.093050,1.829236,392.293825,1.782035,271.776325,1.690272,461.635739,1.522120,548.373138,1.608548,426.181369,1.728016,332.703383,2.028395
3662681796.529963,278.000000,359.000000,0.000000,366.926263,-2.806502,369.582611,-2.691613,343.035734,2.969709,308.835560,3.119530,326.987373,-3.016455,238.650926,-2.810060,273.988999,3.095699,404.571058,3.089359,246.140036,-3.026819,309.571343,-2.932438,342.109943,2.891729,257.682971,2.937140,331.063750,3.096290,251.808678,2.983066,287.678051,-3.035645,312.998032,3.008082,269.561924,2.626560,276.009546,2.749709,293.752893,2.786603,332.134326,2.711273,240.931526,2.844706,347.496101,3.000834,334.278927,2.377594,321.855804,2.481965,292.774485,2.755194
3662681796.629372,279.000000,359.000000,0.000000,267.844743,-3.024614,340.368701,-3.009726,377.688925,3.104713,344.471715,3.004218,313.728620,2.938528,256.741249,-3.112532,268.368511,2.927160,245.473547,-3.114976,216.113320,3.077476,266.875293,-3.139653,316.973725,2.893748,425.511529,3.008649,399.296383,2.859890,382.450545,2.625754,306.592444,2.879486,284.604145,2.856995,289.787907,2.334260,311.736538,2.864524,383.077745,2.661054,635.769628,2.428484,258.790245,2.496705,307.535476,2.723965,414.196244,2.950590,469.567262,2.285345,340.025372,2.417333
3662681796.729105,281.000000,359.000000,0.000000,239.578048,-2.924260,248.083271,-2.918078,285.740901,-2.925341,211.578770,-3.071532,219.707702,3.137225,213.111686,-3.023408,229.420670,-3.108621,192.243433,3.058845,214.975641,-3.039728,217.910845,-2.961934,228.726202,3.024263,239.148132,2.993759,241.511420,2.886953,249.919500,2.709733,231.061294,3.104309,196.026187,2.980972,298.508759,2.639600,266.464043,2.756841,216.519094,2.757786,187.572305,2.577953,202.386448,2.617205,305.456107,2.367377,251.445622,2.666777,243.037028,2.388352,234.873939,2.566704
