Time,Angle (A),Angle (B),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3662683557.554965,268.000000,359.000000,0.000000,59.926857,-2.959444,64.372544,-3.022849,63.046642,-3.014205,56.470028,-3.014456,57.384183,-2.998075,54.952466,-2.992181,58.220459,-3.047027,57.270356,-3.097965,51.099807,-3.068903,57.041142,-3.046603,58.905729,-3.103952,55.359579,-3.102315,58.783269,-3.075796,58.479655,2.939049,53.721385,3.131791,52.407164,3.126431,58.742165,2.915633,54.840451,3.060983,59.097087,3.042319,63.058386,2.926598,54.968147,2.888856,60.939035,2.974629,58.780190,2.993534,65.746642,2.829879,63.223832,2.935872
3662683557.654686,268.000000,359.000000,0.000000,60.873916,-2.971143,59.841218,-3.002081,63.034606,-2.973544,57.817359,-2.987549,54.435536,-3.032530,51.746428,-2.916146,56.934055,-3.018309,58.976605,-3.033995,52.810919,-3.055182,56.190948,-2.994246,59.349167,-3.119033,56.418813,-3.073199,56.722391,-3.074357,57.493363,3.021002,53.093786,-3.134438,51.547554,3.122875,57.737801,2.932474,53.344560,3.087885,60.041503,3.062782,58.219240,2.860069,54.340150,2.903877,61.079790,2.996040,61.063730,2.981570,64.024749,2.786618,61.695929,2.949219
3662683557.754418,269.000000,359.000000,0.000000,58.510703,-2.989546,63.069569,-2.927524,57.693193,-2.940672,55.105065,-3.016350,57.790516,-3.038093,51.769427,-2.984332,54.215158,-3.062096,57.132476,-3.054541,49.712882,-3.052720,52.035611,-3.019774,55.466103,-3.080781,51.149657,-3.068290,51.924742,-3.124959,56.227089,2.968699,50.353269,-3.113948,50.979317,3.099913,56.693029,2.978085,50.872770,3.090038,57.606490,3.008818,59.554423,2.911066,50.410081,2.845652,59.234462,3.034814,58.294599,3.004701,64.799411,2.809341,60.442516,2.900161
3662683557.854152,270.000000,359.000000,0.000000,51.342880,2.808196,50.035607,2.840970,51.112364,2.800491,46.995121,2.847201,45.335657,2.779973,47.019902,2.847322,46.036147,2.760712,50.899004,2.772981,43.216957,2.759993,46.956330,2.795394,49.973446,2.729861,46.165863,2.698605,47.411962,2.706446,48.264047,2.540283,42.711542,2.673566,46.728695,2.611950,47.874161,2.469616,46.718596,2.572089,51.309941,2.538711,51.334554,2.401787,45.690841,2.407671,48.900920,2.539348,49.923832,2.533198,53.996477,2.339692,52.005799,2.479602
3662683557.954907,272.000000,359.000000,0.000000,52.008745,2.727799,49.519200,2.702909,52.150705,2.706930,45.281987,2.695173,44.949773,2.651019,43.640745,2.723274,48.095967,2.626776,48.536596,2.591375,43.520220,2.651617,46.656115,2.680093,49.225087,2.575655,45.214946,2.583750,46.858937,2.566941,48.620079,2.422198,46.243996,2.549797,46.450572,2.536144,45.488276,2.365122,46.908438,2.487875,49.416550,2.371972,49.379527,2.252495,46.001392,2.281650,49.491497,2.391155,49.751346,2.417613,51.720909,2.222851,50.586587,2.316849
3662683558.056046,273.000000,359.000000,0.000000,50.735563,2.646165,48.112636,2.714251,51.159550,2.689974,45.207839,2.729909,44.429659,2.657948,42.993587,2.729242,44.350775,2.613663,49.244824,2.579262,43.328206,2.620596,46.569597,2.636825,49.392397,2.539343,45.027469,2.616227,45.798945,2.557705,46.251915,2.383486,44.263707,2.548311,45.008113,2.526493,46.841091,2.357484,45.205230,2.488115,48.302831,2.364717,49.775003,2.271232,44.302286,2.249056,48.819433,2.351660,49.540281,2.312121,52.519946,2.213168,53.949073,2.301828
3662683558.155779,274.000000,359.000000,0.000000,46.942352,2.497986,46.531394,2.488597,48.146304,2.479426,43.625013,2.493758,42.703202,2.447594,43.499168,2.502777,43.235418,2.426947,48.466427,2.376948,40.042126,2.369582,45.124337,2.428457,47.012032,2.365108,42.382265,2.431017,43.290944,2.374177,45.668658,2.157364,42.097282,2.345148,42.534217,2.303039,45.838484,2.095747,42.483516,2.244326,49.697748,2.174524,46.247743,2.078917,41.796450,2.047193,48.079037,2.152534,49.327975,2.205682,50.734491,1.979959,47.070507,2.086951
3662683558.255513,276.000000,359.000000,0.000000,43.811798,2.269101,43.548288,2.237508,44.197480,2.255355,39.908790,2.288125,40.519450,2.231948,39.141169,2.246435,40.520381,2.161000,43.665378,2.128912,39.117772,2.195791,40.661629,2.186174,43.292869,2.145791,41.199914,2.120334,40.049448,2.149006,40.631094,1.943404,38.913522,2.095638,40.418861,2.057859,42.224318,1.885950,41.273085,1.997665,43.443822,1.961423,43.834488,1.859479,38.257925,1.849933,43.812643,1.930675,42.745547,1.902696,46.669764,1.780155,42.771899,1.861859
3662683558.355247,278.000000,359.000000,0.000000,42.543122,2.227491,43.927384,2.186637,43.744757,2.219716,40.888318,2.210756,40.378714,2.150606,37.606027,2.223050,39.704089,2.152308,44.466917,2.104899,37.866952,2.097639,40.343931,2.148032,43.130941,2.061513,40.270059,2.108331,39.356765,2.093958,42.087940,1.894341,38.275212,2.060476,38.306808,2.005110,41.903616,1.844633,38.055480,1.961454,43.692564,1.930195,44.075061,1.766307,39.479496,1.741530,44.052972,1.927376,42.401717,1.862485,47.110836,1.720032,44.278507,1.837447
3662683558.455167,279.000000,359.000000,0.000000,37.590870,1.781666,36.285742,1.774837,35.949681,1.758129,33.386575,1.750903,33.066826,1.748258,30.444483,1.794519,31.887819,1.673162,35.393850,1.638289,30.592885,1.683726,34.012551,1.759247,36.659946,1.633810,32.545080,1.669994,33.049568,1.666379,33.395480,1.450829,31.398470,1.624346,32.081772,1.570419,34.145645,1.393057,32.177418,1.518786,35.940619,1.460651,35.087418,1.368687,31.925357,1.337152,34.585429,1.425306,36.088508,1.447537,38.533296,1.309784,35.861023,1.383642
