Time,Angle (A),Angle (B),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3662684372.734843,269.000000,359.000000,0.000000,165.294162,1.104785,171.245153,1.051169,194.980908,1.159599,173.697062,1.254850,184.803792,1.163800,180.864016,1.203925,198.373295,1.355791,143.665912,1.468383,162.861301,1.314257,140.592333,1.338898,154.950499,1.532194,154.254556,1.452585,151.156702,1.566048,173.670573,1.590824,191.731610,1.675646,153.626595,1.839199,145.024973,1.907839,150.079282,1.743956,160.022971,1.788997,160.117545,1.947147,164.242593,2.039768,153.778888,2.142218,140.926174,2.043358,162.282814,2.188652,195.271179,2.216088
3662684372.834576,269.000000,359.000000,0.000000,185.572550,1.174387,190.449893,1.386101,184.356205,1.421817,175.843383,1.380578,186.532654,1.267976,163.439010,1.414024,192.276573,1.438734,155.626202,1.647416,165.188133,1.504801,134.264581,1.541261,148.122015,1.832148,156.616446,1.789093,174.411101,1.768860,184.014262,1.973066,147.851548,1.953258,189.240840,2.008234,150.334435,2.031406,155.116866,2.017993,157.869994,2.007087,156.221154,2.221431,203.530258,2.283101,184.664030,2.356449,164.530376,2.250000,174.696150,2.522637,179.979412,2.250494
3662684372.934311,267.000000,359.000000,0.000000,173.661436,1.042492,169.677617,1.134306,158.162169,1.225196,159.452514,1.295834,157.493619,1.208060,140.807287,1.268583,165.229871,1.289699,157.561195,1.435254,168.777485,1.489505,153.648755,1.582804,148.721822,1.758478,160.049389,1.517729,156.551920,1.637599,157.197892,1.693789,158.639609,1.846687,132.908316,1.684575,158.873291,1.910816,170.505495,1.834145,161.103872,2.034929,142.179336,2.092796,171.396758,2.006676,168.264675,2.179741,143.408325,2.126794,159.713187,2.253288,186.132933,2.397441
3662684373.034155,269.000000,359.000000,0.000000,177.803031,0.852592,153.226381,1.002406,174.887967,1.144130,160.008724,1.075740,177.287906,1.225054,144.789260,1.164796,183.866247,1.333699,162.800993,1.356367,152.732558,1.231285,146.679697,1.266699,147.951581,1.444030,136.932882,1.503418,155.127633,1.389135,179.134519,1.556101,151.192103,1.580756,139.948294,1.587473,167.568096,1.725014,154.465775,1.712603,138.768155,1.766946,145.623650,1.936544,187.551405,2.025068,138.775757,1.932266,146.686792,1.973387,151.848246,2.137267,154.088561,2.062552
3662684373.134871,270.000000,359.000000,0.000000,187.113193,0.709583,173.934088,0.950551,153.739350,0.955490,152.829614,0.921369,172.678797,0.895462,139.791667,1.021555,173.529433,0.998346,143.995951,1.263941,165.266475,0.970532,144.880813,1.055211,142.242255,1.293104,133.721654,1.288690,164.889454,1.308170,160.988152,1.413832,131.382846,1.453032,165.877088,1.498667,160.008794,1.593906,156.493959,1.666315,122.741580,1.575262,169.450076,1.815339,180.685273,1.854488,147.868585,1.972111,156.518438,1.891088,156.924979,1.784201,138.669398,2.075652
3662684373.234607,272.000000,359.000000,0.000000,176.711174,0.642442,157.961578,0.673960,159.569480,0.608677,166.112480,0.678569,222.539896,0.648611,169.035662,0.574327,159.961332,0.824719,140.528123,0.976306,169.381971,0.796997,146.102192,0.899557,139.568296,1.041826,136.598904,1.032743,147.192479,1.074048,156.392170,1.179148,137.686719,1.194829,152.563386,1.231424,167.410051,1.362226,163.081962,1.404185,162.959466,1.461538,165.681880,1.543129,160.634228,1.465284,149.098254,1.556907,154.299295,1.485942,164.660668,1.778916,152.295087,1.717253
3662684373.335336,274.000000,359.000000,0.000000,170.680332,0.442507,158.915732,0.440972,170.540419,0.287705,166.614322,0.547769,171.163814,0.613545,153.543063,0.529472,172.348567,0.700264,144.944698,0.672301,158.424775,0.591237,152.788861,0.683151,141.643046,0.759853,153.106043,0.758958,164.829983,0.865107,163.775754,1.043447,134.714022,1.002041,136.955858,1.051812,160.084341,1.212599,168.797186,0.984746,153.499652,1.184378,142.231415,1.254535,161.647128,1.421085,147.911732,1.327021,163.269687,1.421721,149.426463,1.534133,154.884385,1.438029
3662684373.435106,276.000000,359.000000,0.000000,144.545305,-0.093711,154.335149,0.003190,142.628992,0.007515,166.982820,-0.072949,154.052812,0.068356,145.621759,0.070162,146.387756,0.198801,135.685873,0.247085,146.990575,0.101427,135.218561,0.402138,135.358002,0.343988,132.414582,0.306620,122.891959,0.415837,132.864287,0.560040,134.495635,0.660104,120.464823,0.546685,149.228047,0.676843,154.118428,0.705533,133.120080,0.760787,137.304462,0.875324,126.616124,0.873532,151.219937,0.966965,135.142905,0.956007,131.189709,1.036924,154.362244,1.035416
3662684373.535974,277.000000,359.000000,0.000000,154.235809,-0.128240,138.123984,-0.026757,136.011856,-0.096010,143.722204,0.112612,137.480814,0.075551,136.153353,0.071502,145.836280,0.193662,128.430450,0.174909,143.254580,0.239223,129.515124,0.294178,141.101602,0.507668,137.613944,0.376755,120.517513,0.445163,143.836781,0.475848,126.812784,0.488826,136.608461,0.538084,141.112764,0.765197,128.644814,0.775970,129.824229,0.750077,134.874651,0.883942,145.799739,0.965039,137.740039,0.940029,161.883953,0.954373,135.618234,1.107554,153.730880,1.080824
3662684373.635569,279.000000,359.000000,0.000000,156.829408,-0.450088,153.943299,-0.227534,139.424584,-0.304018,142.624418,-0.339543,141.173352,-0.184457,130.389496,-0.291052,142.663946,-0.097345,130.646398,-0.119222,138.030825,-0.081510,120.479434,0.019713,116.380646,0.046927,135.695048,0.031458,132.955565,0.082369,131.751514,0.212105,126.551815,0.239061,141.222841,0.286935,126.820015,0.405476,134.224981,0.385581,121.069818,0.364819,143.080259,0.466098,122.161377,0.652597,125.072565,0.590638,129.570442,0.686982,121.210465,0.753436,130.187024,0.670277
