Time,Angle (A),Angle (B),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3662684695.837121,268.000000,359.000000,0.540000,761.079303,-1.240173,1685.024150,0.488052,681.649287,2.419849,1898.820480,-0.923873,1354.389019,1.744485,937.720548,0.972967,818.456627,-3.118287,1521.305998,-1.127536,2879.255932,1.773630,1593.742948,0.380007,1181.463011,-2.977478,585.733439,-2.122983,2269.619831,-0.066373,894.575371,0.827867,1402.820940,-3.102191,2454.288874,-1.442738,700.061678,-0.030516,1321.473119,2.569268,1339.495652,1.633737,3281.744860,-2.418827,1673.223164,1.097382,1084.708239,2.398809,2271.092352,-2.552255,1010.963413,-1.083962,2698.886718,2.680796
3662684695.938852,268.000000,359.000000,0.568000,778.658385,2.529504,1598.199093,1.813823,842.045678,2.524494,1123.473219,1.871413,615.942234,-2.204762,1247.630323,1.118738,1084.296704,-2.600043,1836.004112,0.240412,1161.496777,-0.825423,2666.077671,-0.455819,1140.214209,-0.490609,833.532069,-0.604188,813.581500,0.795169,1079.879281,1.789757,1780.382354,-0.575789,2281.677809,-0.116382,3905.670127,1.565480,2541.681403,2.698361,18833.292226,1.458831,3421.947816,0.454025,3517.365970,-1.447254,1714.300960,-1.764120,1898.885556,-0.589031,1546.711321,0.500598,1528.918297,0.689259
3662684696.038595,268.000000,359.000000,0.488000,1153.874823,0.739006,1436.643941,0.821662,776.051835,-2.780647,2591.584114,2.289294,3244.749579,1.462808,1016.204801,-1.997539,1629.847912,-1.240825,2531.482367,-2.108148,618.197366,-1.162693,1282.258626,-2.330442,1036.989270,-1.998101,1224.616556,-2.207032,1840.526614,-2.947150,1833.232276,-1.191891,1118.162612,2.512161,20268.719833,1.619469,3812.150990,0.289548,1426.015776,-2.688638,1089.866528,-2.769064,1947.176495,2.475135,5592.809163,-1.438636,1618.591995,1.589637,5273.394999,0.450291,1536.681935,2.717724,1796.123962,1.639665
3662684696.138352,269.000000,359.000000,0.492000,1330.589675,1.340892,3115.338233,0.263069,4795.723054,-2.708559,1441.246209,0.181091,8193.980761,2.204448,4342.273937,-0.461265,1285.700639,0.586595,1696.624698,-0.857752,5792.813374,-1.586778,762.832993,0.429877,2915.561287,1.957725,1092.265081,-0.541707,1314.655468,0.190837,1266.410152,-0.586898,965.639762,-0.289038,1610.491585,0.787128,1320.035505,-0.806682,797.245921,-0.255127,1822.918402,-1.301300,1041.966110,0.253681,1858.595896,-1.541415,3928.434653,-2.115190,1897.641175,-0.896537,1592.123749,0.094557,951.718210,-0.344402
3662684696.240069,271.000000,359.000000,0.528000,3096.755220,0.189282,2341.937436,2.401320,1353.144835,2.435392,6863.932658,2.406073,1027.648277,2.069210,1850.492456,-1.889792,3277.023116,-1.058749,3161.339060,0.608119,3466.254956,0.978851,1533.689056,2.935280,1812.368673,-1.092565,1433.161590,3.099476,1743.145518,-0.329305,1203.573067,2.885065,2304.133492,-1.814573,5959.083282,0.397142,2454.559283,1.091756,1931.664717,-1.334539,10637.527116,-0.632097,1148.033476,2.651572,3255.103309,-1.788122,1988.831784,-2.089962,1433.306133,2.594665,1807.403202,0.711432,784.328773,-0.398181
3662684696.339781,272.000000,359.000000,0.472000,2429.755219,-1.050746,3111.407172,0.925469,2731.793455,2.977852,3644.487848,-2.461603,2122.978763,-2.864755,4914.377607,-2.332784,1386.900655,2.480926,1926.380119,1.839877,2300.820469,-2.946418,790.153315,0.871494,3059.755653,-0.027442,962.435983,-0.487548,1414.361308,-1.963651,12600.223201,-1.735854,3259.412459,2.441562,3039.853555,0.436508,1680.972772,-2.964355,1506.066381,-1.168382,6622.652870,-0.836557,1004.711937,0.052233,6305.142948,-1.734584,1220.123100,-2.536611,1590.360685,-1.251066,2277.367758,-2.839486,1191.184093,1.738239
3662684696.439514,274.000000,359.000000,0.492000,1213.147939,-2.018625,957.539965,1.196274,1823.044248,-2.299170,1137.374333,-0.613423,2143.708676,-3.088458,2323.778280,0.969938,1749.563925,-0.791862,807.083451,-1.816058,1044.852815,0.512904,2881.407411,2.789670,1146.909234,1.565099,4508.499870,1.975666,2095.963851,-1.873068,1214.013972,-0.620646,2536.921336,-1.954115,5463.836950,-2.468157,2448.174053,2.739801,2896.299042,-1.517909,3646.954725,1.725777,1299.803676,-2.047202,1567.908655,-0.720644,1806.127868,0.120869,2074.282992,3.088603,1228.250589,0.908147,967.204665,-2.044596
3662684696.539247,276.000000,359.000000,0.516000,907.191111,-2.305569,1200.833190,-0.917714,1101.620790,-2.906782,1172.781283,0.338457,2529.154663,-2.881421,2109.695744,1.787204,2747.155517,2.230643,1105.114823,-2.428630,3265.910760,2.985557,1339.191606,-2.748842,1751.061537,-2.375427,6913.442143,0.561815,1656.944424,-1.171637,2121.166525,0.868837,897.647033,1.279767,835.751705,1.972632,1270.279124,-1.387416,1574.506206,1.977826,841.854088,3.110498,746.003938,2.589168,3193.884819,-1.129978,636.649606,2.770140,1071.773289,-3.022346,3880.325183,2.464579,1790.119716,-0.764767
3662684696.640011,278.000000,359.000000,0.136000,974.728309,-1.448865,2579.516584,-2.862172,964.366155,-2.106455,1496.755869,-1.375046,1025.957596,-1.122782,540.301549,-1.992717,1076.318488,-2.000122,974.737095,-2.810501,953.553288,-1.425347,588.077580,-1.628541,631.247626,-2.034876,765.497726,-2.194898,752.959947,-2.175655,1064.029450,-2.326695,1476.901426,-2.081766,750.753812,-2.541645,3370.174837,-0.546143,1032.735428,-1.176335,593.189961,-2.349146,4957.049851,-1.640767,897.946242,2.675834,1176.701261,-2.573798,1434.849842,-1.923143,631.471440,-2.704718,667.400083,-2.658465
3662684696.739715,279.000000,359.000000,0.124000,892.968903,-1.301681,818.025260,-1.438773,797.945456,-1.324407,657.289578,-1.547992,1000.931139,-1.599168,830.681016,-1.610540,2504.187327,0.446416,1762.144724,-1.327384,2270.928292,-1.162659,1082.625711,-2.336798,685.726472,-2.247788,1564.187329,-2.626453,2132.072663,-1.942780,595.398386,-1.570929,1421.882021,-1.921990,492.041846,-1.849176,959.324113,-2.488369,758.863557,-2.652347,689.008609,-2.077013,1664.302205,-2.086161,747.287092,-2.448638,4288.239628,-1.622421,973.170279,-2.265952,1799.487343,-2.570449,566.794315,-2.574203
3662684696.839447,281.000000,359.000000,0.136000,881.486712,2.314876,624.705032,1.607211,699.255245,1.441442,4277.885521,2.947925,2473.729861,2.720251,21225.647915,-1.534285,556.487888,2.591641,1080.431522,-2.958310,2349.885730,2.293732,978.938101,-2.317442,875.463086,2.933224,1030.267006,-3.065465,830.037760,2.957086,938.409679,0.338754,744.723138,0.541720,611.033597,0.537934,1409.472449,1.175828,577.399315,0.671241,888.711868,1.221669,571.420414,1.495995,1332.269793,0.835167,784.359192,2.034258,1149.362366,1.589020,788.896718,2.042291,699.393406,-3.137170
