Time,Angle (A),Angle (B),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3663288766.722029,268.000000,360.000000,0.000000,1.783371,-1.020972,1.784172,-1.021943,1.771828,-1.028558,1.613205,-1.023773,1.595512,-1.048837,1.595358,-0.985026,1.611941,-1.097533,1.742816,-1.106894,1.574369,-1.059421,1.685084,-1.041059,1.768760,-1.137979,1.666050,-1.077645,1.654761,-1.096123,1.641382,-1.241738,1.646561,-1.137143,1.639296,-1.155854,1.670169,-1.298207,1.628383,-1.198265,1.746844,-1.244553,1.722869,-1.330795,1.607114,-1.337658,1.777233,-1.274964,1.762095,-1.271070,1.854287,-1.390403,1.788666,-1.307863
3663288766.821763,268.000000,360.000000,0.000000,1.792045,-1.018158,1.774076,-1.028000,1.777047,-1.033114,1.650344,-1.028647,1.639487,-1.053375,1.597177,-1.006199,1.646264,-1.107475,1.745049,-1.095091,1.587024,-1.070096,1.669560,-1.045460,1.754060,-1.124981,1.653297,-1.099124,1.650402,-1.093372,1.659954,-1.246213,1.631480,-1.132816,1.605233,-1.162939,1.700906,-1.292580,1.628605,-1.194936,1.774781,-1.225523,1.760626,-1.334417,1.603842,-1.353290,1.795469,-1.255871,1.769011,-1.263519,1.853810,-1.404877,1.813287,-1.301668
3663288766.922492,269.000000,360.000000,0.000000,1.776878,-1.020877,1.781541,-1.031358,1.776203,-1.042173,1.614276,-1.032688,1.620591,-1.063477,1.588055,-1.001128,1.620857,-1.095497,1.744690,-1.095712,1.566652,-1.073781,1.671383,-1.056870,1.751538,-1.130203,1.647362,-1.090074,1.641261,-1.112447,1.667114,-1.261837,1.603957,-1.134725,1.623146,-1.159808,1.684040,-1.298996,1.615175,-1.201792,1.755348,-1.246588,1.738349,-1.347880,1.607706,-1.358023,1.749372,-1.269608,1.768259,-1.277815,1.843803,-1.397003,1.775162,-1.306066
3663288767.021865,270.000000,360.000000,0.000000,1.698748,-0.991193,1.683382,-0.993230,1.672144,-1.000598,1.536994,-0.999386,1.518379,-1.027094,1.500248,-0.972159,1.524635,-1.076113,1.641285,-1.071158,1.481963,-1.042384,1.570171,-1.017607,1.651862,-1.104198,1.552555,-1.054677,1.547897,-1.071616,1.560636,-1.216148,1.534256,-1.108454,1.520295,-1.131845,1.601410,-1.273500,1.517433,-1.170195,1.649238,-1.203635,1.637142,-1.309587,1.500118,-1.326430,1.679130,-1.239665,1.657801,-1.239981,1.748209,-1.368042,1.677892,-1.276484
3663288767.123167,272.000000,360.000000,0.000000,1.625345,-0.987084,1.623053,-0.989827,1.612786,-1.006775,1.484094,-1.004399,1.472654,-1.026489,1.458927,-0.975729,1.492274,-1.076997,1.583113,-1.068236,1.430733,-1.056439,1.512789,-1.024298,1.607239,-1.095867,1.495348,-1.060741,1.491803,-1.072803,1.520339,-1.223184,1.467593,-1.107033,1.464091,-1.133122,1.543876,-1.280980,1.464870,-1.173154,1.597589,-1.207418,1.595465,-1.311719,1.467429,-1.330249,1.618184,-1.238649,1.600362,-1.241835,1.697291,-1.375385,1.629479,-1.275841
3663288767.222901,274.000000,360.000000,0.000000,1.476529,-0.958397,1.468379,-0.958030,1.469060,-0.977159,1.334406,-0.972760,1.333068,-0.994190,1.322097,-0.934597,1.325561,-1.037005,1.436778,-1.043943,1.281954,-1.010931,1.378317,-0.993972,1.459792,-1.072116,1.347384,-1.024014,1.349939,-1.040171,1.370631,-1.186740,1.329635,-1.078000,1.342543,-1.106465,1.387031,-1.239191,1.325853,-1.140776,1.446572,-1.189160,1.433497,-1.288265,1.322390,-1.294039,1.445366,-1.206550,1.451454,-1.220013,1.522947,-1.342726,1.462970,-1.240783
3663288767.323631,276.000000,360.000000,0.000000,1.481625,-0.942973,1.463373,-0.952631,1.455363,-0.960971,1.343172,-0.960465,1.329038,-0.982949,1.304334,-0.929090,1.335243,-1.032759,1.425871,-1.023915,1.292010,-1.000356,1.361626,-0.970725,1.424617,-1.052555,1.362728,-1.020713,1.350953,-1.024668,1.358420,-1.173551,1.330991,-1.056354,1.314171,-1.084548,1.391172,-1.229234,1.325901,-1.121890,1.438057,-1.157359,1.430169,-1.262728,1.311306,-1.278924,1.453546,-1.190709,1.436682,-1.191701,1.514513,-1.323483,1.464771,-1.235099
3663288767.423364,278.000000,360.000000,0.000000,1.284740,-0.896389,1.284346,-0.899943,1.283449,-0.913883,1.180970,-0.915138,1.173590,-0.938740,1.155734,-0.883907,1.180138,-0.984689,1.259304,-0.979652,1.133050,-0.959116,1.195405,-0.929990,1.270950,-1.009197,1.190801,-0.971755,1.179720,-0.979654,1.213508,-1.133059,1.168540,-1.018991,1.158207,-1.042274,1.230116,-1.185334,1.164459,-1.081754,1.271126,-1.119028,1.266862,-1.221579,1.161330,-1.238702,1.274181,-1.144310,1.269942,-1.150663,1.345903,-1.281392,1.294540,-1.183469
3663288767.524643,279.000000,360.000000,0.000000,1.299330,-0.900150,1.286613,-0.905146,1.285688,-0.907648,1.186670,-0.918215,1.175325,-0.933783,1.160358,-0.888243,1.188561,-0.992184,1.268486,-0.991616,1.145792,-0.957036,1.205938,-0.924173,1.284626,-1.014352,1.191521,-0.974676,1.186945,-0.979935,1.203613,-1.129793,1.175408,-1.023930,1.164719,-1.052906,1.236526,-1.184838,1.169120,-1.083479,1.273111,-1.111494,1.281701,-1.222204,1.158940,-1.240460,1.290287,-1.145462,1.276185,-1.149756,1.349409,-1.280299,1.304099,-1.190256
3663288767.625526,281.000000,360.000000,0.000000,1.214866,-0.855769,1.205379,-0.854158,1.197174,-0.870403,1.121406,-0.868923,1.105646,-0.895726,1.092899,-0.846197,1.104573,-0.948762,1.181103,-0.943083,1.066599,-0.920090,1.130080,-0.887470,1.201355,-0.965090,1.113686,-0.927632,1.100490,-0.938434,1.141529,-1.087671,1.100610,-0.983262,1.088773,-1.006775,1.160614,-1.149052,1.091926,-1.042679,1.197174,-1.070261,1.188819,-1.181894,1.091977,-1.206464,1.208325,-1.101695,1.191862,-1.106769,1.270009,-1.248671,1.215034,-1.143774
