Time,Angle (A),Angle (B),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3663286645.034029,250.000000,360.000000,0.000000,86.905218,-2.148965,79.043800,-2.234400,86.373397,-2.141210,99.332966,-2.138485,81.211196,-2.077056,83.813386,-2.116702,85.259961,-2.078352,73.895631,-1.880671,84.639102,-1.996037,73.285315,-1.913637,80.647977,-1.797698,75.358909,-1.798663,83.673577,-1.718528,80.002378,-1.727069,76.596110,-1.696098,79.678914,-1.701652,80.573801,-1.593423,81.730004,-1.443180,79.277490,-1.535312,83.050075,-1.478635,83.747468,-1.496644,82.542973,-1.359800,80.126175,-1.323575,81.681943,-1.291403,92.545837,-1.297073
3663286645.134240,250.000000,360.000000,0.000000,91.958747,-2.210662,86.980734,-2.097020,79.631789,-2.091807,83.773628,-2.118237,88.991716,-2.019964,74.699479,-2.052234,93.632185,-2.011206,78.551860,-1.903326,90.362132,-1.936381,72.120552,-1.923701,80.456695,-1.785308,76.347887,-1.796937,77.515976,-1.776478,78.064207,-1.714855,78.604842,-1.600577,81.132652,-1.634148,80.277427,-1.509326,81.656319,-1.576617,79.079197,-1.560456,78.628117,-1.409299,81.220281,-1.358438,76.184719,-1.369007,79.018091,-1.266063,83.412749,-1.239592,90.619871,-1.200764
3663286645.233974,254.000000,360.000000,0.000000,99.162979,-2.006538,97.315719,-2.025723,107.683538,-2.032436,102.513574,-1.958007,86.488928,-1.836642,90.213362,-1.897672,106.415583,-1.848937,98.691252,-1.816568,92.324001,-1.766484,90.126347,-1.822575,97.865845,-1.608486,87.884600,-1.596550,90.978917,-1.608636,95.484290,-1.505796,88.035995,-1.476091,94.192656,-1.461612,91.004451,-1.436945,90.471216,-1.341550,92.674089,-1.258118,93.016921,-1.317491,93.274150,-1.124341,97.459826,-1.255819,92.540454,-1.197759,101.556704,-1.060054,102.946362,-0.993900
3663286645.335701,256.000000,360.000000,0.000000,122.158688,-1.948930,120.054602,-1.748282,110.482945,-1.786081,117.371620,-1.785632,114.002060,-1.742906,115.306830,-1.802200,117.225226,-1.572461,115.826099,-1.615846,110.095508,-1.577659,104.412861,-1.513710,96.783640,-1.507168,118.623808,-1.493886,113.958337,-1.555753,109.709720,-1.402227,102.232052,-1.395521,114.176266,-1.231549,107.864591,-1.230905,125.197834,-1.285735,107.653143,-1.231510,120.375351,-1.086678,120.984793,-1.069904,108.331475,-1.091214,125.950399,-1.061217,107.080825,-1.135323,129.487181,-0.910722
3663286645.435445,258.000000,360.000000,0.000000,123.425636,-1.476009,141.409872,-1.528561,134.144955,-1.466165,126.154928,-1.525056,118.042483,-1.405503,128.049749,-1.375705,107.806385,-1.238298,117.555598,-1.242751,115.669445,-1.257323,123.782087,-1.156578,121.615530,-1.046602,105.718248,-1.143093,112.946504,-1.095007,121.320657,-1.028801,112.465936,-0.918634,128.823456,-0.947765,119.109097,-0.846180,114.612775,-0.675700,118.510378,-0.949656,101.159965,-0.697746,128.832138,-0.593229,121.542139,-0.758607,131.554989,-0.632318,104.002122,-0.648600,127.208190,-0.438046
3663286645.535177,259.000000,360.000000,0.000000,124.277016,-1.427630,121.839416,-1.278769,117.578991,-1.234319,117.910175,-1.249586,125.174430,-1.165762,115.685145,-1.277499,119.704481,-0.998812,105.855777,-1.050369,118.385523,-1.057131,105.062588,-0.981396,103.655201,-0.917660,107.076494,-0.928124,116.779621,-0.882980,108.867228,-0.869085,111.762556,-0.866338,110.426344,-0.702695,106.352512,-0.674274,119.581965,-0.637403,113.489518,-0.567851,121.027000,-0.586564,112.912135,-0.560915,109.368572,-0.435959,120.034708,-0.456927,114.331769,-0.510656,113.129741,-0.497374
3663286645.635073,261.000000,360.000000,0.000000,90.586119,-0.945337,91.724518,-0.894597,93.093055,-0.840324,99.109320,-0.877554,97.733421,-0.862025,86.569282,-0.814019,102.797780,-0.752879,86.667704,-0.648500,90.458754,-0.743990,88.094943,-0.615003,78.825920,-0.546799,87.476565,-0.600211,81.851706,-0.521157,91.915284,-0.401327,86.028527,-0.461022,90.961483,-0.387656,89.589342,-0.250591,86.949712,-0.348675,92.060946,-0.313212,90.821700,-0.264398,89.985594,-0.183629,84.221673,-0.036373,85.674058,-0.176076,87.963345,0.003286,86.607002,0.001876
3663286645.736064,263.000000,360.000000,0.000000,110.343418,-0.988228,106.338302,-1.006157,96.744329,-0.940832,96.531807,-0.986353,109.276337,-0.906300,97.174646,-0.804473,104.361062,-0.847065,91.975339,-0.641358,89.432883,-0.838008,89.711139,-0.772586,85.714131,-0.589784,87.636158,-0.655413,94.221969,-0.600897,93.529073,-0.513586,92.596182,-0.503044,96.482099,-0.400117,97.147802,-0.424634,96.559660,-0.386149,93.232470,-0.294846,92.784567,-0.273640,87.362663,-0.076487,89.972614,-0.271185,95.462851,-0.240214,89.315194,-0.028434,103.430776,-0.114206
3663286645.835875,265.000000,360.000000,0.000000,118.934811,-1.035759,103.535894,-0.790232,96.959830,-0.813014,102.646325,-0.878235,102.099173,-0.792603,96.588319,-0.860496,99.600133,-0.760397,98.134482,-0.594128,97.406850,-0.739353,93.715974,-0.690730,89.423857,-0.469582,84.415469,-0.493243,87.996312,-0.516401,93.901614,-0.484663,89.006247,-0.373365,95.966277,-0.411051,99.662774,-0.367545,100.010572,-0.255872,93.092388,-0.267627,98.657303,-0.055654,96.165143,-0.125224,99.078791,-0.086765,96.587727,-0.070943,94.200490,0.045787,105.087227,0.061511
3663286645.937603,267.000000,360.000000,0.000000,104.635449,-0.848506,107.193947,-0.892129,103.193139,-0.783200,99.155278,-0.748596,106.166849,-0.741808,97.046663,-0.798893,108.105929,-0.656419,92.448075,-0.632010,90.837849,-0.602584,88.657115,-0.559919,91.714902,-0.502546,97.263922,-0.465726,90.217870,-0.383469,94.996575,-0.390101,97.600256,-0.296245,88.463347,-0.455770,95.148320,-0.143298,98.841050,-0.233259,95.692392,-0.210832,93.539228,-0.155172,95.640396,-0.145192,89.971028,-0.113490,92.252084,0.015661,96.979639,0.074131,85.214963,0.085072
3663286646.036906,269.000000,360.000000,0.000000,116.564912,-0.771009,100.597019,-0.747664,101.820126,-0.741389,104.469026,-0.673193,102.018048,-0.683274,99.717278,-0.697702,100.760434,-0.613813,91.804790,-0.468794,99.175860,-0.625111,89.411552,-0.627563,92.516229,-0.425864,88.018846,-0.341470,92.346995,-0.384018,98.843409,-0.290692,91.185392,-0.415479,89.777730,-0.325529,99.144934,-0.149776,96.497066,-0.234146,90.981911,-0.107047,92.585010,-0.034637,96.920376,-0.030292,95.261578,-0.035066,95.547961,0.101862,101.649488,0.112327,96.849150,0.192484
3663286646.138634,270.000000,360.000000,0.000000,94.613559,-0.806350,99.061674,-0.722769,96.440253,-0.758517,104.832362,-0.804671,99.780978,-0.692701,90.331074,-0.625026,89.713356,-0.630899,85.232915,-0.492875,92.488390,-0.606853,81.817592,-0.504826,90.388704,-0.450688,81.850619,-0.446401,88.278522,-0.333489,93.016159,-0.245993,79.692203,-0.270404,87.416910,-0.232315,89.956364,-0.109949,84.551292,-0.082494,87.725301,-0.133747,97.669826,0.005316,88.346769,-0.012674,86.391377,0.055675,88.763560,0.112537,91.545242,0.154763,102.297314,0.190222
3663286646.238367,272.000000,360.000000,0.000000,113.582531,-0.802965,121.127014,-0.712890,100.379158,-0.768702,107.976663,-0.725997,111.106964,-0.676444,96.274547,-0.697932,101.526728,-0.504365,98.379106,-0.429359,96.366337,-0.561213,98.570011,-0.470240,94.318793,-0.319195,101.907343,-0.290281,101.531585,-0.357951,110.429762,-0.325502,96.052298,-0.228613,100.677026,-0.222867,99.910916,-0.174239,105.810112,-0.162930,98.540528,-0.082184,93.299782,-0.005011,106.947032,-0.026876,109.216565,0.043521,94.602089,0.092348,101.369125,0.235256,112.661995,0.115989
3663286646.337718,274.000000,360.000000,0.000000,96.890522,-0.775883,99.473954,-0.649567,105.545865,-0.607807,95.021715,-0.666580,99.693195,-0.703882,94.289352,-0.654196,109.670845,-0.512835,93.212871,-0.464266,92.317931,-0.541669,90.486894,-0.441031,90.795841,-0.487478,95.613200,-0.322098,89.694124,-0.333962,91.650294,-0.278949,92.713719,-0.273706,95.231906,-0.176481,98.439537,-0.053575,96.212761,-0.087995,87.376378,-0.059814,92.991250,-0.045603,95.650367,0.038808,96.814916,0.087427,97.213385,0.169200,96.160378,0.168890,91.511823,0.168426
3663286646.438447,276.000000,360.000000,0.000000,120.896579,-0.865699,110.829213,-0.761308,103.348260,-0.695554,98.185469,-0.750783,117.368024,-0.684673,99.757935,-0.714514,110.580153,-0.590723,105.570862,-0.469825,106.322113,-0.526595,98.105350,-0.480044,104.437392,-0.367197,97.513143,-0.443168,103.807109,-0.386323,109.093330,-0.188579,102.625796,-0.316262,106.404289,-0.184873,98.504641,-0.093495,100.138196,-0.207804,107.068264,-0.156459,102.800242,-0.000574,98.083780,0.017004,99.416900,-0.035665,101.467713,0.113884,103.149914,0.104291,112.230176,0.173729
3663286646.539687,277.000000,360.000000,0.000000,142.955747,-0.939814,140.705773,-0.715310,128.023096,-0.867593,144.804610,-0.785287,141.668980,-0.681188,147.734038,-0.831504,149.598900,-0.729855,133.361417,-0.687981,146.239749,-0.734833,129.145533,-0.583429,126.523599,-0.673338,122.977277,-0.484478,132.260052,-0.573361,142.765524,-0.369723,132.627343,-0.364251,130.346363,-0.480139,139.849678,-0.229573,129.116622,-0.290361,132.575222,-0.198495,153.990772,-0.166992,141.649158,-0.067816,158.275933,-0.143124,151.093929,0.047019,176.044655,0.075225,139.885494,0.079704
3663286646.639421,279.000000,360.000000,0.000000,153.804167,-0.980589,140.775059,-0.885013,172.056958,-0.777150,161.708219,-0.897307,175.479282,-0.645660,133.275371,-0.838795,138.289793,-0.754335,150.178377,-0.656512,130.019385,-0.659536,128.418843,-0.589328,131.375480,-0.387887,124.053778,-0.558170,143.391702,-0.516603,133.682512,-0.334109,134.097862,-0.359696,127.926089,-0.394067,141.288896,-0.306415,148.877568,-0.305772,152.089461,-0.144772,154.264213,-0.088308,150.049590,-0.101363,143.084152,-0.090142,141.979441,0.000421,134.752103,0.086729,148.581244,-0.061950
3663286646.739564,281.000000,360.000000,0.000000,311.963379,-1.586507,263.721096,-1.362004,263.521503,-1.683996,296.987411,-1.446308,310.455587,-1.523291,332.900636,-1.664707,282.815725,-1.521120,213.391070,-1.406007,269.425253,-1.390189,294.062362,-1.589606,347.375668,-1.385647,335.487810,-1.182608,258.919223,-1.062988,374.461564,-1.311814,281.352357,-1.241053,282.301291,-0.945415,308.270015,-1.164820,279.143827,-1.182856,364.381857,-0.970721,289.166603,-0.961730,363.077420,-0.844944,261.358218,-0.951369,240.902635,-0.766678,316.119158,-0.958427,296.258387,-0.528147
