Time,Angle (A),Angle (B),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3663288557.760233,269.000000,360.000000,0.000000,1.932781,-1.361636,1.926348,-1.387902,1.932995,-1.404467,1.625142,-1.411936,1.632503,-1.456639,1.574506,-1.349131,1.645809,-1.532861,1.916883,-1.523594,1.570171,-1.481738,1.751627,-1.448559,1.913032,-1.597843,1.731812,-1.524901,1.716104,-1.558512,1.714509,-1.806132,1.671607,-1.626930,1.663242,-1.672662,1.780200,-1.910607,1.660137,-1.738992,1.910640,-1.828908,1.840900,-2.009069,1.601666,-2.005780,1.911058,-1.897081,1.912498,-1.917522,1.979830,-2.139097,1.938911,-1.974918
3663288557.859966,269.000000,360.000000,0.000000,1.837673,-1.375913,1.831142,-1.396209,1.843997,-1.410497,1.558629,-1.436250,1.579537,-1.475616,1.508827,-1.381571,1.582311,-1.549489,1.822882,-1.540322,1.492331,-1.514416,1.641604,-1.472231,1.827482,-1.616483,1.620240,-1.547794,1.620699,-1.583229,1.649636,-1.842683,1.563599,-1.652602,1.578917,-1.698850,1.713382,-1.933949,1.560641,-1.762969,1.813999,-1.845114,1.779821,-2.045702,1.517655,-2.044805,1.810752,-1.904907,1.832255,-1.928033,1.911320,-2.165389,1.840078,-1.985215
3663288557.960726,268.000000,360.000000,0.000000,1.829573,-1.355323,1.804746,-1.376720,1.807057,-1.391663,1.534266,-1.405001,1.544498,-1.450659,1.480110,-1.351422,1.555214,-1.532184,1.795428,-1.516700,1.477340,-1.484732,1.630319,-1.442499,1.787410,-1.592712,1.612797,-1.521260,1.591207,-1.559608,1.623945,-1.806133,1.565921,-1.627692,1.551840,-1.666500,1.677555,-1.910708,1.547885,-1.737468,1.790723,-1.814270,1.741576,-2.005412,1.495044,-2.008806,1.806486,-1.884902,1.808053,-1.904437,1.865915,-2.139043,1.826792,-1.967624
3663288558.061428,270.000000,360.000000,0.000000,1.807024,-1.357543,1.790818,-1.377524,1.786595,-1.399111,1.525628,-1.410212,1.519830,-1.458557,1.474695,-1.360404,1.538228,-1.543030,1.762734,-1.517599,1.458404,-1.498914,1.602869,-1.450409,1.775550,-1.588551,1.590773,-1.533618,1.577037,-1.561776,1.606270,-1.820750,1.545737,-1.628395,1.526432,-1.669627,1.651273,-1.926721,1.528608,-1.743220,1.769084,-1.821825,1.718771,-2.007729,1.479253,-2.019593,1.787491,-1.889390,1.765772,-1.910082,1.861900,-2.147995,1.790481,-1.967133
3663288558.161161,272.000000,360.000000,0.000000,1.543923,-1.337532,1.560631,-1.369633,1.572339,-1.385613,1.302021,-1.398424,1.326544,-1.442207,1.265290,-1.332611,1.331980,-1.505787,1.549297,-1.495971,1.262920,-1.465535,1.401253,-1.426247,1.539378,-1.576029,1.384720,-1.494590,1.379008,-1.537073,1.397709,-1.796613,1.333206,-1.608945,1.346153,-1.652088,1.430834,-1.882666,1.332656,-1.722053,1.534904,-1.806022,1.491643,-1.991769,1.292860,-1.995988,1.517586,-1.866615,1.537534,-1.896846,1.591972,-2.111415,1.553868,-1.948915
3663288558.262531,274.000000,360.000000,0.000000,1.565152,-1.315726,1.537139,-1.334753,1.534942,-1.350934,1.325494,-1.364525,1.316714,-1.410847,1.276039,-1.320239,1.329551,-1.499572,1.521757,-1.483876,1.264122,-1.454611,1.395644,-1.408291,1.531047,-1.555915,1.371704,-1.488626,1.358098,-1.519164,1.387034,-1.774984,1.338369,-1.593582,1.319033,-1.635756,1.432811,-1.881215,1.317035,-1.703468,1.538062,-1.772246,1.489563,-1.973740,1.272304,-1.980933,1.558107,-1.847107,1.543020,-1.865181,1.611614,-2.112740,1.562565,-1.928391
3663288558.362265,276.000000,360.000000,0.000000,1.508644,-1.299462,1.488784,-1.326842,1.496390,-1.338299,1.271491,-1.362709,1.275872,-1.400930,1.217541,-1.306160,1.294576,-1.486083,1.479757,-1.461911,1.210812,-1.439325,1.333684,-1.392398,1.487987,-1.540299,1.322985,-1.471216,1.316163,-1.505114,1.328988,-1.767185,1.279515,-1.570386,1.277349,-1.616340,1.379780,-1.861705,1.272990,-1.686189,1.484895,-1.760123,1.444785,-1.958179,1.231251,-1.962719,1.488156,-1.827623,1.482038,-1.853376,1.539885,-2.091833,1.507393,-1.915694
3663288558.461998,277.000000,360.000000,0.000000,1.361337,-1.269407,1.360407,-1.281910,1.360147,-1.309482,1.153928,-1.318400,1.149601,-1.363561,1.116837,-1.264401,1.167669,-1.449524,1.342873,-1.438356,1.104338,-1.400798,1.229721,-1.364127,1.351900,-1.509769,1.207187,-1.436269,1.200684,-1.468688,1.222873,-1.722289,1.174782,-1.539693,1.172091,-1.581213,1.252618,-1.838455,1.157973,-1.656276,1.346667,-1.735493,1.301085,-1.922210,1.129786,-1.926277,1.359465,-1.807152,1.349563,-1.820260,1.413752,-2.050259,1.362663,-1.881948
3663288558.563462,279.000000,360.000000,0.000000,1.336559,-1.248259,1.323616,-1.262957,1.332152,-1.285350,1.153352,-1.300014,1.152762,-1.346030,1.115433,-1.257726,1.161997,-1.435633,1.325622,-1.421363,1.096092,-1.387486,1.214928,-1.343247,1.348282,-1.491373,1.195336,-1.419312,1.174964,-1.443071,1.214227,-1.703058,1.159536,-1.531812,1.147882,-1.571573,1.256563,-1.817139,1.143923,-1.637902,1.341562,-1.707184,1.311149,-1.913512,1.112373,-1.920154,1.348624,-1.780160,1.338813,-1.804572,1.402164,-2.052300,1.368537,-1.863003
3663288558.663194,281.000000,360.000000,0.000000,1.217389,-1.182362,1.213798,-1.191664,1.208540,-1.222724,1.035020,-1.230663,1.029545,-1.274176,1.010578,-1.178152,1.039335,-1.363234,1.195047,-1.360959,0.985827,-1.315412,1.104700,-1.271457,1.220375,-1.429286,1.087070,-1.348233,1.074626,-1.375396,1.090081,-1.639528,1.060044,-1.451447,1.051516,-1.499130,1.113518,-1.751883,1.045866,-1.574081,1.210852,-1.655319,1.162559,-1.841936,1.009029,-1.843730,1.220600,-1.722722,1.207277,-1.740927,1.266740,-1.978368,1.217955,-1.794485
