Time,Angle (A),Angle (B),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3663287979.849601,268.000000,360.000000,0.008000,635.349361,-1.066859,486.193950,-0.959393,611.250807,-1.219206,446.062087,-1.442827,535.357218,-0.811780,478.664644,-1.189105,392.976102,-1.223191,516.785021,-1.474456,574.815796,-1.428025,480.022442,-0.829424,547.964241,-1.679773,651.414615,-1.279799,380.399373,-1.439192,491.532135,-1.974050,567.237026,-1.246364,401.103527,-1.752921,406.576063,-1.990343,308.633866,-1.612961,609.210093,-1.017015,615.186376,-1.759413,523.007687,-1.494315,478.274091,-1.732719,435.012218,-1.638605,758.501621,-2.023841,921.345224,-2.355304
3663287979.948910,267.000000,360.000000,0.008000,444.331919,-1.398986,490.552039,-1.053327,395.109911,-1.378434,555.874923,-1.494553,406.823014,-1.244075,347.222806,-1.145762,507.556219,-1.378598,518.074675,-1.270151,300.342091,-1.243310,423.979317,-1.226594,512.240744,-1.501698,340.848389,-1.261421,568.675091,-1.081020,461.561582,-1.249482,390.500909,-1.206157,404.444524,-1.618912,500.701039,-1.909213,500.817408,-1.422346,450.214575,-1.661356,419.441707,-2.061904,426.081355,-1.874109,444.995988,-1.456651,470.286423,-1.932413,486.764874,-1.935189,447.618417,-1.613933
3663287980.049024,269.000000,360.000000,0.016000,406.811681,-1.090980,546.690982,-1.145438,1159.480911,-1.747116,313.174764,-1.182834,463.670010,-1.208014,339.027762,-1.276149,502.474706,-1.380075,498.382132,-1.193614,387.922483,-1.282389,512.925284,-1.275250,590.804458,-1.768038,519.209094,-1.324303,444.947662,-1.455155,548.092596,-1.708899,361.126599,-0.927456,444.930719,-1.902265,478.093843,-2.103625,386.754938,-1.050599,565.524015,-1.219210,638.658317,-2.043628,386.258282,-2.131882,329.441951,-1.517775,695.123024,-2.169534,659.676206,-2.060757,648.110048,-1.544186
3663287980.149266,271.000000,360.000000,0.000000,563.312340,-0.938151,348.461562,-1.127454,446.347603,-1.047687,264.648212,-1.251509,591.644594,-1.151831,366.157880,-1.071348,371.534631,-1.465616,434.451881,-1.032512,369.764512,-1.211331,576.810947,-1.163110,538.402514,-1.610293,278.725254,-1.115770,267.393473,-1.515668,370.999998,-1.754354,375.772342,-1.385995,423.528811,-1.547979,530.679684,-1.967396,282.659733,-1.541691,381.918559,-1.372772,748.994627,-1.224847,488.284278,-1.762899,422.176120,-2.083023,299.179941,-1.573852,331.068138,-2.129040,347.174043,-1.109375
3663287980.249513,272.000000,360.000000,0.000000,538.467218,-1.484413,477.362454,-1.263187,593.474593,-1.728399,414.505469,-1.218705,378.936205,-1.043565,433.686123,-0.840403,364.648973,-1.125012,567.079244,-1.393163,332.269687,-1.448040,397.868627,-1.063152,558.919249,-0.910354,424.432556,-1.138099,359.217222,-1.276382,422.220639,-1.533229,584.366555,-1.338171,374.262831,-1.241421,393.483015,-1.569422,466.981855,-1.513704,402.767719,-1.485131,397.801219,-2.012247,387.990979,-1.691024,427.044060,-1.649276,324.450896,-1.632109,351.216103,-1.761522,540.773782,-1.413403
3663287980.349359,274.000000,360.000000,0.000000,339.168659,-0.981103,542.991993,-0.789333,559.681555,-1.059630,250.901106,-0.879795,467.737460,-0.936297,396.669911,-0.990742,827.822355,-1.013791,519.124578,-0.776734,423.421223,-1.104822,408.073801,-1.098433,373.938279,-1.224201,476.104752,-1.303624,422.260289,-1.597909,463.823893,-1.146252,315.244786,-1.433776,429.664951,-1.461261,469.768211,-1.680168,342.046122,-1.430344,362.971549,-1.984309,435.306599,-1.838211,376.292116,-2.076529,425.554804,-1.546402,501.042424,-1.597709,623.255113,-1.671344,361.275450,-1.272631
3663287980.449090,276.000000,360.000000,0.020000,891.304467,-0.253856,672.008949,-0.064056,453.124649,-0.157029,767.994104,-1.356541,836.215661,-1.392794,524.603880,-0.921488,876.135467,-0.982419,524.761420,-1.114696,478.948306,-0.788970,1112.894011,-0.219431,832.651218,-0.513974,918.248920,-0.850209,858.884721,-0.563889,742.785505,-1.406799,1020.764793,-0.641175,486.139635,-0.044205,799.279701,-0.975600,681.852939,-1.335548,1125.357160,-1.229390,901.979234,-0.960477,795.929492,-1.078640,406.815293,-1.419497,617.936591,-1.110228,594.077637,-0.794722,694.083144,-0.626867
3663287980.548831,278.000000,360.000000,0.036000,579.796965,-1.220465,553.057781,-0.859950,674.427994,-0.730434,366.030957,-0.489211,443.527072,0.165774,647.869433,-0.613895,710.306437,-0.667578,560.562352,-0.804302,823.473245,-0.361395,574.420795,-0.121230,603.561332,-0.779201,570.992496,-1.055023,538.541921,-0.760277,852.883009,-1.017344,405.835792,-1.078977,1028.031215,-0.978390,595.136415,-1.497758,518.560316,-0.759399,724.389595,-0.940904,519.089037,-1.083859,563.418647,-1.208722,592.958379,-1.055071,667.001904,-1.555492,475.116243,-1.119095,662.219937,-1.122708
3663287980.649554,280.000000,360.000000,0.072000,1210.677097,0.164863,779.852556,-0.386782,503.392399,-0.321840,643.002577,-0.656564,704.415101,-0.397060,697.278815,-0.792413,600.851236,-0.587128,670.924642,-1.226813,724.060128,-0.398782,705.121804,-0.356813,508.603455,-0.353237,813.313005,-0.267690,1125.981191,-1.264379,869.191642,-0.671617,525.175045,-0.602131,684.490815,-0.963889,490.695962,-0.419695,603.625073,-0.975793,2448.194502,-0.267172,1289.782604,-1.388998,625.871160,-1.118192,435.396180,-1.182937,666.737078,-0.600269,638.542230,-1.218210,708.479872,-1.162355
3663287980.749293,282.000000,360.000000,0.096000,883.621761,-0.750148,466.046885,0.055307,686.483363,-0.463358,978.015518,-0.272990,1116.186996,-0.686630,456.057133,-0.694206,1450.523408,-0.644106,611.288599,-0.499510,702.947232,-0.753095,723.998799,-0.171818,1001.857106,0.451493,786.006951,-0.411182,564.434019,-0.238867,547.179782,-0.794631,530.356969,-0.310353,780.995428,-0.487262,785.219720,-1.019418,779.700568,-0.550661,434.136197,-0.771960,540.645838,-1.048024,1285.908427,-1.227293,584.158452,-0.425611,963.207053,-1.042367,1204.591669,-1.000180,849.912242,-0.900272
