Time,Angle (A),Angle (B),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3663287337.836005,269.000000,360.000000,0.000000,87.126290,-1.610017,87.160006,-1.555569,79.097754,-1.424979,88.189871,-1.494553,86.566198,-1.508866,80.130793,-1.500479,78.143938,-1.405457,77.949941,-1.283294,77.614515,-1.296869,72.589776,-1.157436,79.420925,-1.073264,72.286635,-1.160823,69.531163,-0.996381,79.630713,-0.965996,79.595496,-0.973717,81.620799,-0.888013,77.313843,-0.756233,79.409177,-0.767149,73.984023,-0.642906,81.986994,-0.509926,80.157771,-0.567030,85.340254,-0.464716,74.234040,-0.425283,83.211537,-0.368524,83.152570,-0.334894
3663287337.935739,267.000000,360.000000,0.000000,88.534149,-1.554282,91.604686,-1.440935,89.314369,-1.374817,86.414057,-1.418795,92.578631,-1.228776,86.467634,-1.259144,81.840818,-1.165569,86.495038,-1.070214,91.156251,-1.036065,78.138637,-1.071682,75.383183,-0.922100,80.655939,-0.971207,89.316487,-0.923512,84.552296,-0.803236,77.379467,-0.708986,84.849304,-0.695680,83.347543,-0.612652,86.620080,-0.542618,77.895919,-0.562237,82.407889,-0.445725,86.795215,-0.357455,78.000624,-0.318181,88.351501,-0.365443,80.151852,-0.167541,85.073280,-0.270438
3663287338.036468,269.000000,360.000000,0.000000,86.550745,-1.546967,92.561811,-1.489707,91.999299,-1.500236,89.341973,-1.483441,89.262098,-1.394681,79.249190,-1.348000,86.923729,-1.074682,79.151611,-1.116153,81.513460,-1.168966,76.153229,-1.110091,73.041334,-0.974830,79.404089,-0.998263,84.676576,-0.982211,81.760484,-0.839976,77.637749,-0.727779,88.097559,-0.680199,80.675486,-0.773909,84.552343,-0.630389,80.978219,-0.559644,86.170555,-0.476836,83.880116,-0.410148,77.934441,-0.368378,80.587376,-0.323281,77.778523,-0.215700,90.019620,-0.208842
3663287338.136201,270.000000,360.000000,0.000000,98.512866,-1.743837,93.058569,-1.712366,92.445844,-1.647228,99.982757,-1.697115,92.693462,-1.537689,82.983452,-1.674868,90.164182,-1.521925,80.109129,-1.328172,84.842184,-1.444601,82.655132,-1.300014,78.334662,-1.289334,81.534088,-1.268101,80.058633,-1.164382,83.796121,-1.138933,81.554573,-1.022792,79.886963,-1.015866,85.637713,-0.872328,81.125660,-0.812984,80.640643,-0.900916,83.440689,-0.704970,90.138910,-0.654923,76.311229,-0.615301,84.941088,-0.583887,79.692332,-0.582739,89.443003,-0.517358
3663287338.235936,272.000000,360.000000,0.000000,80.112490,-1.979431,89.901412,-1.943050,87.218954,-1.915744,89.700591,-1.969866,93.338783,-1.785501,88.493528,-1.933941,81.226970,-1.641748,80.555209,-1.571923,77.862531,-1.680864,71.373656,-1.603451,74.380770,-1.489623,70.711916,-1.492654,75.030711,-1.434917,80.230496,-1.377140,73.477679,-1.271032,83.062163,-1.236996,74.600782,-1.146375,77.898819,-1.181876,72.382822,-1.126726,75.326353,-0.976951,88.925611,-0.865092,76.521786,-0.877481,79.466886,-0.836893,85.796440,-0.818426,81.929416,-0.718351
3663287338.336667,274.000000,360.000000,0.000000,79.715043,-2.448263,76.217508,-2.412684,79.000953,-2.320316,72.884964,-2.313648,79.601590,-2.332255,72.846984,-2.251513,76.844718,-2.105433,69.838502,-2.039177,77.711682,-2.096012,67.280635,-2.046678,66.951793,-1.877017,75.327316,-1.928497,71.800032,-1.868736,70.837288,-1.739192,69.587242,-1.629391,71.573900,-1.703144,67.199360,-1.548096,76.070524,-1.526160,65.512865,-1.522805,69.258889,-1.386748,72.394766,-1.288180,67.966558,-1.307389,78.291243,-1.311720,68.808159,-1.152248,69.413360,-1.193529
3663287338.436409,276.000000,360.000000,0.000000,80.484481,-2.415307,79.544050,-2.380761,80.103653,-2.280105,79.435889,-2.358582,85.447543,-2.334196,70.531732,-2.450867,79.629886,-2.093069,71.466729,-1.948961,68.912911,-2.186317,67.598941,-1.999833,71.153853,-1.850867,64.379697,-1.898902,70.922269,-1.920481,74.059139,-1.777606,61.720804,-1.740488,75.499088,-1.704305,77.081595,-1.510369,66.469928,-1.608818,69.923487,-1.447169,71.354650,-1.368346,79.018174,-1.370876,68.153675,-1.251516,79.892957,-1.219880,77.596390,-1.212385,77.545978,-1.171709
3663287338.536131,278.000000,360.000000,0.000000,63.163875,-2.800031,60.635774,-2.695000,59.406187,-2.641341,67.838598,-2.625992,64.923977,-2.570224,60.804776,-2.622039,63.333053,-2.558960,57.096687,-2.408777,57.441627,-2.434053,54.274877,-2.278474,56.576033,-2.281089,58.425414,-2.281780,55.723026,-2.184622,58.665297,-2.068303,55.715149,-2.051050,54.311842,-2.049980,59.463371,-1.917744,57.425332,-1.872877,60.072953,-1.767169,61.751136,-1.720243,62.496223,-1.668994,61.393157,-1.662395,58.017975,-1.573393,61.109054,-1.516689,65.772210,-1.511198
3663287338.635866,279.000000,360.000000,0.000000,63.878491,-2.765716,65.406066,-2.708870,61.937647,-2.723683,62.976678,-2.637456,64.883874,-2.610286,59.764139,-2.587396,64.755268,-2.510003,57.184768,-2.361610,62.232763,-2.376395,57.606017,-2.338563,55.310812,-2.206124,57.690414,-2.270828,57.747004,-2.201454,64.388989,-2.088175,55.987361,-2.019973,60.553742,-1.982754,59.049217,-1.876418,61.244875,-1.864509,57.631619,-1.856545,62.012461,-1.721879,61.703667,-1.655049,57.278058,-1.686343,62.987600,-1.583958,56.333428,-1.512956,63.978397,-1.530100
3663287338.737668,281.000000,360.000000,0.000000,56.505157,-3.010903,55.530974,-2.872426,53.425942,-2.862303,60.558992,-2.943654,60.011361,-2.825601,54.598169,-2.822193,62.347121,-2.701321,52.525118,-2.654994,55.649474,-2.688061,49.636033,-2.569448,54.253378,-2.483786,51.075529,-2.442751,52.277321,-2.388938,57.975243,-2.282757,52.717891,-2.270187,52.605988,-2.209539,54.474611,-2.099299,53.844741,-2.130425,53.744368,-2.065930,53.034119,-1.952120,56.413735,-1.971384,54.737224,-1.896304,55.395841,-1.794826,55.787812,-1.778939,58.185985,-1.704029
