Time,Angle (A),Angle (B),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3663288235.820978,268.000000,360.000000,0.012000,993.938726,-0.495281,762.644865,-0.276698,577.472323,-0.472183,557.539447,-0.602003,958.929051,0.438409,523.975522,-0.121966,501.626682,-0.531058,540.619794,-0.501912,537.010581,-0.789602,507.635439,-0.128283,450.511085,-0.241036,440.090069,-0.186910,632.010502,-0.544453,639.851978,-0.383076,764.268807,-0.213565,394.559456,-0.488408,625.494690,-0.192328,610.755699,-0.066867,346.079209,-0.179074,626.709316,-0.243885,359.784818,-0.109477,1330.959073,-0.913608,446.199250,-0.600964,568.903215,0.279403,565.859506,-0.494917
3663288235.920711,267.000000,360.000000,0.008000,584.773800,-0.374519,841.549024,-0.780501,605.823607,-0.438482,458.890071,-0.746538,472.882329,-0.173016,511.671125,-0.320545,674.821161,-0.788357,430.316306,-0.693438,383.428003,-0.776120,554.329557,-0.771067,474.028258,-0.245444,527.101655,-0.182122,393.044846,-0.511746,613.300639,-0.519809,544.684687,-0.760003,620.344465,-0.363604,591.520136,-0.808539,587.379019,-0.361742,577.132583,0.109054,520.128762,-0.089695,743.427763,-0.145726,1316.193747,-1.100243,696.794765,0.089425,612.853990,-0.421353,628.826373,-0.243491
3663288236.021439,269.000000,360.000000,0.036000,637.029630,-0.298278,797.272517,0.143719,816.172289,-1.025343,738.090241,-0.265784,611.782590,-0.935778,408.818329,-0.678369,730.225522,-0.750500,783.058757,-0.578319,719.116634,-0.601310,560.178000,-0.454567,426.389313,-0.909018,1145.958755,-0.471440,664.102667,-0.495892,437.349841,-0.678437,472.512547,-0.065951,522.611107,0.117618,468.566628,-0.428379,436.206540,-0.450026,388.196448,-0.732050,960.330880,0.351527,740.217707,0.174198,796.981291,-0.014938,632.641623,-0.502964,502.724472,0.434333,609.857369,-0.248637
3663288236.121219,271.000000,360.000000,0.000000,489.431608,-0.798862,532.853543,-0.857592,520.736633,-0.871087,520.646590,-0.873365,669.253880,-0.623924,802.351341,-0.719394,503.521093,-0.893890,611.326047,-0.370706,517.039329,-0.670824,364.786550,-0.632604,543.516242,-0.800382,337.806460,-0.891399,434.394080,-0.646076,562.411356,-0.497740,416.607242,-0.692416,1027.897220,-0.525065,330.368431,-0.689406,686.462553,-0.530475,483.348882,-0.860168,517.306101,-0.607709,430.860310,-0.540519,863.969920,-0.272539,337.346965,-0.803683,562.904653,-0.779566,533.495944,-0.916928
3663288236.220946,273.000000,360.000000,0.004000,659.015477,-1.597763,602.881843,-0.427802,734.831759,-1.291940,571.439632,-1.206772,673.877039,-1.018007,547.677345,-1.297278,789.129084,-0.898571,1215.849168,-0.666911,834.658654,-1.133781,427.033479,-0.950905,482.135338,-0.867928,639.520426,-0.606199,386.979058,-1.066620,636.693168,-1.011374,802.634757,-0.782551,424.138799,-0.857797,582.005967,-0.988817,467.820631,-1.154842,707.883286,-0.568116,577.798603,-0.894785,1064.747306,-0.786024,457.541177,-0.751316,934.355497,0.066581,734.838003,-0.978253,807.476245,-0.161473
3663288236.321695,276.000000,360.000000,0.000000,360.171112,-2.126978,469.244236,-2.126208,542.927016,-1.977517,476.722292,-1.961795,426.484237,-2.573264,639.357798,-1.901908,356.663360,-2.091436,406.367863,-2.019142,495.957286,-1.992511,370.722496,-2.112680,370.392808,-2.190156,397.097040,-1.891242,577.452603,-2.081841,428.202995,-2.185654,388.533841,-1.989393,614.147118,-2.395295,478.900812,-2.156064,289.397526,-1.918676,447.094028,-2.315170,320.104404,-1.983111,454.452544,-1.992104,497.991029,-1.738720,485.713429,-2.031108,518.138852,-1.753089,398.436240,-1.665521
3663288236.421411,277.000000,360.000000,0.004000,466.835500,-1.836858,318.677082,-2.012658,332.126721,-1.783351,380.371655,-1.916838,802.877525,-2.110358,293.020329,-1.988563,539.510170,-2.268080,385.164008,-1.934384,478.961558,-1.861530,287.335290,-1.815533,420.959673,-1.991516,367.130207,-1.857568,415.317707,-1.694222,357.704638,-1.938786,316.072533,-1.790213,422.810505,-2.304802,368.421967,-1.897906,498.250700,-1.708508,427.962409,-1.847353,424.383626,-1.706282,389.248279,-1.828082,411.990761,-1.693493,445.166978,-1.974236,423.572653,-1.665186,331.663311,-1.616442
3663288236.521142,279.000000,360.000000,0.000000,246.683460,3.011220,312.637392,3.034699,310.444836,-3.033020,224.734618,3.115046,360.867583,-2.954690,220.806623,-3.138369,251.133469,3.127180,304.481733,-3.010918,242.879799,2.952254,229.248797,3.011534,277.498367,-2.688370,227.772848,-3.129871,239.360017,-3.054482,224.275418,3.064596,226.128075,-3.008243,281.316334,3.036453,277.665924,2.932769,300.962568,-3.055042,228.159873,-3.035008,236.997883,-3.040660,286.690869,2.980358,226.160478,-3.024221,290.144573,-2.927858,268.822015,-3.002490,244.292712,-2.995993
3663288236.620877,279.000000,360.000000,0.000000,235.977271,-2.773256,393.021279,-2.972003,249.523469,3.057434,194.536756,2.871799,212.637508,-3.085871,280.717891,2.963225,256.137805,3.135535,285.590688,-2.876448,281.966008,3.018176,239.613969,-2.997223,309.805160,-3.139649,288.155344,-3.129887,251.394788,-2.946912,260.993004,3.122162,210.738814,-2.832147,225.736825,-2.800106,214.471892,-2.929068,247.267303,-2.863526,268.118402,-2.769439,294.246535,-3.069215,309.092906,-2.956353,262.159227,-2.927741,271.232234,-2.743126,256.145178,-2.697012,229.724153,-3.013718
3663288236.721606,281.000000,360.000000,0.000000,244.900528,2.550480,268.448894,2.474933,192.315380,2.633704,254.763186,2.490445,254.547419,2.727280,217.578440,2.661830,209.907916,2.528637,195.848818,2.677336,217.966036,2.581262,220.413740,2.804370,215.892555,2.709223,166.434872,2.660453,210.070255,2.760308,202.341309,2.780810,196.253083,2.778083,203.362752,2.800892,226.740999,2.831417,180.663703,2.824159,206.573846,2.755029,236.731152,2.738893,246.101600,2.843619,231.472534,2.927509,201.501475,3.080058,259.366379,2.861769,230.079328,2.724542
