Time,Angle (A),Angle (B),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3663288557.760233,269.000000,360.000000,0.024000,1009.275525,-1.333876,717.335942,-1.677924,737.223608,-1.123676,2003.382303,-0.927840,379.665982,-0.354702,535.766641,-1.142608,487.977010,-0.658998,391.349166,-0.872677,475.213432,-0.859392,414.046677,-0.502677,1089.482030,-0.878014,772.632779,-0.840400,585.937055,-0.164973,519.865804,-0.451016,601.879709,-0.511100,474.059008,-0.457631,549.701246,-0.680565,497.925583,-0.399832,468.845508,-0.440434,675.791486,-0.154778,1325.606253,-1.099790,611.499362,-0.006916,474.388783,0.095675,881.290963,-0.145354,578.389476,-0.597928
3663288557.859966,269.000000,360.000000,0.024000,342.500739,-0.704535,529.679990,2.477397,472.909310,-0.183623,726.380615,-2.759774,3193.063188,-0.689595,847.092508,-1.847705,1726.226768,0.425384,417.523202,-2.672673,648.599184,-0.218602,772.975558,-1.530928,452.922089,0.566473,648.232458,-2.443573,378.531566,0.160342,648.533964,2.290265,651.918925,-1.885110,438.756967,2.129802,1157.530905,0.019337,557.549892,2.214134,2008.132741,-0.300986,429.908341,-3.049180,1268.258172,3.137338,492.204950,2.960483,527.514340,-0.101487,551.027090,-2.664644,935.682778,0.809799
3663288557.960726,268.000000,360.000000,0.048000,783.678606,-1.570048,389.911672,-0.766843,540.672763,-1.161607,353.893059,-0.930436,458.452608,-1.215649,598.637862,-0.138469,919.368693,-1.138949,698.030139,-0.911093,987.784826,-0.145980,490.411790,-0.699006,448.732108,-0.646865,543.585096,-0.541560,985.424770,-0.874120,574.173624,-0.927944,609.711241,-0.700132,492.190514,-0.296337,490.455252,-0.354150,661.177180,0.498798,782.037364,-0.341603,421.984535,-0.771049,482.363377,-0.014533,663.756012,-0.236533,426.930836,-0.411538,635.643536,0.349765,571.558189,0.074727
3663288558.061428,270.000000,360.000000,0.052000,1156.777556,-0.112405,718.523596,-0.718698,573.748408,-0.881461,827.945022,-1.024446,556.747799,-0.833907,568.550026,-0.621175,728.939569,-1.164197,507.977077,-0.951364,799.226863,-0.502184,495.846641,-0.655247,675.251072,-0.107850,792.715521,-0.718095,725.100506,-0.733052,692.227884,-0.536663,1373.639199,-0.141093,406.756748,-0.367394,519.196025,0.254574,514.450504,0.237501,762.249004,-1.072317,741.126852,-0.551800,1317.901989,-0.376280,791.130587,0.396635,571.914971,-0.560332,655.649458,-0.304132,386.455362,0.028882
3663288558.161161,272.000000,360.000000,0.532000,481.726459,1.767011,772.239526,0.877545,696.810745,-2.258009,704.478756,-2.768067,1857.648084,0.450519,1020.092933,-0.487224,2042.120665,2.460255,1144.586248,2.753802,1406.289852,-2.254412,1135.367347,-0.870144,1104.267595,-1.894474,1556.040628,2.681739,802.718851,-0.608842,551.043075,2.820237,661.222229,-0.483591,772.524740,-0.715894,1361.954692,-0.656225,1356.825807,2.438349,630.631376,0.496323,434.778575,-1.162606,1790.438536,2.793594,574.039318,2.217683,726.803314,0.532287,724.972212,-1.379497,769.329672,-2.884582
3663288558.262531,274.000000,360.000000,0.280000,432.579769,-2.222841,710.957489,-2.866847,407.288391,2.912473,445.819463,-1.838479,1278.368419,3.099697,1557.619999,-3.120373,2598.290582,1.174395,836.978233,1.651164,3218.483740,-0.573509,810.654445,1.822206,715.432126,0.588273,1526.696733,1.103725,904.786289,-2.329304,776.247854,-2.160049,1519.312810,0.707524,1033.321416,2.351605,979.937022,-1.008630,1227.142083,2.596609,1227.262845,0.723520,762.612458,2.119305,1830.094722,-1.548769,728.143444,0.117253,980.840379,1.231359,2156.861094,1.365264,1787.167108,0.028727
3663288558.362265,276.000000,360.000000,0.560000,1324.134545,-1.668785,1182.880757,0.332462,759.531291,-0.588635,1353.561182,-1.311619,1094.189461,-0.808647,1010.074626,-0.364329,8818.335346,0.283970,1844.884104,-0.139251,544.487966,-0.666512,1160.283650,-0.092229,665.927619,-0.558130,1103.341101,0.227492,1465.947368,-1.033933,896.341874,-1.224496,455.283664,-0.173398,777.317948,-0.337005,1855.222368,-0.061047,639.341605,0.487871,1595.140453,0.971299,1359.753231,0.073530,2672.601411,2.742701,901.613604,1.538526,1298.008183,0.473751,706.643355,0.592343,944.571717,0.132596
3663288558.461998,277.000000,360.000000,0.516000,486.821706,2.020423,527.304142,0.399740,899.796231,-2.179971,1137.618434,0.795289,2090.857276,1.321619,1484.298712,-1.971984,1594.980087,1.763915,1659.201581,-1.278207,1932.647263,-2.129232,1489.388795,1.702136,2074.393175,2.992963,830.561890,1.719389,853.440115,1.326386,666.491131,0.577769,574.746868,-2.489132,986.345000,2.153047,2026.628825,0.439618,628.062682,2.910497,2615.043391,1.751776,825.849521,0.126157,4517.334659,-2.782656,797.557191,1.543912,936.801824,-0.605639,1340.833187,-2.184705,771.301355,1.561617
3663288558.563462,279.000000,360.000000,0.536000,1115.823934,1.859686,4678.894468,1.971348,1120.415341,0.563360,1930.830682,1.433208,2229.470492,-1.668406,905.981774,1.519822,891.806123,1.285185,1698.734439,-2.865697,928.647522,0.687652,2777.718001,2.375764,1272.980168,-0.047317,775.795328,0.420435,1778.893292,0.104016,1363.528184,2.237431,1296.951103,1.005189,1114.631721,1.262312,896.692644,0.975305,689.239013,2.194798,3929.166416,0.857982,1166.486275,0.814247,2000.057976,-0.436339,2996.450129,0.995266,919.180475,1.657489,3030.004138,1.341637,1887.213953,0.934468
3663288558.663194,281.000000,360.000000,0.560000,5699.799503,0.246644,1467.365550,-2.827272,1329.124328,2.981848,2995.882003,1.480716,2628.726093,0.871238,814.735816,-1.093561,814.759621,1.828076,1160.366450,1.853748,2770.226978,-0.180606,1001.724405,0.878824,1367.359325,-0.435462,3055.087496,3.100416,2583.996111,-2.514403,11475.581923,-1.377179,2682.731980,-0.209616,1629.020340,0.569306,1291.425945,3.113083,1316.777815,2.925667,998.808257,0.811537,1395.627986,-1.970945,1304.138275,-1.792503,1652.370949,0.272952,1802.084055,0.186772,1683.300990,-1.942760,1170.907334,1.904372
