Time,Angle (A),Angle (B),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3663288766.722029,268.000000,360.000000,0.552000,1597.397541,2.551606,1214.074130,-1.397517,814.975335,-1.626949,559.477114,-0.658499,398.125704,-0.922133,445.724270,-0.806270,563.162880,-0.904117,729.954270,-1.628915,458.853001,-0.850252,742.068373,-0.487038,556.898857,-0.912129,563.457761,-0.579081,941.047042,-1.792183,473.523628,-1.278304,658.025865,-0.560309,724.862667,-0.813355,757.441448,-0.618722,782.979569,-0.350875,681.026048,-0.865132,419.952618,-1.769887,584.936583,-0.752020,1340.301706,-0.470202,384.781258,-0.878642,653.950966,-0.203577,596.284940,-0.609475
3663288766.821763,268.000000,360.000000,0.056000,510.083005,-1.313654,675.332711,-1.619674,670.698212,-1.874117,492.691244,-1.097639,707.324806,-0.922421,838.731183,-1.113119,775.812602,-1.023705,454.762332,-1.207756,562.539443,-1.495353,10169.321010,-1.344514,455.240388,-1.799033,585.154687,-1.796787,467.172261,-1.100967,5098.721272,-0.010726,650.868647,-1.011408,751.849050,-0.206676,677.888220,-0.539188,910.408675,-0.442232,364.119134,-1.058495,753.125855,-0.952327,577.617642,-1.056843,424.901624,-1.210203,419.111433,-0.650004,401.783852,-0.620496,560.505273,-0.853175
3663288766.922492,269.000000,360.000000,0.544000,1054.068574,-0.543593,866.113017,-1.076161,1792.343007,-0.924555,636.080022,-1.299474,494.900167,-1.154031,738.548157,-1.312339,921.816594,-1.270397,561.069149,-1.430267,474.218753,-0.915513,1052.816687,-0.801286,762.659225,-1.423543,567.257233,-0.290685,1048.788911,-0.969076,7366.585624,-1.032309,536.245817,-0.880191,378.231954,-0.831170,485.771163,-0.534034,529.196970,-0.904729,667.117777,-0.345711,512.862354,-0.523054,563.740133,-0.826909,776.642029,-0.698425,789.307999,-1.022045,423.694011,-0.162944,324.020065,-0.563318
3663288767.021865,270.000000,360.000000,0.552000,479.397391,1.451502,929.227875,1.819281,1106.043965,-0.014999,613.430268,0.349218,937.402699,0.065165,600.721525,-0.796184,879.782852,-2.106103,1351.629871,-2.630990,1477.117204,0.787843,1544.516230,2.488099,384.868031,1.036357,721.662524,0.989561,1023.330728,-1.310283,389.268485,-2.561408,2275.758225,0.242782,828.975274,1.744445,1362.870046,2.396986,649.587191,0.425509,918.321142,0.606054,639.624012,-0.591851,626.254910,1.845961,432.645606,-2.352903,746.583275,-1.054223,699.773138,2.981595,719.767527,-2.501700
3663288767.123167,272.000000,360.000000,0.172000,1443.753867,-2.383543,1169.415508,0.579908,332.245241,2.229107,723.648986,-2.182573,2538.759938,1.934513,1586.736001,0.716571,2152.161335,-0.711112,821.902831,1.570776,1021.555630,-0.613586,663.149843,-0.955765,704.805220,-0.054821,2681.353743,-2.986081,943.042909,-2.696662,1118.853380,-2.565406,1219.402506,-0.487149,635.582817,2.401991,870.989279,0.318415,690.454999,1.210020,865.803597,2.431619,5327.520002,0.156748,777.262530,-2.696340,416.801741,-2.937033,3121.126990,-0.915473,1304.224553,1.411021,1012.199762,-1.035272
3663288767.222901,274.000000,360.000000,0.324000,629.946350,0.550486,1062.075715,-1.693937,1249.453497,-0.275430,1725.624070,-2.608489,4955.401456,0.050197,1240.905922,0.279293,852.694409,-1.699602,1189.226916,-0.369410,3392.532241,-1.870934,5514.056752,-0.982565,570.433124,-0.433806,717.082884,-2.215765,752.010187,-2.252194,2505.382657,1.850980,895.944237,0.511071,3700.554805,-0.249305,702.048769,3.080404,1804.026555,2.433155,1808.418673,-1.116505,928.046254,1.537872,1572.776545,0.613250,1164.581747,-0.187878,1079.077914,2.472401,3381.638424,2.686803,1234.016366,2.023359
3663288767.323631,276.000000,360.000000,0.520000,930.697238,-0.226434,3460.460894,-2.752235,4361.745135,2.373427,1052.819473,-0.651998,1975.431022,1.675462,1238.954738,-0.486425,788.804387,-1.717595,925.649572,0.616250,772.787929,-1.114730,3368.894291,-2.209679,1628.714177,0.562529,732.811176,3.004081,1620.737819,0.754732,835.967874,-1.343737,1412.924098,-2.468777,1925.399140,0.993726,1127.265945,-0.498902,1263.272374,-2.041771,829.656263,0.030377,800.573514,-2.175471,746.448192,-0.033826,1459.842682,-0.955694,742.914676,1.628997,949.881065,-0.245329,618.749523,-2.450868
3663288767.423364,278.000000,360.000000,0.528000,1511.259159,-0.490844,836.418262,-2.346086,1223.103297,1.919068,2389.709984,-0.105857,545.646829,0.156720,2595.341420,2.199038,801.275984,1.842318,806.131062,-0.359571,5892.732774,0.104465,960.344290,-0.238218,1268.449222,1.436520,893.702266,2.435100,1060.296835,-3.062275,1723.554697,-0.930409,7476.603149,2.230750,1092.930069,0.043564,3626.790316,2.806470,18745.902663,-2.650988,1148.211051,-2.294645,1366.836719,0.341927,1438.096875,-0.691093,1306.065840,0.816229,2181.920615,1.121234,811.230349,-1.159330,2953.055346,1.704667
3663288767.524643,279.000000,360.000000,0.528000,509.559309,2.929546,6129.547617,2.522890,1024.045074,-3.089682,2637.686104,-2.918036,10286.555048,-0.523848,1719.264907,0.934149,1117.184000,1.945008,1337.080804,-2.391564,1712.783249,-1.470131,3826.785476,-1.417269,2280.127568,0.081332,1720.323229,1.920760,1061.368883,-2.983091,797.146083,2.779831,2080.252152,-0.376144,1828.864854,-2.898035,1840.831951,-1.099380,1624.465890,-1.345373,891.913174,-1.853684,861.973805,-0.032787,983.626980,1.930073,687.762514,-0.805031,809.747992,0.639104,1609.699359,0.666630,819.007746,0.076689
3663288767.625526,281.000000,360.000000,0.480000,1555.744449,-0.400678,2094.979856,3.125612,663.675515,-0.954979,2326.256896,-2.604985,924.812175,2.366183,1624.067235,1.839716,3370.062453,-0.478301,984.677907,-0.928135,1332.277733,2.080858,1657.612878,-0.203514,2186.947957,-0.689748,915.376547,-1.608278,1551.251345,-1.332324,356.866656,2.323534,1669.971088,-0.628005,3293.368176,2.107771,2584.514102,2.258064,2793.587536,1.943456,1474.645011,-0.300245,3366.094050,-2.796297,3108.850303,-1.113407,942.398269,1.945302,1151.399878,-1.168421,746.296697,-0.456541,3545.636718,-1.126640
