Time,Angle (A),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3666313026.382001,270.000000,0.440000,0.039192,0.837812,0.026734,1.763599,0.061488,2.026958,0.045536,0.519559,0.075550,0.351690,0.047582,1.588465,0.023348,1.433139,0.030887,2.110645,0.044108,1.636905,0.038472,1.927354,0.037344,0.818260,0.032694,1.740055,0.035076,2.882287,0.036125,1.262996,0.032498,1.779035,0.022505,2.499161,0.032009,1.225271,0.047308,1.304816,0.049225,0.919750,0.032521,0.630622,0.036839,1.358391,0.106489,1.247837,0.067185,1.870278,0.267751,1.322023,0.047077,1.978641
3666313026.481735,268.000000,0.432000,0.033682,0.711590,0.031625,1.971376,0.057282,2.127755,0.144952,0.084744,0.039821,0.736466,0.045297,1.967514,0.026314,1.161469,0.041560,2.224860,0.041370,1.553787,0.037054,1.928834,0.046286,0.978176,0.029709,1.915252,0.054984,2.902035,0.059593,1.486086,0.028082,1.900368,0.024955,2.432153,0.040285,1.276850,0.089355,1.588833,0.055270,1.126100,0.027811,0.501408,0.039944,1.410497,0.119658,1.943501,0.061259,1.232649,0.092224,1.089592,0.055387,2.035583
3666313026.582465,268.000000,0.408000,0.032870,0.879776,0.027821,2.019184,0.059984,2.106831,0.049936,0.537084,0.066584,0.421164,0.040848,1.444974,0.023023,1.402306,0.032716,2.082306,0.042220,1.724621,0.032040,2.109492,0.033370,0.670389,0.030702,1.758262,0.031105,3.038090,0.035987,1.449723,0.027345,1.938091,0.021478,2.518262,0.034054,1.168462,0.060139,1.351640,0.062563,1.269356,0.027519,0.609455,0.040081,1.488025,0.135083,1.203401,0.077037,1.981394,0.119297,1.311924,0.047804,1.930707
3666313026.682199,270.000000,0.432000,0.035914,0.808825,0.027411,2.009373,0.091525,2.056706,0.087602,0.669391,0.045226,0.848292,0.050919,1.815001,0.024584,1.241394,0.040603,2.013088,0.036163,1.277934,0.030061,1.924350,0.037606,0.856369,0.030605,2.022661,0.038238,2.754928,0.047789,1.432403,0.025902,1.729541,0.027090,2.484183,0.029927,1.251695,0.058409,1.387122,0.048095,1.552247,0.025032,0.607376,0.036865,1.501143,0.086070,2.542385,0.072019,1.260065,0.063370,1.254408,0.055825,1.789086
3666313026.781900,270.000000,0.404000,0.035039,0.829776,0.028895,1.957660,0.053717,2.057699,0.050781,0.421701,0.058846,0.410203,0.041939,1.493767,0.023858,1.420006,0.032948,2.136225,0.039678,1.765710,0.034129,2.059555,0.033935,0.748629,0.029510,1.797577,0.031607,3.104115,0.038151,1.384105,0.028211,1.970090,0.022501,2.497535,0.036784,1.152261,0.059785,1.450763,0.057075,1.125846,0.028577,0.615526,0.038398,1.403254,0.157792,0.940344,0.078088,1.824885,0.141807,1.410359,0.050605,2.032541
3666313026.883629,270.000000,0.436000,0.042879,0.857859,0.027162,1.972084,0.058531,2.329494,0.082031,0.333426,0.052735,0.927668,0.051148,1.597124,0.023173,1.258268,0.037457,1.965551,0.036356,1.366233,0.035563,1.931877,0.033828,0.862078,0.033577,2.053974,0.039876,2.775390,0.039594,1.450292,0.024905,1.675396,0.023205,2.596017,0.026439,1.250530,0.050579,1.598952,0.066242,1.353303,0.025883,0.690263,0.034073,1.431625,0.089936,2.316117,0.054190,1.629253,0.078642,1.230541,0.045357,1.796192
3666313026.983361,271.000000,0.452000,0.041997,1.010826,0.027712,1.943353,0.048640,1.931382,0.052969,0.395638,0.056624,0.458074,0.044690,1.656756,0.023812,1.469323,0.033820,2.222288,0.038019,1.905150,0.034270,2.044016,0.038386,0.764888,0.028745,1.855241,0.035614,3.097960,0.043425,1.431719,0.029508,2.047348,0.023490,2.512768,0.039553,1.226357,0.076040,1.592000,0.051744,0.924309,0.028255,0.532367,0.033015,1.334201,0.125328,1.407631,0.053820,1.846720,0.112020,1.658132,0.059175,1.824411
3666313027.084092,271.000000,0.456000,0.038218,1.265786,0.029357,1.948965,0.042731,2.316974,0.057994,0.233333,0.099872,0.788972,0.071514,1.259991,0.024204,1.599842,0.029314,2.270209,0.036947,1.544062,0.031673,1.802364,0.042579,1.137874,0.035864,2.110138,0.035197,2.894398,0.040157,1.222172,0.036459,1.504992,0.025711,2.533594,0.025483,1.300928,0.035722,1.586736,0.049838,1.419392,0.052929,1.001543,0.031063,1.441815,0.079599,1.055249,0.049476,2.094127,0.102450,1.251401,0.039473,1.913189
3666313027.184389,272.000000,0.456000,0.036884,1.059348,0.033467,1.916376,0.050641,2.240569,0.056746,0.859203,0.047773,0.636672,0.043027,1.450851,0.024026,1.499098,0.032702,2.058577,0.038293,1.714824,0.031367,1.931207,0.038826,0.488775,0.024870,1.797764,0.037977,3.120361,0.044389,1.546283,0.032816,2.048427,0.022157,2.468417,0.038297,1.362078,0.080314,1.192409,0.069010,1.000255,0.030398,0.354244,0.036489,1.445662,0.375941,2.010592,0.049059,1.972813,0.061247,1.298240,0.058437,1.821419
3666313027.284121,272.000000,0.456000,0.034359,1.070757,0.025112,1.868995,0.054017,2.149263,0.044259,0.460984,0.068733,0.295010,0.053396,1.172770,0.024205,1.546729,0.032771,2.010571,0.036156,1.630292,0.033942,1.983533,0.035796,0.962645,0.034059,1.947744,0.034718,2.923156,0.034889,1.221766,0.032293,1.656313,0.021865,2.545596,0.027157,1.165559,0.037826,1.510083,0.049631,1.235693,0.037212,0.820523,0.032628,1.434478,0.094848,1.435439,0.053191,2.029663,0.159388,1.353768,0.038976,2.107111
