Time,Angle (A),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3666312395.002022,270.000000,0.000000,140.449647,-0.743662,143.518071,-0.816843,146.080788,-0.735186,144.696915,-0.779747,147.240673,-0.760185,120.942087,-0.889124,127.446875,-0.622685,148.546496,-0.427996,185.235928,-0.222547,154.661050,-0.596888,152.832735,-0.312737,178.287892,-0.111186,144.010783,-0.090052,184.525893,-0.071818,157.737534,-0.379068,151.994443,-0.334778,170.260519,0.074012,131.283012,0.038871,196.892479,0.093582,223.915316,0.478776,433.290960,-0.113311,153.155071,0.370004,232.312560,0.282671,179.704442,0.333192,164.212677,0.545243
3666312395.101794,268.000000,0.000000,42.722296,-1.017435,39.655426,-0.994170,41.758412,-0.901487,42.415482,-0.911840,43.200039,-0.871611,40.631739,-0.895624,41.640723,-0.735469,40.383230,-0.668711,40.953367,-0.728026,37.888465,-0.685871,37.698593,-0.579418,39.051889,-0.615992,38.545771,-0.568912,39.428782,-0.423109,37.698925,-0.367420,40.758291,-0.379616,39.420496,-0.294599,44.864660,-0.273869,38.464496,-0.232232,41.077467,-0.084386,41.409073,-0.024333,39.630925,-0.045175,40.215866,-0.023318,41.357413,0.086112,46.526906,0.021659
3666312395.203509,268.000000,0.000000,79.056033,-1.228992,84.650188,-1.136051,73.555515,-1.336486,82.389826,-1.204790,81.705847,-1.113424,73.007674,-1.137516,87.774509,-0.980454,78.175922,-0.926485,83.916711,-1.014189,68.356458,-0.942675,66.410237,-0.692485,71.193969,-0.779895,68.803888,-0.833457,73.697110,-0.618225,78.249825,-0.683554,73.072432,-0.657135,82.370140,-0.654128,80.893153,-0.477126,72.933242,-0.322422,76.879138,-0.358733,89.003143,-0.331871,95.917459,-0.318812,86.629162,-0.316554,88.721707,-0.144159,84.932888,-0.254875
3666312395.303285,268.000000,0.000000,99.172761,-1.140732,97.298591,-1.039008,95.008947,-0.980748,94.459383,-0.929702,88.908562,-0.898722,85.648313,-0.907009,96.189355,-0.922773,87.500952,-0.703248,108.336473,-0.775611,97.607712,-0.756078,97.812289,-0.438059,87.697965,-0.388085,82.370089,-0.716099,96.413479,-0.362205,89.955888,-0.364748,90.930388,-0.278211,99.251855,-0.323571,116.384927,-0.275995,102.564274,-0.230053,104.417338,-0.043240,106.756003,-0.081303,99.548908,-0.168876,117.858762,-0.150905,102.041694,0.053578,153.611741,-0.082960
3666312395.403017,270.000000,0.000000,67.422097,-1.422398,67.692520,-1.369518,59.489233,-1.261592,62.189000,-1.221749,64.644272,-1.217797,59.228326,-1.221317,64.150898,-1.069016,53.889126,-0.872220,65.208188,-1.075263,55.358126,-0.984461,58.294891,-0.872348,57.170500,-0.977844,65.187546,-0.811740,66.303398,-0.617918,64.075690,-0.718779,59.658880,-0.690225,60.742723,-0.633994,68.077073,-0.607952,61.510710,-0.594413,60.901762,-0.459141,65.412873,-0.365727,63.259855,-0.379176,56.670746,-0.391150,73.579388,-0.258563,70.856489,-0.287179
3666312395.502749,270.000000,0.000000,62.258019,-1.070553,64.219851,-0.935301,71.416069,-0.791479,73.125283,-0.868592,72.019636,-0.895872,64.117073,-0.957225,67.367972,-0.703067,71.158841,-0.724082,65.956839,-0.711766,62.226264,-0.772196,61.746383,-0.466039,73.931883,-0.477152,66.984547,-0.604272,70.264570,-0.360278,64.181186,-0.391972,67.643056,-0.382815,71.676451,-0.162405,64.089684,-0.200889,64.646833,-0.143455,74.336176,0.001178,68.811752,-0.160166,69.569374,-0.057696,70.764801,0.122039,83.183451,0.058077,73.126956,0.037850
3666312395.603514,270.000000,0.000000,161.399592,-1.957114,182.986876,-2.046247,158.458235,-1.825887,262.001395,-2.108279,196.398601,-1.928293,174.093197,-2.066901,206.766894,-1.964016,219.311754,-1.761802,133.414530,-1.736457,147.869135,-1.565054,136.123207,-1.763642,157.069864,-1.890905,209.199177,-1.822334,184.974947,-1.742330,214.799281,-1.553545,151.748305,-1.723833,153.265503,-1.557296,184.090502,-1.213157,184.239908,-1.488934,183.481269,-1.466808,248.097260,-1.358885,183.671428,-1.373366,178.748392,-1.501498,147.204908,-1.568976,165.722480,-1.166619
3666312395.703214,271.000000,0.020000,216.042342,-1.869231,341.446039,-1.271790,306.060676,-1.921298,306.469666,-2.336959,475.086465,-2.293083,377.017752,-2.013574,276.319360,-1.718497,365.736383,-1.949516,264.849831,-2.168478,616.063335,-1.807745,333.947164,-2.015575,361.467311,-1.743829,240.906409,-1.707022,336.436809,-1.115468,504.122761,-1.122718,351.242508,-1.784813,618.903663,-1.156956,300.016815,-1.282599,346.932487,-1.648923,213.358144,-1.753541,351.085149,-1.640554,269.500210,-1.677795,320.678850,-1.784981,306.721973,-1.690182,300.165689,-1.994951
3666312395.802947,271.000000,0.000000,104.137071,-1.870530,119.274521,-2.013788,135.913890,-1.758412,115.787137,-1.888965,108.339540,-1.785142,130.946805,-1.833042,109.051019,-1.631667,92.954062,-1.634227,116.855912,-1.695629,109.633023,-1.638378,98.008295,-1.585562,104.571798,-1.554924,91.607774,-1.539909,127.410274,-1.279859,160.406840,-1.303200,102.839827,-1.557759,115.782457,-1.319509,118.533369,-1.280600,107.669127,-1.360914,113.293463,-1.219016,129.920254,-1.110250,121.382669,-1.032825,123.949243,-1.181685,114.795234,-0.705683,116.746234,-1.136353
3666312395.902734,273.000000,0.000000,161.164975,-1.633495,170.292252,-1.943348,217.025356,-1.677451,158.858449,-1.748497,158.758331,-1.335731,189.696353,-1.597976,163.773548,-1.641374,152.129970,-1.802150,159.361154,-1.594033,170.135152,-1.753428,184.811096,-1.461400,226.368631,-1.481051,191.922833,-1.329720,217.675727,-1.245573,223.630646,-1.577196,225.969633,-1.426339,264.525979,-1.421617,187.829799,-1.252080,307.970687,-1.362180,202.808970,-1.271959,214.188956,-1.478117,250.488600,-1.128213,196.393105,-1.379165,197.685816,-1.326710,292.823441,-1.127474
3666312396.004409,273.000000,0.544000,386.108560,1.967984,821.090863,1.695360,2713.735351,-0.429728,1314.832541,0.376071,1031.819591,-1.622959,472.769957,-0.965905,1336.907755,2.233444,467.020568,-2.926346,760.436652,1.312694,277.178068,0.925159,458.489804,1.049922,531.454352,0.353721,399.600079,-1.053025,480.559798,2.590736,453.403034,0.780979,902.089702,-0.867433,428.552941,0.557163,405.363561,-1.674274,418.613071,-1.995263,253.079278,-2.718129,1942.923167,1.198326,225.500764,1.976611,269.316747,1.739055,173.043593,-0.033835,381.487311,-0.290804
3666312396.104154,273.000000,0.028000,170.228036,-0.955390,203.684822,-0.691518,175.743104,-0.561339,235.054615,-0.572851,395.783524,-0.550746,249.763660,-0.635449,293.401285,-0.617208,186.682530,-0.025149,200.573662,-0.774426,176.101182,-0.247334,301.350928,0.131995,228.005437,-0.139708,295.851411,-0.694026,224.081067,-0.107688,199.546443,0.140054,215.006926,0.066245,323.771854,0.466436,297.942310,0.468686,234.671485,-0.106301,313.509323,0.560906,255.418400,0.199937,246.720714,0.754521,376.135716,0.952794,421.230959,0.303628,383.468028,1.221351
3666312396.203874,274.000000,0.000000,154.403842,-0.035121,191.483537,0.220003,174.361737,0.205522,157.233467,0.326814,133.317899,0.182083,138.141660,0.118269,152.474525,0.468609,138.321391,0.735103,179.257707,0.554198,143.954810,0.548426,139.672728,0.701093,153.340327,0.656736,162.384626,1.046357,174.778571,1.246004,145.189893,0.928810,142.771650,1.145549,150.207733,1.312482,174.412831,1.143608,200.355440,0.930454,185.657967,1.471420,193.200443,1.410075,149.181980,1.296213,176.114549,1.451607,190.682619,1.492219,180.152759,1.603121
3666312396.304605,275.000000,0.000000,200.942089,0.250648,140.422216,0.327947,146.112377,0.318997,161.531542,0.462326,126.425532,0.539981,123.361011,0.187546,153.282502,0.492687,140.322398,0.618870,137.903148,0.647496,153.423548,0.540786,114.552282,0.570563,120.949452,0.768103,144.679336,0.930751,150.377621,1.169077,123.987496,0.914579,133.386955,1.316896,138.102302,1.205122,125.393472,1.374729,96.982817,1.163450,122.322509,1.525714,142.743574,1.460549,139.041178,1.777737,120.007639,1.763531,114.409415,1.706776,111.967629,1.764258
3666312396.404339,275.000000,0.000000,155.160250,-0.299409,183.237326,0.079314,196.322049,0.027759,154.173923,0.179129,176.440304,-0.061306,137.053123,0.132046,187.915048,0.337789,141.640876,0.502646,165.241681,0.448971,130.226266,0.476732,172.086385,0.544797,141.075687,0.567795,143.733009,1.017903,166.636414,0.639994,138.615614,0.883342,155.280657,1.212776,159.670094,1.153614,176.966851,1.280760,130.459877,1.264302,217.999223,1.238181,143.605726,1.470857,161.969469,1.604047,126.591629,1.637472,121.616276,1.636742,158.203469,1.664654
3666312396.504073,275.000000,0.000000,180.675220,0.516380,157.609996,0.615269,159.643227,1.082460,129.452482,0.977549,151.872016,0.831495,143.163758,0.795840,166.597577,0.900196,112.729574,1.177473,130.667743,0.971057,121.263152,1.068823,110.314888,1.126050,123.954620,1.093115,136.004541,1.419646,141.099543,1.376166,132.800617,1.485567,111.070387,1.469993,128.364895,1.688730,130.790853,1.637591,118.407747,1.863683,108.196172,1.939968,112.714472,1.962516,111.491242,2.049308,105.206772,1.952322,101.687221,1.993433,115.652351,2.060234
3666312396.603805,277.000000,0.000000,79.726370,0.526710,87.883136,0.700185,83.142582,0.721919,88.404403,0.734840,90.161533,0.646089,65.580507,0.745121,85.167860,0.950231,76.749789,1.070860,75.373770,0.940931,66.938220,0.933913,67.346651,1.152931,74.390411,1.028348,68.740420,1.226995,78.840854,1.365720,80.079246,1.218756,61.622616,1.340867,71.235919,1.560550,72.908158,1.461515,71.727095,1.591488,63.779046,1.608975,71.460683,1.743399,68.310563,1.677992,69.683097,1.762352,64.215313,1.806270,68.413634,1.893432
3666312396.704575,277.000000,0.000000,98.326194,0.652771,76.452632,0.723092,85.621601,0.940513,87.143857,0.914482,77.236547,0.953769,73.630108,0.890227,72.446902,0.996579,65.862707,1.064376,83.412832,0.902159,66.981246,1.129117,68.775467,1.156661,68.398784,1.246358,71.136484,1.318064,69.112216,1.300971,69.994704,1.457600,66.198870,1.532600,66.866083,1.694998,63.417850,1.693119,63.842051,1.667785,61.417833,1.747382,76.596790,1.896280,65.843909,1.880080,65.483830,1.891347,63.646487,2.046329,70.444324,2.009479
3666312396.804270,277.000000,0.000000,76.363332,0.837414,62.498439,0.771219,60.795859,0.965518,60.890585,0.872262,66.635309,1.023907,58.310859,0.968315,56.438307,1.187504,54.784638,1.176375,60.349241,1.132096,53.563839,1.254504,50.511485,1.332627,53.729065,1.329189,55.201918,1.342699,49.920412,1.475397,52.744930,1.508336,58.292044,1.529479,53.400336,1.645227,53.392453,1.576451,54.616093,1.700677,55.202930,1.897009,56.170323,1.906124,53.061084,1.869167,50.688931,1.987200,50.924696,2.105758,56.112658,2.032198
3666312396.904002,278.000000,0.000000,59.858962,0.577409,54.632181,0.728031,56.614164,0.882923,59.269786,0.714773,60.978440,0.807323,53.509569,0.871751,57.112004,0.915858,52.520846,0.981463,53.597184,0.931145,44.374223,1.001142,51.007475,1.118609,49.608893,1.169988,50.693448,1.146970,49.174239,1.274948,45.636640,1.354605,53.592303,1.346499,46.209276,1.580708,50.050142,1.476148,46.639645,1.593647,45.379914,1.657526,52.725936,1.724393,49.250145,1.743850,49.076045,1.788993,50.103539,1.817470,50.934231,1.919970
3666312397.003736,279.000000,0.000000,62.915718,0.751823,56.752744,0.925522,53.219893,0.930384,58.561343,0.937752,59.351223,0.860475,51.344358,0.930170,52.217607,0.987068,49.295018,1.195975,52.330821,1.197818,53.109436,1.122789,45.910120,1.289356,52.815372,1.219939,48.008526,1.289009,49.736527,1.451375,51.901203,1.390385,50.317104,1.394756,49.441522,1.538879,51.825732,1.627396,49.537997,1.641885,48.115997,1.716149,54.137936,1.800590,49.224730,1.847398,46.607493,1.916037,47.670988,1.924105,47.032852,1.959335
3666312397.104466,279.000000,0.000000,81.934617,1.167057,88.642071,1.190355,81.531628,1.217155,87.874035,1.322179,84.029442,1.264887,79.881382,1.190978,80.830722,1.411125,77.646534,1.531020,87.436746,1.473785,61.105532,1.603786,73.303939,1.591491,64.730847,1.642586,59.613487,1.634791,67.188714,1.774794,72.618956,1.760722,67.533128,1.980416,64.043103,2.080347,69.096090,2.014317,64.856573,2.070434,71.860563,1.971267,72.180280,2.282064,64.185541,2.204377,67.847805,2.334735,69.330992,2.375811,68.757432,2.421337
3666312397.205197,280.000000,0.000000,52.172256,0.475971,51.876961,0.556484,50.318109,0.605939,56.731931,0.622016,54.119334,0.713604,48.439062,0.599858,50.435509,0.862328,44.743853,0.835972,48.164814,0.793738,44.855742,0.888614,47.437310,1.048042,47.402866,0.950798,44.659623,1.070773,50.499211,1.193816,45.462482,1.197660,47.087738,1.206764,42.965474,1.363182,46.815302,1.320536,45.869729,1.400346,42.762814,1.450807,44.592383,1.557841,42.821564,1.545347,43.350323,1.663670,44.998896,1.728857,44.223437,1.643106
3666312397.304930,280.000000,0.000000,55.848024,0.611777,54.509737,0.707932,52.194507,0.794583,58.527433,0.842205,59.974429,0.859359,50.915579,0.725818,53.438242,0.844512,50.794075,1.058328,48.070553,0.927020,42.615767,1.036152,45.720407,1.177741,47.497743,1.121173,48.482569,1.149491,56.594499,1.338828,45.585422,1.330735,43.099914,1.314324,45.855005,1.449599,48.451749,1.487617,47.232066,1.503903,52.292332,1.582948,50.325338,1.691730,50.706027,1.712075,49.100465,1.820686,49.560040,1.917855,47.640057,1.867971
3666312397.405661,280.000000,0.000000,53.438906,0.828586,48.215846,0.835309,44.679491,0.915195,49.887434,0.897827,45.646598,0.921511,44.073641,0.975408,48.700492,1.044719,40.875695,1.178680,43.287967,1.075322,40.337958,1.148033,41.655825,1.201911,38.481839,1.246690,41.389168,1.349919,40.524405,1.337423,41.093935,1.416803,40.290338,1.426432,40.708171,1.581649,42.981169,1.566709,38.168675,1.663311,43.651331,1.654022,42.184059,1.769573,40.954481,1.834845,41.048795,1.851917,40.645049,1.902310,41.325000,1.923871
3666312397.505405,280.000000,0.000000,51.909242,0.547285,52.412557,0.651487,47.073741,0.659242,52.644495,0.609356,51.197621,0.740626,46.968941,0.751502,53.932368,0.750283,43.132093,0.958459,45.170751,0.876857,44.271853,0.859492,45.048241,1.130771,41.513312,1.086163,44.391100,1.111164,45.966883,1.267944,45.220417,1.208593,47.058990,1.260480,45.080450,1.320782,45.413391,1.335856,43.229936,1.487121,43.368782,1.490748,44.486601,1.605742,43.777967,1.594343,41.181793,1.644058,42.047989,1.723516,42.428339,1.741985
3666312397.605140,282.000000,0.000000,52.224242,0.482161,45.263642,0.577918,47.593028,0.643840,50.213414,0.645712,45.681896,0.669928,42.278104,0.651400,46.684220,0.775670,42.708454,0.778472,45.374907,0.790294,38.859827,0.818743,39.305933,0.967916,41.220501,0.920104,44.370816,0.981472,46.509834,1.135805,41.337411,1.132861,40.250054,1.215144,40.358076,1.299196,42.349778,1.314018,40.393482,1.300283,40.523950,1.456035,41.782680,1.579141,39.936180,1.520465,37.563845,1.509127,43.002946,1.598913,42.288240,1.661590
3666312397.704901,282.000000,0.000000,42.276469,0.583563,37.820882,0.547397,38.457494,0.637922,40.013941,0.638442,40.058614,0.704135,38.114246,0.678949,39.213028,0.861258,35.504355,0.812257,37.182644,0.824787,36.338294,0.931078,34.844884,1.030939,34.118920,0.960369,35.456316,0.979566,33.885389,1.164913,35.525941,1.141243,35.640726,1.136395,33.667739,1.293101,36.156332,1.341195,35.648388,1.309142,35.302745,1.448377,36.118750,1.586950,33.760433,1.536227,34.952974,1.583237,36.939616,1.655347,36.587627,1.715120
3666312397.805603,283.000000,0.000000,39.610714,0.494628,36.638600,0.529193,35.829163,0.589246,37.265926,0.627446,37.923446,0.611483,34.663359,0.637195,36.951962,0.717853,31.911614,0.855751,33.593843,0.851687,31.368620,0.889809,33.450745,0.932572,32.827851,0.978725,34.586383,1.005965,31.653845,1.208767,32.304028,1.171365,33.159962,1.161008,32.870863,1.295163,36.390410,1.297188,31.377210,1.313681,31.471716,1.435480,35.101711,1.507734,33.635105,1.486025,32.308874,1.618254,33.911832,1.618347,34.390860,1.686395
3666312397.905337,284.000000,0.000000,36.739752,0.362656,34.844747,0.469022,34.880686,0.478328,34.931184,0.482368,36.360034,0.599792,31.538715,0.556729,35.888935,0.717954,33.475230,0.728621,35.524979,0.743718,31.014136,0.786134,33.534551,0.924855,32.824334,0.895579,31.417632,0.924017,32.820239,1.065897,32.213174,1.065683,31.017145,1.057897,33.407043,1.180570,32.313224,1.210582,31.459287,1.235855,31.567269,1.356747,32.755569,1.431023,31.853106,1.445338,33.646508,1.442612,31.939693,1.518068,34.027524,1.552992
3666312398.005070,284.000000,0.000000,35.251212,0.407177,33.808333,0.560816,33.084246,0.560717,34.756759,0.558607,34.571234,0.638011,32.806457,0.609889,34.749317,0.740027,30.900563,0.797332,33.345081,0.817842,30.145539,0.906979,31.506656,0.979430,32.133578,0.951772,34.304324,1.020544,33.516363,1.078549,30.147658,1.170629,29.486223,1.151434,31.583580,1.259106,32.069519,1.279072,29.872122,1.330601,30.284793,1.394410,32.409901,1.456617,31.352854,1.454643,31.752570,1.560550,32.121574,1.609515,32.401183,1.597268
3666312398.104817,284.000000,0.000000,35.436449,0.463261,34.197733,0.592732,34.134475,0.699562,35.819359,0.586403,35.306974,0.730069,32.164641,0.668975,37.084465,0.830786,31.745446,0.864828,32.306955,0.753899,29.817991,0.913618,30.312957,1.055637,30.211178,1.021483,29.713422,1.019043,33.233797,1.165329,31.624360,1.179898,31.418280,1.212928,33.035912,1.359744,33.236935,1.343401,32.296752,1.432071,32.678791,1.458327,34.010292,1.509808,31.060632,1.550382,31.383818,1.629592,31.594708,1.707541,32.439686,1.736915
3666312398.205534,286.000000,0.000000,38.602976,0.555340,35.277752,0.609972,36.204944,0.642012,38.373449,0.677217,37.272913,0.684812,33.114206,0.653209,39.076807,0.769207,31.991563,0.898517,34.968305,0.825297,30.980714,0.967765,30.411632,1.018719,33.863432,1.006452,33.382235,1.020971,32.908175,1.171678,34.063488,1.217772,31.602951,1.212694,33.650275,1.326293,34.990379,1.296912,33.331263,1.381937,32.477241,1.484812,35.455405,1.555951,33.400796,1.548073,32.822849,1.604301,33.521021,1.743804,34.567822,1.629565
3666312398.305267,286.000000,0.000000,46.274483,0.512879,46.125149,0.602501,46.847379,0.607552,50.816775,0.655154,45.225327,0.691166,48.304570,0.638602,48.239274,0.766712,44.138445,0.892087,46.744820,0.884439,41.635228,0.956740,45.100929,1.041054,42.170871,0.976901,41.473034,1.024672,43.630577,1.181184,40.737459,1.134724,45.095625,1.209006,45.986759,1.331634,46.721345,1.295469,43.116618,1.394238,46.027313,1.563087,42.871562,1.421834,42.696606,1.504644,42.816559,1.582969,47.355835,1.640774,48.859140,1.691465
3666312398.405020,286.000000,0.000000,43.889788,0.509409,43.129128,0.459819,43.228931,0.557841,45.499445,0.544399,43.542797,0.572078,38.909441,0.539971,45.687527,0.662266,39.356939,0.791838,41.839128,0.722128,37.160987,0.852191,40.558612,0.846301,36.548019,0.908692,37.983242,0.919710,40.439904,1.002492,38.170019,1.083421,38.821888,1.072396,39.375848,1.205394,41.037089,1.243001,38.693911,1.289928,40.210194,1.351249,41.983481,1.354352,40.848392,1.386491,40.185662,1.408129,41.015278,1.537373,41.670366,1.501382
3666312398.504734,287.000000,0.000000,54.771435,-0.086137,54.159605,-0.068763,55.545992,0.040658,58.567012,0.064471,54.173506,0.073439,58.229076,0.103279,54.677868,0.122042,49.890457,0.251031,54.396289,0.199587,51.691151,0.345216,44.827518,0.443434,53.968704,0.412395,53.589800,0.438473,53.548846,0.539374,49.177749,0.613041,52.940861,0.573865,46.279429,0.670643,50.645248,0.591855,52.102977,0.708041,50.278599,0.799871,49.985966,0.907605,51.970819,0.916597,53.513704,0.972038,50.132092,0.973994,53.803870,1.069523
3666312398.605464,287.000000,0.000000,55.647815,-0.003253,50.456788,0.156767,52.578555,0.131699,55.608158,0.199709,53.562511,0.090122,49.537623,0.172024,57.152637,0.325394,46.256575,0.402571,51.014666,0.331562,44.602050,0.420684,50.037530,0.512646,47.864778,0.522975,48.761650,0.540568,48.455082,0.620474,50.724782,0.636279,47.195066,0.659486,50.464616,0.708696,51.232358,0.711728,48.743236,0.857600,45.195877,0.925030,50.607909,1.049345,47.822480,1.026099,47.073550,1.057599,48.885997,1.124006,53.180276,1.064925
3666312398.705198,288.000000,0.000000,55.197989,0.069849,57.717144,0.012210,58.253181,0.030401,56.827188,0.102116,55.676907,0.078552,58.823806,0.048754,59.334948,0.206430,51.491418,0.327657,57.979464,0.261538,51.993438,0.292083,54.597620,0.529569,49.981736,0.365450,48.754057,0.436230,51.727299,0.653462,51.590991,0.541132,54.093074,0.680416,52.007201,0.611572,52.086965,0.712144,50.641878,0.733834,49.471045,0.883698,59.593634,0.957095,52.820709,0.962210,55.743069,0.946625,51.912950,1.084779,52.168564,1.022515
3666312398.804930,289.000000,0.000000,59.391789,-0.315141,58.509157,-0.358469,61.797310,-0.251321,59.868773,-0.234812,61.473455,-0.275234,54.177389,-0.250797,56.356252,-0.103809,54.469293,-0.057598,54.057057,-0.093848,46.658156,0.019328,55.208065,0.119820,53.398688,0.092102,57.298016,0.041096,54.732545,0.151793,54.388441,0.203599,58.690695,0.328222,55.865836,0.300525,59.865312,0.315779,55.703210,0.398863,60.851103,0.499320,59.472255,0.525302,58.061103,0.567189,57.337119,0.677035,55.878529,0.611589,61.589027,0.631062
3666312398.905662,289.000000,0.000000,75.542431,-0.338259,73.989814,-0.271203,66.359519,-0.246964,78.800771,-0.283397,76.733820,-0.105817,65.777577,-0.156463,69.316098,0.008427,63.757795,-0.085094,66.010930,-0.116777,64.316719,0.010928,72.283406,0.040751,64.218950,0.133558,67.457288,0.201977,64.374188,0.195478,67.504349,0.223282,71.601153,0.262108,68.997564,0.380184,71.303216,0.411269,62.272946,0.367634,72.019290,0.518226,70.835584,0.556708,57.954013,0.645180,74.022984,0.701869,71.197079,0.824345,76.521209,0.868220
