Time,Angle (A),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3666312112.359507,270.000000,0.000000,0.621445,2.421808,0.617467,2.455720,0.611926,2.460770,0.616589,2.450286,0.605585,2.470466,0.589562,2.467471,0.608231,2.501843,0.579004,2.525100,0.580935,2.498485,0.567262,2.538543,0.590774,2.578851,0.564957,2.568984,0.571741,2.591575,0.595771,2.592977,0.564764,2.638923,0.576216,2.648275,0.589200,2.631932,0.581386,2.673162,0.586893,2.683676,0.597457,2.705195,0.597192,2.718737,0.594631,2.744468,0.595378,2.778513,0.617964,2.778092,0.610724,2.798491
3666312112.460132,269.000000,0.000000,0.644076,2.771467,0.642241,2.808932,0.637316,2.815128,0.641723,2.797508,0.644663,2.810378,0.606802,2.800584,0.638196,2.860923,0.608061,2.897534,0.599722,2.828242,0.581249,2.876965,0.611961,2.935508,0.582576,2.931410,0.590886,2.932956,0.629155,2.931019,0.578762,2.988623,0.604350,2.997942,0.624933,2.984208,0.591848,3.016905,0.604854,3.029164,0.628236,3.043488,0.623288,3.049746,0.610293,3.106272,0.628127,3.130638,0.650351,3.122689,0.635289,-3.124304
3666312112.560174,268.000000,0.000000,0.632790,2.531797,0.628563,2.540573,0.627185,2.567849,0.608842,2.556840,0.622560,2.582876,0.588690,2.592439,0.605135,2.632518,0.601060,2.658049,0.597218,2.633013,0.579985,2.668858,0.585054,2.698595,0.579557,2.697410,0.586196,2.701234,0.598281,2.721473,0.578648,2.757747,0.593099,2.764714,0.593251,2.785648,0.598541,2.803544,0.589575,2.794170,0.597889,2.826841,0.600664,2.849579,0.595779,2.868943,0.610165,2.877125,0.612519,2.899790,0.622101,2.917525
3666312112.659910,269.000000,0.000000,0.652697,2.524919,0.631257,2.536074,0.627726,2.583568,0.624933,2.559788,0.628630,2.581194,0.586137,2.578438,0.626038,2.611349,0.600833,2.655918,0.605928,2.625458,0.575524,2.663618,0.591922,2.700188,0.585466,2.675831,0.588058,2.692301,0.598827,2.714788,0.582920,2.749018,0.588935,2.762609,0.607354,2.775891,0.599507,2.803145,0.593602,2.804373,0.612954,2.832224,0.604239,2.847588,0.611986,2.864211,0.618114,2.889915,0.625378,2.900175,0.632225,2.902664
3666312112.761635,270.000000,0.000000,0.650805,2.578598,0.650458,2.608988,0.646075,2.623587,0.653238,2.607080,0.654822,2.623994,0.623877,2.612206,0.644807,2.666832,0.622269,2.696859,0.616371,2.645560,0.597508,2.697598,0.628319,2.745660,0.597857,2.732528,0.600662,2.749985,0.637404,2.743294,0.593581,2.792423,0.612260,2.801139,0.633917,2.802100,0.609991,2.833343,0.615883,2.837836,0.640163,2.855280,0.633192,2.862918,0.622843,2.912784,0.638245,2.936468,0.657978,2.926390,0.649830,2.963321
3666312112.861369,270.000000,0.000000,0.653969,2.598732,0.649992,2.625354,0.647853,2.634328,0.642660,2.618314,0.659437,2.633631,0.619724,2.632222,0.637469,2.695178,0.626534,2.722678,0.609942,2.669161,0.597544,2.708599,0.618793,2.753129,0.593982,2.772117,0.602625,2.761920,0.635058,2.767077,0.592989,2.810438,0.619249,2.830058,0.626944,2.824707,0.605542,2.847981,0.613021,2.855041,0.633446,2.868341,0.631052,2.873014,0.609998,2.936517,0.637873,2.940571,0.648449,2.948281,0.645024,2.985947
3666312112.961105,271.000000,0.000000,0.645689,2.513727,0.634102,2.531474,0.632118,2.574078,0.639089,2.532946,0.642484,2.552442,0.588991,2.540313,0.630576,2.589665,0.602182,2.643685,0.606635,2.586226,0.569126,2.651086,0.595105,2.684193,0.582443,2.658960,0.584824,2.678400,0.607295,2.696208,0.578865,2.732071,0.582285,2.740526,0.617594,2.757862,0.593702,2.784637,0.595368,2.799057,0.625658,2.810880,0.605561,2.804384,0.606305,2.863024,0.612968,2.887385,0.633406,2.877157,0.634347,2.894914
3666312113.060834,271.000000,0.000000,0.624042,2.526598,0.624785,2.555413,0.625899,2.561419,0.611734,2.549583,0.623089,2.560493,0.587388,2.577566,0.611734,2.633536,0.592963,2.663882,0.582363,2.605407,0.570429,2.634664,0.588492,2.696328,0.576199,2.700769,0.587315,2.693307,0.602846,2.702824,0.569344,2.756070,0.598041,2.763446,0.595807,2.759583,0.582300,2.779996,0.587293,2.777281,0.599066,2.805490,0.607940,2.823426,0.586096,2.862825,0.608575,2.875140,0.620157,2.890667,0.616269,2.915960
3666312113.161565,271.000000,0.000000,0.620341,2.538139,0.614905,2.579354,0.605724,2.590397,0.628014,2.567607,0.618298,2.577590,0.599388,2.549078,0.613388,2.611880,0.584130,2.642324,0.582591,2.591327,0.564163,2.646967,0.594718,2.691873,0.561155,2.690414,0.565829,2.705470,0.608682,2.692439,0.565929,2.737113,0.574885,2.749801,0.599757,2.729616,0.571713,2.777086,0.589157,2.802930,0.604505,2.799601,0.597142,2.792460,0.596557,2.864884,0.603445,2.893131,0.637189,2.871319,0.611737,2.916163
3666312113.262311,272.000000,0.000000,0.615887,2.429317,0.601454,2.475986,0.596007,2.484775,0.635775,2.464637,0.617436,2.474797,0.585058,2.428841,0.621542,2.481839,0.567590,2.548896,0.573665,2.473467,0.546838,2.545075,0.588657,2.608397,0.547088,2.562001,0.550526,2.604265,0.604535,2.584978,0.556003,2.639629,0.551603,2.637825,0.599882,2.632736,0.562906,2.676348,0.581384,2.718996,0.609752,2.715528,0.588809,2.688328,0.601696,2.778755,0.588627,2.806948,0.630603,2.760863,0.612430,2.808260
