Time,Angle (A),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3666312571.095226,270.000000,0.000000,14.004173,-2.461907,13.034670,-2.305644,13.352954,-2.206068,13.311194,-2.225035,13.400399,-2.105658,12.541968,-2.030459,12.987317,-1.904262,12.380239,-1.781723,12.856304,-1.740856,11.979090,-1.635619,12.335578,-1.491441,11.884239,-1.507769,12.287430,-1.353854,12.788872,-1.204537,12.592538,-1.169140,12.598560,-1.082110,12.712542,-0.909319,13.084329,-0.876521,12.275850,-0.819387,12.555227,-0.666964,12.675456,-0.553348,12.768000,-0.532493,13.032479,-0.440246,12.788785,-0.325603,13.761414,-0.266572
3666312571.194958,270.000000,0.000000,18.704308,-1.838111,17.794511,-1.744255,18.246335,-1.632927,17.893007,-1.613212,17.837619,-1.494449,16.472179,-1.482417,18.410436,-1.331478,16.181587,-1.149692,17.176937,-1.203665,16.037520,-1.065961,16.515885,-0.896132,16.020700,-0.846119,16.579236,-0.777886,17.190356,-0.591795,17.277720,-0.565798,17.099504,-0.485861,16.459927,-0.362093,17.500488,-0.304240,17.080002,-0.213743,17.175456,-0.101665,17.804750,0.034462,17.766754,0.024303,17.745059,0.165763,17.059759,0.233343,19.060156,0.329905
3666312571.296686,268.000000,0.000000,16.285376,-2.126615,15.633544,-2.008716,15.551499,-1.903553,15.536178,-1.891903,15.228989,-1.777646,14.394892,-1.720274,15.458986,-1.566677,14.074591,-1.469315,15.156852,-1.447054,14.115352,-1.319362,13.530836,-1.189650,14.194498,-1.162464,14.302621,-1.080268,14.428264,-0.909309,14.763199,-0.868279,14.576607,-0.769244,14.340350,-0.602968,15.438465,-0.597620,14.071396,-0.485808,14.175822,-0.358142,14.661636,-0.231830,14.924470,-0.245259,14.996843,-0.134689,14.698877,-0.000938,15.483164,0.046227
3666312571.396270,269.000000,0.000000,15.787175,-2.133833,16.051843,-1.983259,15.666180,-1.932740,15.690820,-1.884534,15.941277,-1.812973,14.541499,-1.757097,15.854850,-1.574171,14.630535,-1.438086,14.698422,-1.467884,13.784102,-1.362089,14.171952,-1.219294,13.818707,-1.194020,14.141236,-1.094296,14.696572,-0.916629,14.414211,-0.898289,14.381976,-0.783642,14.146379,-0.638501,15.128902,-0.579450,14.599914,-0.520756,14.560430,-0.384031,15.066005,-0.279308,14.959333,-0.226648,15.626508,-0.108584,15.411830,-0.024808,15.847970,0.069289
3666312571.496153,269.000000,0.000000,15.445461,-2.144669,15.147289,-2.020892,15.242333,-1.916861,15.889855,-1.890583,15.969641,-1.824975,14.004362,-1.779790,15.518210,-1.588813,13.570993,-1.453114,14.076919,-1.526539,13.430317,-1.373762,13.810713,-1.187956,13.934254,-1.240528,13.404923,-1.111971,14.076509,-0.960247,14.195987,-0.878640,13.658426,-0.799225,14.007139,-0.665832,15.097361,-0.611192,13.899042,-0.489802,14.228580,-0.375058,14.782776,-0.271469,14.754033,-0.215070,14.893584,-0.117328,14.173081,-0.021583,15.377951,0.013368
3666312571.595885,270.000000,0.000000,15.867847,-2.120111,15.591080,-2.020403,14.934101,-1.909827,15.235366,-1.901406,15.278667,-1.801830,13.772488,-1.740637,15.307486,-1.571831,13.593913,-1.446729,14.300495,-1.468217,13.335409,-1.347184,13.438277,-1.218711,13.342096,-1.166732,13.826352,-1.100816,14.088971,-0.928186,14.162876,-0.847584,13.977335,-0.765302,14.034326,-0.613791,14.431091,-0.572935,14.044092,-0.479678,14.070177,-0.373451,14.396283,-0.262583,14.374455,-0.215089,14.524954,-0.128460,13.948074,-0.017924,15.075462,0.058533
3666312571.697614,270.000000,0.000000,14.098186,-2.285181,13.955828,-2.196120,13.544298,-2.123943,13.890072,-2.085673,14.189982,-1.990566,12.560379,-1.934399,13.720326,-1.796072,12.809102,-1.625946,12.602355,-1.669413,12.283302,-1.558463,12.018548,-1.382240,12.205852,-1.356055,12.603913,-1.250194,12.862201,-1.110940,12.841410,-1.058228,12.917623,-0.939259,12.646305,-0.846341,12.852795,-0.775974,12.105166,-0.675221,12.536396,-0.555109,13.244506,-0.451766,12.926893,-0.390369,12.995843,-0.302914,12.822391,-0.209122,13.822766,-0.120418
3666312571.797359,271.000000,0.000000,14.175712,-2.300228,13.716490,-2.180316,13.602628,-2.078910,13.498644,-2.039071,13.108196,-1.930974,12.718789,-1.872426,13.149969,-1.748196,12.672429,-1.627862,12.709438,-1.608661,12.070855,-1.514000,12.237678,-1.366348,12.427484,-1.316765,12.447348,-1.225109,12.203924,-1.051758,12.963534,-1.011785,13.130035,-0.935264,12.136808,-0.811926,13.188798,-0.760008,12.429516,-0.667188,12.188040,-0.502586,12.975090,-0.356444,12.636825,-0.387329,13.231932,-0.267008,12.693114,-0.164492,13.687038,-0.085737
3666312571.897102,271.000000,0.000000,13.844420,-2.278834,13.840681,-2.153339,13.267026,-2.088557,14.315446,-2.075536,14.564766,-1.973863,12.622006,-1.980360,13.704433,-1.759820,12.427697,-1.569081,12.868980,-1.676243,11.648035,-1.518548,12.263533,-1.327238,11.477526,-1.346878,12.079846,-1.286788,13.701083,-1.093519,12.034116,-1.035572,12.077697,-0.926980,13.033290,-0.840187,12.006898,-0.754731,12.444309,-0.634607,13.086814,-0.546849,12.688902,-0.455889,12.766136,-0.308206,13.027263,-0.258786,12.987741,-0.190090,13.533182,-0.065531
3666312571.996813,272.000000,0.000000,13.211619,-2.438252,12.803715,-2.315859,12.514343,-2.221091,12.637897,-2.198763,12.716331,-2.103171,11.889722,-2.035248,12.681162,-1.898215,11.635707,-1.742555,11.948293,-1.748786,10.988566,-1.661121,11.048723,-1.483375,11.270310,-1.445919,11.689252,-1.362457,11.955444,-1.217600,11.341305,-1.165916,12.180421,-1.055432,11.697668,-0.907566,11.947183,-0.852084,11.575814,-0.772383,11.615281,-0.630844,12.198279,-0.536120,11.775037,-0.510430,12.178537,-0.390877,11.815547,-0.296462,12.250158,-0.201524
