Time,Angle (A),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3682636770.533883,269.000000,0.000000,85.564592,2.705280,76.541366,2.736257,75.080874,2.767925,75.909525,2.752016,76.560509,2.735632,71.781328,2.729223,79.273970,2.744280,75.582011,2.704053,73.292274,2.722613,76.840250,2.697763,76.062624,2.675774,76.744919,2.747218,75.945027,2.665895,75.810378,2.747792,74.747925,2.709888,76.467530,2.682075,74.825215,2.618124,73.481670,2.640874,76.435161,2.738351,79.754035,2.668254,76.679850,2.686024,74.418309,2.668438,75.263053,2.708301,70.803652,2.606066,77.145232,2.568949
3682636770.634285,269.000000,0.000000,157.152804,2.490686,148.193164,2.509838,164.409351,2.547403,159.088683,2.520327,152.263661,2.282625,149.317413,2.479365,181.027452,2.489692,161.782726,2.593531,151.109540,2.243098,159.594110,2.333822,164.247970,2.524986,171.005741,2.435014,150.180787,2.270185,155.715597,2.530253,169.319663,2.427587,186.716843,2.322680,144.577457,2.517311,138.797216,2.343059,158.722630,2.284014,181.239154,2.314594,176.890692,2.403975,171.665101,2.343086,173.406504,2.548281,223.265553,2.242320,151.974240,2.422445
3682636770.735313,269.000000,0.000000,91.389804,2.692859,92.209016,2.723765,91.759577,2.726487,83.751591,2.750509,93.858144,2.763335,89.641597,2.842371,92.185574,2.857441,87.808448,2.663642,84.669216,2.741379,79.011875,2.759682,91.781070,2.773997,82.092363,2.731043,88.619815,2.720274,89.133804,2.620058,78.789729,2.705668,90.295203,2.678403,91.885291,2.658667,90.861788,2.673435,88.018025,2.593243,86.220564,2.649528,82.229095,2.613816,94.302176,2.620235,92.373605,2.640713,90.600226,2.655651,94.738347,2.621718
3682636770.835961,271.000000,0.000000,84.348498,2.724215,79.110006,2.723005,83.325292,2.723767,85.370258,2.762054,87.586354,2.741292,95.575427,2.880490,80.506692,2.694613,85.438895,2.663332,85.788700,2.590022,84.244201,2.670198,80.671920,2.823779,76.281374,2.731502,79.818187,2.656836,86.404297,2.660291,85.567428,2.690440,81.271887,2.724305,82.918527,2.608939,79.168159,2.663240,77.395579,2.568625,85.201106,2.609060,80.471365,2.658828,86.893241,2.633292,85.408557,2.577632,85.330578,2.547536,92.737481,2.621441
3682636770.936749,272.000000,0.000000,49.934733,2.761347,48.541496,2.738804,50.393446,2.723263,50.165036,2.837623,51.385940,2.722075,50.504201,2.699239,50.116128,2.752767,48.217441,2.702591,48.616520,2.720538,48.836401,2.693860,48.970895,2.723051,48.157154,2.729976,47.194036,2.728306,47.609985,2.694532,51.018027,2.713773,50.942832,2.639672,48.171694,2.728932,48.491829,2.721513,50.876338,2.680085,48.358976,2.632432,47.688172,2.673397,50.666607,2.693245,50.299337,2.652119,49.876376,2.637794,49.696531,2.682336
3682636771.036425,273.000000,0.000000,48.895284,2.753182,54.200537,2.741973,48.547471,2.759510,48.812216,2.708621,47.206041,2.711568,46.788295,2.734706,47.052562,2.714727,46.474091,2.664171,46.078312,2.732719,48.613047,2.661019,46.933968,2.620000,48.242237,2.677194,43.752235,2.650505,45.175922,2.672369,47.448783,2.667854,46.275900,2.693735,48.471614,2.626390,46.140623,2.651622,46.777572,2.709111,47.156045,2.676754,49.593938,2.626965,50.112347,2.662136,45.795211,2.631925,48.850961,2.657377,48.726193,2.581214
3682636771.137154,275.000000,0.000000,41.417716,2.763985,39.649319,2.736412,38.615710,2.701117,38.788245,2.719184,38.359551,2.701829,38.039882,2.652591,37.820835,2.742743,38.756357,2.689192,38.118841,2.682505,39.758402,2.699706,37.958094,2.715623,36.861078,2.659891,37.212954,2.642925,36.791077,2.643014,38.432813,2.666864,38.251113,2.665689,37.829850,2.618994,38.826889,2.663825,37.398651,2.634301,39.839302,2.589454,38.769853,2.580665,40.787077,2.620513,38.659198,2.656758,40.482040,2.636503,40.662314,2.606167
3682636771.237726,277.000000,0.000000,39.145424,2.641140,38.801956,2.647643,39.194687,2.668500,37.954650,2.627321,37.973639,2.629873,40.143477,2.701045,37.891521,2.704386,38.720198,2.627881,36.938181,2.652613,37.248912,2.634783,38.056224,2.614563,35.695924,2.621720,37.405008,2.604061,37.689827,2.621068,37.486418,2.602606,37.558759,2.620338,36.724633,2.565861,35.901338,2.600948,37.393127,2.568441,37.081806,2.569050,36.762288,2.572002,37.768388,2.599463,38.741580,2.606463,38.829211,2.565228,39.563759,2.541796
3682636771.337570,279.000000,0.000000,37.999250,2.702760,38.364741,2.676742,37.827765,2.694181,38.429412,2.703790,37.582219,2.671333,36.644797,2.680165,37.062513,2.673071,37.283114,2.645458,37.183277,2.640062,35.904724,2.648562,37.159286,2.645670,35.520353,2.635715,37.280791,2.656553,35.803107,2.619943,35.714772,2.624971,37.370731,2.657964,37.372141,2.654132,36.077541,2.646872,35.574107,2.575093,36.810576,2.622123,37.199429,2.592634,37.305340,2.630847,37.600220,2.601546,38.659979,2.587433,36.943823,2.579463
3682636771.437136,280.000000,0.000000,39.025430,2.634930,39.713789,2.610224,37.919215,2.650998,38.065054,2.587901,36.661831,2.625177,36.636515,2.623907,37.573987,2.599071,37.382804,2.617300,37.180865,2.582956,37.661241,2.558109,37.761979,2.589293,36.999451,2.601706,36.766835,2.544029,36.891823,2.561104,37.768769,2.546339,35.841740,2.543333,36.410917,2.573101,38.131537,2.561958,35.819376,2.501540,37.404382,2.529997,38.085398,2.558398,36.929507,2.540836,36.415222,2.510899,39.940913,2.517060,37.717875,2.538659
