Time,Angle (A),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3682637382.350108,134.000000,0.000000,49.582272,-1.999222,45.613230,-1.993082,47.326196,-1.957015,46.021267,-2.014460,47.385283,-1.959459,45.440869,-1.952541,47.201394,-1.955183,45.341870,-1.910306,46.317703,-1.955386,44.374385,-1.932966,45.869384,-1.859805,42.522155,-1.910356,43.187779,-1.842657,47.640739,-1.910401,49.301786,-1.874443,47.401402,-1.821670,44.871069,-1.845822,41.852835,-1.825851,44.268436,-1.816796,44.973439,-1.796858,47.601413,-1.760788,48.211932,-1.755560,49.911907,-1.755049,46.904871,-1.741107,46.740372,-1.777887
3682637382.450491,131.000000,0.000000,59.762369,-2.952508,58.455490,-3.000375,58.066980,-2.981758,60.680399,-2.957302,56.001769,-2.926068,57.347608,-2.990096,57.820460,-2.933206,56.619261,-2.937999,55.621731,-2.939104,55.197411,-2.868780,56.987348,-2.829299,56.656375,-2.823914,57.288317,-2.868355,56.295358,-2.796796,58.259716,-2.871152,57.531137,-2.808671,55.726800,-2.852077,55.596536,-2.838537,54.291517,-2.759248,54.640705,-2.762255,57.779181,-2.764827,58.742842,-2.751251,59.317862,-2.692172,60.342780,-2.688359,58.985195,-2.676960
3682637382.549867,132.000000,0.000000,48.096125,-2.513839,48.622477,-2.513656,45.183842,-2.523109,45.478144,-2.485276,46.139618,-2.454990,48.575951,-2.464659,47.257695,-2.478405,47.713399,-2.402206,45.587203,-2.433195,47.772442,-2.360960,46.102640,-2.363176,46.583664,-2.374357,46.226758,-2.361264,44.385596,-2.375179,45.067963,-2.342935,47.275410,-2.348176,45.151927,-2.296434,45.716656,-2.380628,44.365364,-2.306976,46.964170,-2.282455,45.168149,-2.293864,45.728045,-2.243167,45.609478,-2.256396,47.616604,-2.218987,48.474393,-2.213883
3682637382.649919,133.000000,0.000000,41.259229,-2.279946,40.960987,-2.278259,40.975493,-2.303908,41.002388,-2.299921,42.151952,-2.266654,40.168945,-2.162446,40.789209,-2.207767,41.451775,-2.193187,39.056984,-2.204019,38.520374,-2.186038,39.070595,-2.190181,40.378745,-2.108030,39.309808,-2.148855,40.084385,-2.127727,39.999649,-2.073708,40.887793,-2.075214,40.418827,-2.047856,37.857604,-2.098977,39.401245,-2.088001,41.559976,-2.088261,40.294294,-2.071221,37.915544,-2.111487,42.534236,-2.064040,42.687616,-2.018406,40.746353,-1.984225
3682637382.750766,133.000000,0.000000,43.730129,-2.276168,43.861200,-2.239609,41.647063,-2.236987,41.360941,-2.232870,41.731540,-2.241754,39.835531,-2.205881,41.662047,-2.195964,40.752156,-2.166121,42.626586,-2.156332,39.669750,-2.179940,42.029051,-2.150190,42.619280,-2.129688,41.734220,-2.075815,40.096084,-2.045378,43.135837,-2.112324,42.158779,-2.046820,39.943457,-2.092207,43.026390,-2.068714,44.542196,-2.025864,42.275288,-2.008980,42.485073,-1.972520,41.377077,-2.049414,42.113051,-1.985438,42.974935,-2.009488,44.062702,-1.990911
3682637382.851634,133.000000,0.000000,45.040675,-2.295248,43.177957,-2.277918,43.463059,-2.211575,40.706724,-2.266042,42.134833,-2.260600,42.499560,-2.215689,40.529296,-2.237571,38.961161,-2.180791,42.783677,-2.226053,39.144373,-2.172389,38.103896,-2.198035,41.508815,-2.163449,41.330047,-2.120543,43.594845,-2.151969,40.220970,-2.125058,39.370792,-2.099345,40.553943,-2.094153,40.735790,-2.059564,39.430660,-2.051494,41.392112,-2.071419,41.747278,-2.049736,41.268631,-2.053620,42.936345,-2.028826,42.059636,-2.027360,42.613729,-2.053464
3682637382.952454,134.000000,0.000000,41.430061,-1.989132,41.473255,-1.923101,38.393216,-1.942515,39.803885,-1.899415,41.070304,-1.862191,38.954231,-1.898402,38.649541,-1.891838,39.384757,-1.820826,36.372485,-1.852406,39.126032,-1.856133,36.664105,-1.807660,39.857806,-1.778654,38.836381,-1.807667,39.883848,-1.765918,39.635270,-1.759089,39.885190,-1.767598,37.135664,-1.745347,39.159151,-1.701800,38.903188,-1.712831,37.792498,-1.726927,39.252568,-1.653134,37.909331,-1.704886,37.504116,-1.703042,39.590912,-1.641755,42.024715,-1.686258
3682637383.052182,135.000000,0.000000,39.548353,-1.981568,37.752094,-1.972926,40.972395,-1.905343,38.975684,-1.919901,38.179313,-1.929026,36.619783,-1.864828,39.356406,-1.874075,39.142921,-1.858080,37.651786,-1.883360,37.545510,-1.871608,37.955542,-1.838464,37.765972,-1.838065,39.092716,-1.850795,38.087968,-1.789360,36.581489,-1.760058,37.144277,-1.702860,36.725824,-1.792099,37.996894,-1.731880,36.858615,-1.715840,37.872116,-1.674363,38.057017,-1.698311,36.771854,-1.703619,39.584807,-1.707220,38.713415,-1.676686,39.227832,-1.686699
3682637383.152995,135.000000,0.000000,40.611026,-1.911626,40.359785,-1.839718,38.875089,-1.856872,40.022178,-1.822521,41.646922,-1.846052,38.017047,-1.812329,39.319007,-1.786353,38.372904,-1.746831,38.284371,-1.736693,38.316925,-1.748793,38.730545,-1.800897,38.654918,-1.699667,37.589080,-1.706032,37.227467,-1.678283,39.829818,-1.711707,37.471747,-1.667336,39.693378,-1.623666,35.998243,-1.652194,39.568754,-1.660996,39.200237,-1.613534,39.900059,-1.597614,39.044322,-1.631193,40.123495,-1.600916,38.052982,-1.572966,37.468156,-1.573156
3682637383.252643,136.000000,0.000000,39.571947,-1.731712,39.733363,-1.674099,42.320011,-1.715320,40.125082,-1.714657,40.711397,-1.679416,38.608686,-1.680381,40.098687,-1.707245,39.004055,-1.656927,38.613626,-1.632471,37.755475,-1.645074,39.223445,-1.601540,38.986649,-1.560401,39.830498,-1.641963,39.452147,-1.586019,39.469642,-1.581819,37.279242,-1.515920,38.062619,-1.555370,38.890908,-1.541001,38.410536,-1.550837,39.328485,-1.530593,39.620443,-1.545740,37.620442,-1.475069,39.841990,-1.442307,40.824273,-1.427720,39.600343,-1.460259
