Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha)
3683670641.673374,0.003906,322.135340,-2.831662,300.442183,-3.109914,256.026726,-2.956739,307.318760,-2.992048,325.113910,-2.854556,247.550090,-2.647993,316.373336,-3.021088,416.840235,2.890378,224.982771,-2.811166,271.763114,-2.486325,417.112428,-3.141514,307.589658,-2.770720,254.330310,-2.681995,174.779780,-2.879770,252.933571,-2.401696,241.662481,-2.461639,220.683287,-3.024158,257.903600,-2.478726,318.817192,-3.107306,286.645942,3.095845,249.764153,-2.839733,421.605790,-2.825089,301.736970,-3.029640,282.083478,-3.025524,389.126718,-2.769903,250.051762,-3.114614,314.982477,-2.989060,328.161405,-2.805892,252.242238,-3.118124,394.875457,-3.030848,321.908097,-2.581737,424.400000,-2.715630
3683670641.773576,0.007812,351.633412,-2.681993,459.171013,-2.480310,273.069013,-2.964088,338.178670,-3.086581,235.724500,-3.041012,244.128722,-2.813989,404.934032,-2.782672,221.021830,-2.631066,231.123137,-2.628001,226.164553,-2.235396,337.134449,-2.531978,304.339578,-2.509450,235.313916,-2.564346,237.783588,-3.005546,362.919637,-2.560439,391.854310,-3.008081,248.307741,-2.895558,229.596324,-2.684752,375.352925,-2.766423,280.033644,-2.853459,224.672004,-2.559111,348.882784,-2.950820,376.372615,-3.053926,240.691737,-2.855370,275.777933,-2.927711,222.571741,-2.762843,244.375708,-2.671723,229.327575,-2.649356,248.901886,-2.618431,343.544199,-2.385338,301.487366,-2.839568,245.409297,-2.407419
3683670641.873477,0.031250,312.353440,-2.608482,279.660240,-2.544265,285.907188,-2.748390,209.212186,-2.775747,218.812248,-2.823544,280.617356,-2.347678,257.104403,-3.054723,414.113527,-2.451393,209.136647,-2.558449,250.957237,-2.537011,365.506843,-2.828592,254.209737,-2.335031,243.429413,-2.322174,317.854293,-2.867741,254.086814,-2.616153,382.966439,-2.385569,228.061104,-2.842326,273.335172,-2.328027,327.909291,-2.705452,256.511834,-2.796544,256.920447,-2.858619,344.767519,-2.741244,324.816638,-2.481378,219.154576,-2.696269,574.821340,-2.832015,252.530580,-2.664353,225.449657,-2.799555,330.712643,-2.912262,270.500730,-2.782948,599.943227,-2.981631,308.108567,-2.295349,346.950373,-2.561201
3683670641.974270,0.007812,356.258850,-2.863671,390.707480,-2.503845,528.008454,-2.882105,359.109414,-3.103021,267.998532,-2.926423,208.880584,-2.588803,229.696726,-2.833092,310.235713,-2.767633,263.889934,-2.639973,205.363774,-2.331959,284.353909,-2.505028,287.080427,-2.468234,301.936759,-2.528356,222.507474,-2.717188,331.175138,-2.520715,501.445403,-2.838736,237.613787,-2.886699,304.561409,-2.269331,380.962882,-2.587712,254.011459,-2.815038,270.272887,-2.578826,292.598945,-2.869527,288.575807,-2.858678,314.972184,-3.008022,288.874197,-2.716468,263.477621,-2.848207,307.995493,-3.110436,235.026164,-2.709692,249.279112,-2.925548,304.299433,-2.528909,287.180862,-2.645334,417.932543,-2.396289
3683670642.075205,0.019531,270.814562,-2.991790,891.633546,-2.564559,362.863827,-2.595865,256.981842,2.795042,228.436911,-2.748116,295.296297,-2.675105,300.511902,-3.013862,333.157230,-2.858794,341.984765,-2.668762,394.059244,-2.594170,529.563186,-2.735296,415.445074,-2.707766,367.281473,-2.485176,396.554164,-2.971400,394.089619,-3.070772,363.598282,-2.246564,348.081637,-2.904916,469.590168,-2.678481,641.094325,2.931211,388.923879,-3.011632,287.983007,-2.776934,418.535321,-2.569623,394.467759,-2.899006,368.847704,-2.899016,544.036198,-2.675641,318.480567,-2.712189,202.828657,-2.918721,322.756520,-2.661525,297.895662,-2.788381,536.249262,-2.686518,538.335135,-2.309128,370.411989,-2.610800
3683670642.176095,0.140625,499.045317,-2.951152,580.216527,-2.355984,712.793627,3.129806,453.546071,-2.913475,447.927940,-2.721156,603.806640,3.126524,479.284717,-3.088170,811.763096,-2.848349,377.074913,-2.495424,780.265369,-2.773417,595.081913,-2.964869,586.105561,-2.017027,412.395554,-2.133383,417.160881,-2.777097,712.925647,-2.521504,612.434398,-1.576129,517.286909,-2.969099,762.976701,-2.235040,747.993822,-2.391714,451.794051,-3.127361,426.905814,-2.168579,2125.684414,-2.481958,862.135798,-2.526839,871.940949,-3.095770,512.419691,2.997218,431.963886,-2.878863,516.541235,-2.819317,296.012155,-3.054144,629.486719,-2.987267,500.869012,-2.780225,515.538553,-3.108131,599.122948,-2.902170
3683670642.276843,0.066406,657.231979,-2.196207,551.521914,-1.869935,1040.904053,-2.471133,306.504502,-2.465576,362.060647,-2.143454,288.820243,-2.154248,527.439846,-2.682288,546.997255,-2.232587,487.861393,-1.940736,1045.606058,-2.096507,507.184873,-2.466042,532.172887,-1.754156,323.533726,-1.829282,438.138144,-2.588019,362.911152,-1.562424,256.844562,-1.569244,660.755925,-2.499543,369.351118,-2.098264,482.556830,-2.582779,563.599776,-2.687672,337.714303,-1.884133,1047.286729,-2.078896,860.961270,-1.812990,725.214131,-2.599832,692.484229,-1.121605,576.836651,-2.475998,652.900628,-2.450266,325.761508,-2.164975,404.648956,-1.930231,492.137651,-2.406704,405.838078,-2.178125,310.242291,-1.949509
3683670642.376969,0.019531,395.072148,-2.903174,301.607411,-2.496272,421.956580,-1.916222,364.204479,-2.468088,322.069502,-2.145952,220.771324,-2.486820,380.138664,-2.053543,401.780559,-2.289505,323.667880,-2.535065,360.428194,-2.247483,422.849554,-1.726785,282.380412,-2.190510,273.592853,-2.504539,293.404324,-2.359884,413.129083,-1.969611,220.973691,-1.691430,363.150040,-2.470404,329.450828,-2.254398,581.283750,-2.554855,307.819646,-2.748986,216.403827,-2.249798,442.062294,-2.626421,433.333011,-2.583431,264.743223,-2.805436,557.379760,-2.535535,269.816247,-2.528566,361.868779,-2.568351,229.807493,-2.236826,226.060881,-2.038451,486.311348,-1.884508,244.053854,-1.913726,243.341007,-2.462037
3683670642.477182,0.042969,377.274239,-2.512343,362.343831,-2.333035,377.599021,-2.791778,455.630950,-2.847286,298.803830,-2.979421,230.036807,-2.591009,306.195095,-3.092740,440.646912,-2.372929,236.062058,-2.677497,254.915734,-2.555105,311.952125,-2.434015,323.208041,-2.243035,249.969585,-2.749760,247.825741,-3.041445,292.132666,-2.457028,235.121733,-2.598479,307.810803,-3.045973,586.580620,-2.618263,429.418021,-2.351003,318.003191,-2.625947,304.786641,-2.751191,360.189129,-2.855742,449.444965,-2.686853,274.485980,-2.868998,302.674662,-2.751022,264.120786,-2.827882,312.705521,-2.868307,267.151077,-2.715884,206.921598,-2.316472,427.302202,-2.656478,311.704808,-2.262760,305.339735,-2.426392
3683670642.577450,0.011719,337.558515,-2.749172,354.144848,-2.381243,271.484483,-2.728090,245.039358,-2.964206,279.389736,-2.577612,216.486386,-2.714364,247.532727,-2.905965,385.641653,-2.805721,212.512422,-2.758979,374.496173,-2.703943,424.435642,-2.838068,298.827030,-2.393082,311.071013,-2.629620,219.818644,-2.889396,332.507649,-2.588338,336.621798,-2.946371,206.241657,-2.902487,340.197641,-2.828285,295.366438,-2.964004,273.795369,-2.619044,243.761358,-2.606120,337.316817,-2.360528,272.713176,-2.894085,259.918987,-2.695352,502.883667,-2.660567,201.041744,-3.109309,234.300995,-3.034091,265.412545,-2.455952,228.369973,-2.738125,343.015436,-2.613854,320.919692,-2.334768,273.423650,-2.789746
