Time,Angle (A),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3682636584.097913,272.000000,0.000000,29.892533,3.108233,29.473765,3.062608,29.199540,3.094233,29.128928,3.063381,31.064871,3.013260,30.212388,2.999528,28.972630,2.967982,30.335499,2.958278,28.825479,2.911318,28.965099,2.917615,29.887524,2.857113,28.006618,2.858891,29.339649,2.850666,28.258272,2.797118,29.913313,2.813997,28.827284,2.768746,29.011251,2.759753,29.696389,2.747846,29.859218,2.663660,29.791166,2.673851,29.292909,2.645719,30.204084,2.640298,30.537416,2.585975,30.055873,2.577001,30.964704,2.558094
3682636584.198113,273.000000,0.000000,25.377472,3.022841,25.088815,3.000178,24.880864,2.998471,25.630838,2.989341,25.544868,2.975420,25.328006,2.907619,24.211880,2.906057,25.025351,2.870269,25.963381,2.851123,23.832049,2.813527,23.694313,2.808571,24.374700,2.785946,24.539600,2.809078,23.903595,2.732676,24.836806,2.720029,24.008890,2.699493,24.618182,2.677612,24.435572,2.654441,24.994927,2.630922,24.685814,2.615504,25.172399,2.615542,24.686953,2.542905,24.960446,2.513982,25.675505,2.524083,25.465616,2.482001
3682636584.299849,277.000000,0.000000,26.775039,3.059040,27.416503,3.052107,27.022546,3.045836,26.242815,3.010383,27.008166,2.993169,25.907829,2.936195,26.100507,2.913976,26.365979,2.917386,25.915718,2.896644,25.411058,2.885562,24.863387,2.871198,25.944890,2.809562,26.236813,2.799619,26.346210,2.821614,25.111918,2.763202,26.345735,2.751186,26.597848,2.745576,25.359288,2.756011,25.273043,2.677365,26.546123,2.670113,26.265955,2.644603,27.214458,2.660340,26.036688,2.591199,26.773530,2.583453,26.530234,2.553967
3682636584.400198,279.000000,0.000000,26.673487,3.051608,25.657158,3.012616,26.171516,3.026036,26.789455,2.973098,26.099005,2.927783,25.112082,2.897813,25.931069,2.930678,25.907740,2.897892,25.978022,2.878310,24.844275,2.818900,25.554658,2.821335,25.087128,2.783631,25.224938,2.795719,24.814990,2.759004,24.596790,2.754019,25.317565,2.689788,25.039037,2.673085,26.436056,2.681709,25.801756,2.644374,25.451420,2.633685,27.156653,2.611726,25.987200,2.565900,25.610060,2.544862,25.659047,2.528677,27.002240,2.515008
3682636584.500022,279.000000,0.000000,27.699380,2.982949,28.423261,2.955015,28.079420,2.949039,27.674624,2.946731,27.967897,2.891246,27.538514,2.888866,27.334069,2.850286,27.090713,2.801654,27.538172,2.815814,27.301635,2.768521,27.277053,2.780805,26.351306,2.765283,27.659654,2.721249,27.002565,2.699389,26.374044,2.660285,27.242800,2.632412,26.681525,2.638999,27.969912,2.588409,27.538206,2.535259,29.199943,2.559198,27.943817,2.531925,27.991082,2.524685,27.709198,2.494521,27.805685,2.459250,28.772214,2.445219
3682636584.600754,281.000000,0.000000,29.864528,2.774908,29.684567,2.753798,29.686047,2.766824,29.712967,2.719461,29.765322,2.664439,28.479685,2.711381,31.014703,2.669607,28.733020,2.628812,29.622425,2.618153,27.839821,2.573194,28.633682,2.551583,27.394868,2.564195,28.246826,2.529569,28.616622,2.536909,27.397954,2.446088,28.342354,2.396856,29.346272,2.447032,29.026689,2.444440,29.215437,2.408594,28.977109,2.369021,28.909596,2.357202,30.734117,2.340758,28.163582,2.315117,28.826988,2.254971,29.334025,2.208660
3682636584.700672,282.000000,0.000000,36.247551,2.536886,34.769286,2.543883,33.893410,2.490343,34.004555,2.462338,34.751739,2.454462,34.961311,2.428380,34.461530,2.414931,33.752977,2.386813,34.450281,2.395894,34.320115,2.338624,32.408363,2.302018,35.277296,2.282507,34.647269,2.274923,34.331957,2.270929,33.624427,2.231262,34.801835,2.170930,34.042913,2.136872,33.245639,2.150560,35.125427,2.125481,33.135138,2.128964,34.551923,2.134068,35.571289,2.040837,35.046549,2.039719,35.413837,1.977194,35.174644,1.991965
3682636584.800779,284.000000,0.000000,45.875580,2.563832,47.036232,2.528360,43.842636,2.519587,45.461546,2.471456,44.740206,2.553072,44.841910,2.450525,44.194405,2.425236,45.038027,2.365058,44.090169,2.394855,44.331253,2.354440,44.469959,2.290487,42.292864,2.272877,46.069635,2.260504,43.275980,2.202920,44.559027,2.248856,44.617803,2.241651,43.053897,2.178201,44.470595,2.195922,44.277712,2.172548,44.828428,2.140441,44.744892,2.080410,43.977053,2.067153,44.156359,2.049318,45.563350,2.088139,45.030291,1.953472
3682636584.901490,286.000000,0.000000,117.179866,2.790480,102.300872,2.743239,102.386115,2.723754,120.391437,2.790597,117.621004,2.799860,126.922347,2.637449,131.361531,2.722188,109.425089,2.624756,118.979617,2.643951,101.781069,2.580221,119.477263,2.682401,112.544417,2.612581,125.984679,2.508372,97.091542,2.470626,125.163174,2.509089,106.329378,2.455256,110.640370,2.424964,116.825755,2.431489,125.214546,2.360992,106.347309,2.395015,118.092895,2.398676,123.797761,2.292846,137.490024,2.239431,124.072158,2.214317,131.371098,2.264016
3682636585.002389,288.000000,0.000000,88.697430,2.692969,88.241997,2.733201,84.854463,2.676910,87.056242,2.595826,91.685908,2.712237,84.507228,2.539935,83.986795,2.612980,81.749399,2.556233,88.784436,2.486972,79.188279,2.547952,84.358807,2.464200,78.139625,2.486788,92.524186,2.507122,91.701167,2.477731,84.223460,2.392390,87.429947,2.369756,76.735774,2.344703,80.775130,2.299482,89.636061,2.325781,87.347857,2.309546,79.855952,2.295656,84.230394,2.294842,82.038739,2.134699,85.256517,2.165578,86.816038,2.119116
3682636585.101878,289.000000,0.000000,347.048081,2.583279,318.071528,2.553821,344.188768,2.445159,473.348958,2.547989,385.156434,2.530200,358.662657,2.578097,442.317187,3.078909,354.560713,2.829963,463.895798,2.556250,480.299227,2.509018,327.132807,2.546450,624.872466,2.299567,560.403253,2.469985,579.694185,2.439945,407.363728,2.232454,407.963081,2.416270,361.491512,2.262970,431.693363,2.192457,430.674043,2.014775,477.096860,2.201132,340.398541,2.133744,410.644160,2.102718,666.029938,2.073116,373.340510,1.977444,739.465108,2.133605
