Time,Angle (A),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3682638118.022479,268.000000,0.000000,100.515341,-2.357684,100.103815,-2.376005,86.858583,-2.439886,89.763064,-2.370759,90.994106,-2.385037,89.723756,-2.318091,86.232926,-2.352932,89.474048,-2.323676,85.600324,-2.423589,92.871816,-2.398375,90.678597,-2.364106,90.659741,-2.366571,85.728386,-2.269414,92.857572,-2.340257,82.600283,-2.381347,80.105009,-2.315487,83.323213,-2.326237,85.048737,-2.441467,88.198362,-2.403732,88.682299,-2.431509,91.766225,-2.446482,84.014898,-2.300249,92.470512,-2.306984,86.665686,-2.328595,85.779438,-2.255389
3682638118.121603,268.000000,0.000000,84.571622,-2.190734,88.121709,-2.222202,85.061758,-2.241422,82.946644,-2.282756,84.573743,-2.148971,81.288373,-2.189995,78.565031,-2.236978,86.836800,-2.181439,76.418816,-2.245234,78.408688,-2.218064,76.231769,-2.314843,76.172515,-2.313821,82.452200,-2.194072,78.309982,-2.243392,80.680802,-2.251005,82.624691,-2.149889,74.613239,-2.243885,77.041511,-2.306432,78.175680,-2.232095,86.026563,-2.197718,85.263879,-2.263949,80.073280,-2.236314,85.162666,-2.276079,81.175803,-2.191510,82.060099,-2.201803
3682638118.221579,268.000000,0.000000,84.483203,-2.359300,87.309621,-2.331868,84.436020,-2.458675,76.365837,-2.476403,75.529227,-2.374897,81.393265,-2.439814,75.704128,-2.381204,79.944661,-2.468757,84.103531,-2.391239,76.390257,-2.404651,77.464363,-2.371331,73.455953,-2.338918,78.084533,-2.360579,76.811526,-2.415554,73.304782,-2.357857,75.678153,-2.393701,74.280838,-2.404734,72.736261,-2.385990,70.512992,-2.385288,76.388353,-2.393289,77.481237,-2.333198,73.050428,-2.386337,74.119583,-2.381585,75.732727,-2.414866,76.376397,-2.375752
3682638118.322222,269.000000,0.000000,78.405411,-2.543312,83.542688,-2.526161,89.093199,-2.445640,86.503510,-2.514102,76.414948,-2.446778,78.644959,-2.452908,83.561258,-2.469621,81.881098,-2.492586,77.464654,-2.511823,75.485742,-2.497392,76.810129,-2.401524,77.109220,-2.372244,78.153469,-2.433884,79.119335,-2.473171,72.706370,-2.426903,77.746443,-2.481664,76.435109,-2.466515,76.553202,-2.488309,75.501811,-2.481403,70.276589,-2.369842,77.503980,-2.508071,72.805813,-2.487148,78.662834,-2.527422,70.960293,-2.505921,74.150347,-2.445452
3682638118.423041,270.000000,0.000000,84.520413,-2.485825,78.470591,-2.429314,86.568151,-2.455702,83.761169,-2.546885,81.568614,-2.408251,81.954024,-2.414283,85.732620,-2.438723,77.446272,-2.420266,77.229733,-2.427833,80.656875,-2.464648,76.306384,-2.396112,71.417274,-2.451311,74.987546,-2.429639,74.498713,-2.479345,73.241505,-2.488771,72.826330,-2.426913,73.768003,-2.482777,69.476755,-2.497214,78.511871,-2.457185,80.445395,-2.408468,79.033274,-2.543189,74.443203,-2.482564,75.660003,-2.395941,73.598135,-2.446892,74.586770,-2.445477
3682638118.523770,270.000000,0.000000,92.747507,-2.487970,88.599145,-2.488984,80.721005,-2.521837,84.176351,-2.524459,89.392488,-2.523521,80.322918,-2.572909,84.294392,-2.534935,82.014945,-2.555234,88.363308,-2.489563,87.112463,-2.511438,81.941907,-2.529440,81.160273,-2.538343,83.241793,-2.633810,79.774036,-2.580073,77.618956,-2.538529,81.061218,-2.562188,80.485470,-2.482956,82.090632,-2.507964,78.278197,-2.582394,83.847466,-2.573202,78.960310,-2.548910,77.341352,-2.512478,79.036130,-2.524611,80.978748,-2.469335,75.487384,-2.421178
3682638118.625498,271.000000,0.000000,113.075019,-2.181047,113.926951,-1.993255,119.995958,-2.165784,115.418362,-2.131169,104.841309,-2.174673,99.160250,-2.197114,104.979528,-2.151868,104.151613,-2.104790,110.716188,-2.170309,99.110281,-2.128064,96.650668,-2.174095,106.392274,-2.210580,101.469795,-2.142785,100.578137,-2.157768,110.274872,-2.077199,109.368840,-2.155860,97.516420,-2.186628,96.890883,-2.221039,94.544942,-2.121371,95.825411,-2.178504,99.981742,-2.208997,108.157536,-2.153716,94.201202,-2.131978,102.278603,-2.350120,102.487833,-2.203160
3682638118.725422,271.000000,0.000000,187.057764,-2.196949,210.497041,-2.188609,144.052912,-2.290910,143.668042,-2.168747,148.333392,-2.301854,143.653461,-2.312420,134.479587,-2.418555,136.058092,-2.232938,125.503805,-2.305093,138.934701,-2.447458,125.723068,-2.357382,149.316826,-2.232943,133.589349,-2.238862,158.874381,-2.479576,139.752177,-2.373547,130.701862,-2.212518,147.822375,-2.327574,128.957332,-2.346558,138.008076,-2.298221,115.739821,-2.387241,140.018484,-2.396732,117.975772,-2.417110,140.149943,-2.232742,131.971917,-2.308531,126.880698,-2.329518
3682638118.824965,271.000000,0.000000,158.193274,-1.752015,121.777107,-1.782335,159.684618,-1.864477,150.851774,-2.097809,158.615719,-1.922963,132.330741,-2.008057,135.407575,-1.949571,128.309785,-1.955180,165.158720,-1.936978,127.187887,-1.925346,135.296511,-1.918757,146.081827,-1.936046,144.308742,-2.003083,143.189029,-1.906049,137.109985,-1.974845,156.112782,-2.001224,142.731223,-1.959883,148.858897,-1.968216,148.080039,-2.073207,140.746300,-2.064908,162.986279,-2.002552,151.747598,-2.051023,166.245806,-2.018767,141.283095,-2.037367,143.917613,-1.970898
3682638118.925696,272.000000,0.000000,81.501626,-1.405586,84.208311,-1.448899,81.672692,-1.433314,80.892584,-1.506095,88.520988,-1.422523,78.209734,-1.398992,78.468567,-1.392599,79.881362,-1.434340,76.756465,-1.409687,76.797965,-1.420280,67.973299,-1.416478,84.767965,-1.348521,78.413732,-1.384181,83.088728,-1.395578,79.724935,-1.391776,76.280725,-1.347131,78.197654,-1.334190,80.877975,-1.417219,81.916831,-1.430659,79.741685,-1.442131,82.617397,-1.409051,85.765471,-1.443107,88.007779,-1.423104,82.537443,-1.398228,84.448746,-1.488980
