Time,Angle (A),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3682635857.221118,269.000000,0.000000,76.778934,-2.473358,84.058410,-2.603413,72.465967,-2.478362,72.995159,-2.442084,70.542137,-2.463325,67.854109,-2.455914,75.170128,-2.379054,70.654156,-2.486631,69.966291,-2.359133,72.365829,-2.296257,68.664190,-2.414114,68.380149,-2.392726,68.263072,-2.288145,72.310671,-2.317692,67.266068,-2.283449,64.321039,-2.364172,66.875202,-2.321735,74.297016,-2.262896,71.301654,-2.253607,69.762545,-2.212352,67.878774,-2.168069,68.822114,-2.242722,65.927866,-2.211160,74.767853,-2.192128,68.332631,-2.142110
3682635857.321115,268.000000,0.000000,66.732079,-2.392833,72.348973,-2.516361,65.301875,-2.457124,69.073207,-2.372122,69.275880,-2.421751,66.154569,-2.386500,67.414728,-2.389201,65.733225,-2.378298,64.421729,-2.307189,69.630742,-2.309034,64.893787,-2.257201,63.213723,-2.289277,63.980889,-2.286908,63.437081,-2.256425,65.855635,-2.223124,66.818700,-2.206100,60.948489,-2.199039,66.999053,-2.124647,68.978134,-2.153001,59.770412,-2.171305,65.654588,-2.158519,65.102529,-2.067511,66.590015,-2.088964,69.269001,-2.129260,73.884709,-2.081629
3682635857.420847,270.000000,0.000000,76.906203,-2.570857,72.623054,-2.523805,74.872154,-2.462800,72.671033,-2.518778,71.929736,-2.472797,75.795696,-2.401254,68.207112,-2.353622,64.873935,-2.417671,68.384812,-2.442515,66.121030,-2.418948,74.693564,-2.339893,67.212349,-2.375816,64.122840,-2.395741,62.508661,-2.359209,70.332010,-2.348615,65.916013,-2.330585,68.185486,-2.290770,69.975826,-2.304863,68.000715,-2.214783,71.016694,-2.232835,66.941803,-2.258992,70.782871,-2.252937,70.487958,-2.217379,68.178202,-2.218813,69.197432,-2.235929
3682635857.521578,271.000000,0.000000,51.024317,2.390660,48.773263,2.404166,47.785230,2.473316,48.107689,2.469275,48.513343,2.451055,44.889267,2.529061,47.128791,2.518425,44.576366,2.535944,46.805627,2.510198,48.127320,2.592308,45.621976,2.581037,46.077512,2.611367,45.417901,2.563205,44.352259,2.619545,48.292560,2.609750,47.767080,2.605046,47.067925,2.629232,47.760889,2.688212,46.830723,2.634725,49.310769,2.701332,49.325215,2.713430,48.605274,2.721833,48.997816,2.731688,51.543122,2.745945,54.190406,2.715517
3682635857.621309,273.000000,0.000000,44.617273,2.250517,46.572481,2.299369,44.842087,2.289683,42.019316,2.328690,45.183994,2.371205,41.908210,2.390551,43.308657,2.316199,41.254584,2.382817,43.151852,2.350161,42.625116,2.373207,42.117204,2.433712,43.587886,2.452399,41.411306,2.419516,43.405356,2.427473,41.994021,2.434269,41.282036,2.475531,43.190600,2.547919,41.902580,2.470620,43.661536,2.554173,44.471945,2.509076,45.037830,2.499420,42.805497,2.581534,43.121148,2.542474,46.679400,2.628909,45.470812,2.604690
3682635857.721401,274.000000,0.000000,43.021593,2.128721,39.344066,2.101907,39.082845,2.094887,40.540716,2.152455,38.567238,2.212254,37.887025,2.183113,39.727812,2.211008,38.243975,2.215980,38.066704,2.196732,36.006711,2.230214,36.828886,2.231671,38.342882,2.267662,37.324879,2.265763,37.055553,2.303767,37.942320,2.243555,36.849500,2.298114,37.232788,2.328169,38.441450,2.310865,38.631443,2.304011,37.620135,2.366671,40.191653,2.385936,37.754500,2.412802,37.418807,2.397710,39.856621,2.415974,40.645540,2.425044
3682635857.821136,275.000000,0.000000,32.134934,1.843522,32.975112,1.884083,32.515350,1.844169,31.620373,1.918911,32.330139,1.886990,31.708234,1.920960,32.289811,1.920258,32.209554,1.972357,31.462569,1.924233,30.999932,1.986314,30.155958,1.989457,31.825684,1.985007,32.318029,1.991144,31.775273,2.048490,31.397957,2.056100,30.816264,2.074084,31.782384,2.053830,32.010515,2.078886,30.869640,2.099342,31.944154,2.130820,31.938375,2.117323,32.284907,2.106901,32.879093,2.144819,32.988704,2.136090,34.570124,2.119590
3682635857.922306,277.000000,0.000000,27.395863,1.612340,27.588451,1.613639,27.455586,1.624775,27.351722,1.662858,26.801132,1.687379,26.392725,1.676156,26.649785,1.685464,25.988295,1.688907,26.879806,1.703909,26.072968,1.732990,25.952996,1.753906,25.386809,1.790294,25.590623,1.769422,26.396400,1.786532,26.621125,1.781068,25.891572,1.784467,25.769418,1.806597,25.794735,1.829261,26.456017,1.831399,26.242840,1.853334,26.280197,1.852566,25.972197,1.871586,27.613054,1.921830,27.826653,1.880009,28.090045,1.924847
3682635858.021995,279.000000,0.000000,28.557803,1.620624,28.639487,1.594273,27.995212,1.621880,27.698918,1.674310,27.339186,1.696620,27.312305,1.699223,28.021369,1.703165,27.007076,1.717020,27.918453,1.740565,26.084006,1.784984,26.893152,1.763218,27.147225,1.765920,27.331757,1.765231,26.382282,1.765944,27.715671,1.790483,26.690327,1.817230,27.349609,1.830791,27.430897,1.813847,27.004774,1.853043,27.009623,1.856409,28.210412,1.880176,26.816706,1.924253,27.671196,1.922399,27.979405,1.923434,29.381559,1.930021
3682635858.122725,280.000000,0.000000,25.901764,1.327970,25.040219,1.298924,24.547225,1.326728,24.562763,1.331983,24.732638,1.366540,25.106642,1.364236,24.155887,1.380782,24.208629,1.416954,23.880043,1.387877,24.992494,1.422130,24.013678,1.412621,24.538388,1.465188,23.900041,1.444436,24.026323,1.467816,23.850334,1.470295,24.575709,1.505165,23.771085,1.496890,23.658527,1.524569,24.033850,1.493697,23.650534,1.523765,24.427738,1.538425,24.303116,1.561863,24.528351,1.591616,25.322564,1.557136,24.399853,1.605523
3682635858.222623,282.000000,0.000000,25.418716,1.309025,25.208379,1.290307,25.387541,1.334856,25.185628,1.343421,24.391531,1.354060,23.765757,1.400327,24.639381,1.386500,24.077650,1.417047,23.862630,1.404632,24.082009,1.422941,23.938903,1.447037,23.473292,1.451056,23.458656,1.466913,23.467173,1.495898,24.070724,1.492525,24.384787,1.487273,24.330082,1.540435,24.706076,1.514537,24.032290,1.501386,23.377026,1.542615,24.535256,1.560392,24.241483,1.594909,24.853476,1.619093,25.061111,1.591873,25.224942,1.618837
